sheet,tag,role,in_table,note
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#10,AHU 7040A,plan,false,"Unique instance tag on an AHU equipment-box glyph, lower unit of a stacked pair."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#10,AHU 7041A,plan,false,"Unique instance tag on an AHU equipment-box glyph, upper unit of a stacked pair."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#11,AHU 7010A,plan,false,"Unique instance tag on an AHU equipment-box glyph, lower-right unit."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#11,AHU 7015A,plan,false,"Unique instance tag on an AHU equipment-box glyph, bottom unit."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#11,AHU 7030A,plan,false,"Unique instance tag on an AHU equipment-box glyph, topmost unit in the vertical run."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,AHU-008,plan,false,"AHU equipment box, Area D-2, center."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,AHU-022,plan,false,"Unique AHU unit box, Area D-1, right side near riser."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,AHU-023,plan,false,"AHU equipment box, Area D-2, lower-center."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,AHU-032,plan,false,"Unique AHU unit drawn as equipment box, Area D-1 (upper plan)."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,UH-005,plan,false,"Unit-heater glyph, Area D-2 (lower plan), left side."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,UH-006,plan,false,"Vertical/rotated label next to unit-heater glyph, Area D-2 (bottom-right); raw tokens '006','-','UH' top-to-bottom read as UH-006 bottom-to-top; confirmed visually."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,UH-007,plan,false,"Vertical/rotated label next to wall unit-heater glyph, Area D-1 (top). Raw textSpans returns the rotated characters as separate top-to-bottom tokens '007','-','UH', which read bottom-to-top as UH-007; confirmed visually against a unit-heater symbol."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#12,UH-008,plan,false,"Unit-heater glyph, lower-left of Area D-1 plan."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#13,AHU-024,plan,false,"AHU equipment-box glyph mid-plan, labeled AHU-024."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#13,UH-003,plan,false,"Unit heater glyph at lower-left of room, labeled UH-003."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#13,UH-004,plan,false,"Unit heater glyph at upper-left of room, labeled UH-004."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,AHU-025,plan,false,"Unique AHU equipment box, upper-left of plan."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,ASP-004,plan,false,"Air separator, small circle symbol on vertical HHW riser; rotated label '004','-','ASP' top-to-bottom reads ASP-004 bottom-to-top; confirmed visually."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,B-001,plan,false,"Boiler unit 1 of 6 in new boiler row, each with its own rectangle symbol."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,B-002,plan,false,Boiler unit 2 of 6.
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,B-003,plan,false,Boiler unit 3 of 6.
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,B-004,plan,false,Boiler unit 4 of 6.
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,B-005,plan,false,"Boiler unit 5 of 6 (existing, recently replaced, remains)."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,B-006,plan,false,"Boiler unit 6 of 6 (existing, remains)."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,CTP,plan,false,"Pump symbol (circle) labeled 'HHW' over 'CTP' with 'NEW' below it, adjacent to VFD; single circulation/transfer pump instance."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,ET-004,plan,false,"Expansion tank, circle symbol; rotated label '004','-','ET' reads ET-004."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,HWP-001,plan,false,"Hot-water pump, box/motor symbol, left of boiler row."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,HWP-002,plan,false,"Hot-water pump, adjacent box/motor symbol."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,UH-001,plan,false,"Unit heater symbol, bottom-left of plan near door."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,UH-002,plan,false,"Unit heater/exhaust-fan symbol, upper-right near roof penetration; rotated label '002','-','UH' reads UH-002; confirmed visually against the fan glyph."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#17,VFD,plan,false,"Variable-frequency-drive box glyph, drawn next to the CTP pump; single unnumbered instance on this sheet, but it is a distinct real equipment symbol with its own callout box, not a note or dimension."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#2,101,detail,true,"Example 'DOOR TAG' bubble in the SYMBOLS legend block, not a real door/equipment instance."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#2,A101,detail,true,"Example building-section/exterior-elevation symbol in the SYMBOLS legend (sheet reference format demo), not a real tag."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#2,A2,schedule,true,"'A2 OVER 200 TYPE I OR II' occupancy-classification note text near the code summary block, not an equipment tag."
013_MO_T2523_01_Replace_Boilers_Phase_2_Building_29.pdf#26,AHU-025,plan,false,Same AHU box also shown on M-210 (page 17); redrawn on this power plan at the same location.
