sheet,tag,role,in_table,note
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,WC-1,plan,false,"Water closet. 2 physical fixtures (Rest. 102, Rest. 103), each drawn on the toilet glyph with a leader. Exact textSpans matches at both locations. Repeatable type mark."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,U-1,plan,false,"Urinal, single instance in Rest. 103, leader to urinal glyph. Exact textSpans match confirmed by close-up crop."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,LAV-1,plan,false,"Lavatory, 2 instances (Rest. 102, Rest. 103). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,LS-1,plan,false,"Lab sink, 2 instances (near Rest. 102 area and Rest. 103 area, stacked with WC-1/LAV-1/TP-1/FD-1 callout groups). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,FD-1,plan,false,"Floor drain, 2 instances, stacked in the same callout groups as WC-1/LAV-1/LS-1/TP-1. Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,FD-2,plan,false,"Floor drain type 2, 2 instances: one at the ES-1 eyewash cluster (General/Residency Lab area, confirmed via close-up crop showing floor-drain diamond glyph), one near Office Mechanical 113. Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,TP-1,plan,false,"Trap primer type 1, 2 instances, in the same restroom callout stacks as WC-1/FD-1. Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,TP-2,plan,false,"Trap primer type 2 - the most repeated tag on the sheet, 23 distinct drawn instances across nearly every lab/room (floor sinks, trench drains, utility sinks). Repeatable schedule-type mark; every occurrence checked matches textSpans exactly, each drawn as an underlined callout with a leader/arrow to a floor fixture symbol (confirmed via close-up crop)."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,TD-1,plan,false,"Trench drain type 1, 8 instances, each an underlined callout with an arrow pointing at a long hatched trench-drain glyph (confirmed via close-up crop in Soil/Aggregate, General Lab, Asphalt Lab, D-1 Lab, Concrete, Material Lab rooms). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,US-1,plan,false,"Utility/undersink type 1, 4 instances, each leadered to a small rectangular sink-cabinet glyph (confirmed via close-up crop in General Lab). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,US-2,plan,false,"Utility/undersink type 2, 3 instances, same glyph style as US-1 but a different fixture type (confirmed via close-up crop in Asphalt Lab area). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,FS-1,plan,false,"Floor sink type 1, 3 instances (Office Mechanical 113, and two in Concrete room 119). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,FS-2,plan,false,"Floor sink type 2, 9 instances spread across most labs, always leadered to a small square floor-sink grate glyph (confirmed via close-up crop). Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,FS-3,plan,false,"Floor sink type 3, single instance near Lab Mechanical 120 / bottom-left of sheet. Exact textSpans match, only one physical occurrence found."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,ES-1,plan,false,"Emergency eyewash station, 2 instances: one in the General Lab area (confirmed via close-up crop showing a diamond/hexagon eyewash glyph with FD-2/TP-2 grouped alongside, and keyed note 9 explicitly references 'WASTE FROM ES-1'), one in D-1 Lab/Office Mechanical area. Exact textSpans matches."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,SS-1,plan,false,"Service sink, single instance in the Janitor 105 closet, leadered to a mop-sink basin glyph (confirmed via close-up crop). Exact textSpans match."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,DF-1,plan,false,"Drinking fountain, single instance near Open Office 110, leadered to a wall-fountain glyph (confirmed via close-up crop). Exact textSpans match."
062_ID_ITD_District_1_Laboratory_Building_Mechanical.pdf#22,S-1,plan,false,"Sink, single instance at a break-room/lobby counter, drawn as two-bowl sink glyph with S-1 and D-1 leadered to it separately (confirmed via close-up crop). Exact textSpans match. Not to be confused with the unrelated room name 'D-1 Lab' or the project title 'D-1 Testing Laboratory' which appear as separate, longer text spans."
