# 004_MO_T2504_03_Interior_and_Exterior_Renovation.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/004_MO_T2504_03_Interior_and_Exterior_Renovation.attrs.csv, one row each.
# Sources read: P-sheet (page 31) plumbing schedules; M-601 (page 39) schedules and notes; M-602 (page 40) mechanical controls, sequences and general controls notes.
#
sheet,tag,family,typical_id,options,basis_note
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU -1,RTU,none,,"Factory controller with a 7-day programmable thermostat (RTU notes 7-8); M-602 RTU-1, 2, 3, 4, 6, 7 sequence alarms annunciate at the unit. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU - 2,RTU,none,,"Factory controller with a 7-day programmable thermostat (RTU notes 7-8); M-602 RTU-1, 2, 3, 4, 6, 7 sequence alarms annunciate at the unit. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU -3,RTU,none,,"Factory controller with a 7-day programmable thermostat (RTU notes 7-8); M-602 RTU-1, 2, 3, 4, 6, 7 sequence alarms annunciate at the unit. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU -4,RTU,none,,"Factory controller with a 7-day programmable thermostat (RTU notes 7-8); M-602 RTU-1, 2, 3, 4, 6, 7 sequence alarms annunciate at the unit. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU -6,RTU,none,,"Factory controller with a 7-day programmable thermostat (RTU notes 7-8); M-602 RTU-1, 2, 3, 4, 6, 7 sequence alarms annunciate at the unit. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU -7,RTU,none,,"Factory controller with a 7-day programmable thermostat (RTU notes 7-8); M-602 RTU-1, 2, 3, 4, 6, 7 sequence alarms annunciate at the unit. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,RTU -5,RTU,none,,"100% outdoor air unit; M-602 RTU-5 sequence: factory controller with its own 7-day time clock and LCD, enabled per programmable thermostat. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS - 1,DOAS,none,,"Kitchen makeup air unit run by the kitchen hood control panel (M-602 kitchen hood sequence). M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,EF - 1,FAN,none,,"ECM exhaust fan interlocked with RTU-5 (M-602 EF-1 control sequence), speeds set at balancing. M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,GEF - 1,FAN,none,,"Grease exhaust fan; controls furnished by the kitchen hood manufacturer (M-602 general controls notes). M-602 general controls note 1: the sequences run on the manufacturers' factory controllers 'WITHOUT THE USE OF A BUILDING AUTOMATION SYSTEM (BAS), UNLESS OTHERWISE NOTED', and nothing is noted otherwise; the mechanical contractor furnishes the thermostats and control wiring. No BAS typical applies."
