sheet,tag,role,in_table,note
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#16,04-1-CU-1,plan,false,"Wall-mounted condensing unit near Conference/Classroom 101, hexagon tag with leader to equipment box; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#16,04-1-DAC-1,plan,false,"Indoor ductless/dedicated AC unit in TR room 102E, hexagon tag with leader; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#18,05-B-CU-1,plan,false,"Condensing unit, drawn in a hexagonal equipment-tag callout directly over the outdoor condenser glyph in the 'Mechanical Plan' (bottom-right of 6 sub-plans). Unique physical unit."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#18,05-B-CU-2,plan,false,"Condensing unit, same row of three hexagon-tagged condenser glyphs as 05-B-CU-1/05-B-CU-B. Unique physical unit."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#18,05-B-CU-B,plan,false,"Condensing unit ('B' suffix), third of the three hexagon-tagged condenser glyphs on the Mechanical Plan. Unique physical unit."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#18,05-B-DAC-1,plan,false,"Ductless split indoor unit (per keynote 1: 'PROVIDE DUCTLESS SPLIT SYSTEM'), hexagon tag with leader pointing at the wall-mounted indoor unit box glyph on the Mechanical Plan. Unique physical unit."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#38,09-A-CU-1,plan,false,"Outdoor condensing unit on equipment pad, hexagon tag with leader line, paired with keynote bubble '1' referencing 'PROVIDE NEW OUTDOOR UNIT ON EQUIPMENT PAD ON GRADE...'; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#5,01-1-CU-1,plan,false,"Condensing unit, hexagon equipment tag with leader line pointing to unit mounted on grade outside building; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#5,01-1-CU-2,plan,false,"Condensing unit, hexagon tag adjacent to 01-1-CU-1, both under 'CONDENSING UNITS MOUNTED ON GRADE' leader note; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#5,01-1-DAC-1,plan,false,"Dedicated/ductless AC unit indoor equipment, hexagon tag with leader into TR (103) room; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#8,02-1-CU-1,plan,false,"Roof-mounted split-system condensing unit, hexagon tag with leader to equipment box on Bldg 2 roof; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#8,02-1-CU-2,plan,false,"Roof-mounted condensing unit, hexagon tag, part of a bank of 4 units on roof; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#8,02-1-CU-3,plan,false,"Roof-mounted condensing unit, hexagon tag; unique instance mark."
036_LA_VA_Project_502_21_222_EHRM_Infrastructure.pdf#8,02-1-CU-4,plan,false,"Roof-mounted condensing unit, hexagon tag; unique instance mark."
