sheet,tag,role,in_table,note
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,A,plan,false,"Grille/register/diffuser type tag - a circled letter 'A' directly above a '24X24' / '425-R' fraction, matching the sheet legend's 'GRILLE/REGISTER/DIFFUSER TAG' format exactly. Repeatable type mark (letter denotes a diffuser type, not a unique instance number). textSpans: 'A' x0=3133.1,y0=1826.7; '24X24' x0=3157.7,y0=1813.4; '425-R' x0=3157.7,y0=1840.1."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,AC,plan,false,"Label 'AC' at a small equipment-symbol break on a refrigerant line, which runs through a wall/roof penetration out to a boxed unit labeled 'CU' outside (mini-split style AC/condenser pair). No numeric suffix visible - appears to be the only such unit on this sheet. textSpans x0=4117.2,y0=766.4."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,ACD-1,plan,false,"Equipment tag (Automatic Control Damper, per sheet abbreviations) drawn as hexagon 'ACD' over '1', with '585 CFM OA' beside it. textSpans: 'ACD' x0=3609.5,y0=1930.9; '1' x0=3622.8,y0=1956.3; '585 CFM' x0=3661.9,y0=1932.9."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,AHU-1C-1,plan,false,"Unique instance mark. Text 'AHU-1C-1' over '5350-S' over '(100% OA)' written directly on/along a large rectangular AHU unit box drawn inline in the duct main (Service Level Section 5 plan). Verified via render crop and textSpans (x0=3825.6,y0=1870.8)."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,CU,plan,false,"Existing condensing unit box at the outdoor end of the same refrigerant line as 'AC' above (paired split-system pipe run). No numeric suffix on this sheet. textSpans x0=4514.2,y0=947.3."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,FCU-3,plan,false,"Equipment tag drawn as an elongated hexagon split TYPE/NUMBER ('FCU' over '3'), matching the legend's 'EQUIPMENT TAG NUMBER' symbol format, with '1000 CFM' beside it and a leader to the duct near AHU-1C-1. Not the pipeline's AHU-1C/RF-1C hint families - an additional tag the hint missed. textSpans: 'FCU' x0=3663.7,y0=1851.6; '3' x0=3676.4,y0=1877.1."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#6,RF-1C-1,plan,false,"Unique instance mark. Text 'RF-1C-1' over '320-R' labels a fan symbol (square break) inline in the return duct, just upstream of AHU-1C-1. Verified via render crop and textSpans (x0=3915.8,y0=1655.9)."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#8,A,plan,false,"Grille/register/diffuser type tag - circled 'A' above '24X24'/'600-R' fraction near the Passage duct riser, same repeatable type mark as seen on page 6. textSpans: 'A' inferred near x0~2080,y0~2965 (24X24/600-R nearby)."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#8,AHU-3D-2,plan,false,"Unique instance mark. 'AHU' over '3D-2' written directly inside a large rectangular AHU unit box drawn on the plan (Press Elevator Lobby area). textSpans: 'AHU' x0=1587,y0=2960 (with '3D-2' adjacent)."
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#8,CU-2,plan,false,"Rooftop condensing unit tag, hexagon 'CU' over '2', leader to a 3-fan-circle equipment box on the roof; tied to Keyed Mechanical Note 3 ('EXISTING CARRIER 15 TON CONDENSING UNIT...TO BE DISCONNECTED AND REPLACED WITH NEW') and Keyed Electrical Note 2. textSpans: 'CU' x0=4057.7,y0=2202.8, '2' x0=4065.1,y0=2228.3."
