sheet,tag,role,in_table,note
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#65,47-IDU-BB018,plan,false,"Unique IDU (indoor unit) equipment tag with leader line pointing to a box-glyph unit inside 'TR (EXISTING) BB018' room, on the BB018 Plumbing Plan view. Confirmed visually (leader from text to unit symbol) and in textSpans as split runs '47','-','IDU-BB018' at x0~815-905,y0~1805."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#65,47-IDU-BC118A,plan,false,"Unique IDU tag, leader line to a wall-mounted box-glyph unit at top of 'TR (EXPANDED) BC118' room on the BC118 Plumbing Plan view. textSpans: '47','-','IDU-BC118A' at x0~3624-3703,y0~896."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#65,47-IDU-BC118B,plan,false,"Unique IDU tag, leader line to a second box-glyph unit on the right wall of the same BC118 room (companion to BC118A). textSpans at x0~3966-4084,y0~1047."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#65,47-IDU-BF107,plan,false,"Unique IDU tag, leader line to a box-glyph unit inside 'TR (EXPANDED) BF107' room on the BF107 Plumbing Plan view. textSpans '47','-','IDU-BF107' at x0~815-1730,y0~2600."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#65,CO,plan,false,"Repeatable cleanout symbol tag: small circle glyph on condensate-drain piping labeled 'CO', drawn 4 times across the three plan views on this sheet (x0~1034/306, 3476/911, 3543/1792, 1149/2568). Listed once as a repeatable type mark, not a unique instance mark."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-CRAC-1A,plan,false,"Unique CRAC (computer-room air conditioner) unit tag with leader to a box-glyph unit at top of the Data Center room. textSpans '47','-','CRAC-1A' x0~2016-2124,y0~2342-2352."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-CRAC-1B,plan,false,"Unique CRAC unit tag with leader to a box-glyph unit lower in the Data Center room. textSpans x0~2027-2135,y0~2874-2908."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-CRAC-2A,plan,false,"Unique CRAC unit tag, companion unit to CRAC-1A at the same top wall. textSpans x0~2395-2503,y0~2345-2353."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-CRAC-2B,plan,false,"Unique CRAC unit tag, companion to CRAC-1B. textSpans x0~2398-2506,y0~2985-2994."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-IDU-BC131A,plan,false,"Unique IDU tag, leader to box-glyph unit inside 'ENTRANCE ROOM 01 (NEW) BC131A'. textSpans x0~2489-2603,y0~3322."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-IDU-BC131B,plan,false,"Unique IDU tag, second unit in the same BC131A entrance room. textSpans x0~2664-2778,y0~3437."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-IDU-BC143A,plan,false,"Unique IDU tag, leader to box-glyph unit inside 'ENTRANCE ROOM 02 (NEW) BC143A'. textSpans x0~960-1074,y0~2619."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-IDU-BC143B,plan,false,"Unique IDU tag, second unit in the same BC143A entrance room. textSpans x0~974-1088,y0~2798."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,47-IDU-BC143C,plan,false,"Unique IDU tag, leader to a box-glyph unit inside 'TR (DECOMMISSIONED) BC143' room. textSpans x0~1546-1660,y0~2481."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,CO,plan,false,"Repeatable cleanout symbol tag, same convention as page 65, drawn at 7 distinct locations on this sheet's condensate-drain piping (x0/y0 approx: 1987/2190, 1132/2538, 1594/2594, 1181/2757, 2111/3132, 2790/3352, 2377/3362). Listed once as a repeatable type mark."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,CP-1,plan,false,"Unique condensate-pump instance tag at a cleanout/riser symbol on the roof/exterior pipe run (top of sheet), companion to CP-2. textSpans x0=2776.1,y0=856.8."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#66,CP-2,plan,false,"Unique condensate-pump instance tag, second riser location (top of sheet, left run). textSpans x0=1567.9,y0=856.8."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#67,47-IDU-1A137,plan,false,"Unique instance mark for the IDU serving telecom room 1A137, leader to wall-mounted equipment box in '1A137 - PLUMBING PLAN' view. Corresponds to hint family IDU-1A137."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#67,47-IDU-1B134,plan,false,"Unique instance mark for the IDU serving telecom room 1B134, leader to wall-mounted equipment box in '1B134 - PLUMBING PLAN' view. Corresponds to hint family IDU-1B134."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#67,47-IDU-1D144A,plan,false,"Unique instance mark for the IDU serving telecom room 1D144, leader to wall-mounted equipment box in '1D144 - PLUMBING PLAN' view. Literal suffix is 1D144A (not 1D144). Corresponds to hint family IDU-1D144A."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#67,47-IDU-1H113,plan,false,"Unique instance mark for the IDU serving telecom room 1H113, leader to wall-mounted equipment box in '1H113 - PLUMBING PLAN' view. Corresponds to hint family IDU-1H113."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#67,47-IDU-1W133,plan,false,Unique instance mark for the indoor unit (IDU) serving telecom room 1W133. Underlined callout with leader line pointing directly to the wall-mounted equipment box drawn in the '1W133 - PLUMBING PLAN' enlarged view. Corresponds to pipeline hint family IDU-1W133.
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#68,47-IDU-2A246,plan,false,Unique instance mark for the indoor unit (mini-split condensate-producing indoor unit) serving telecom room 2A246; drawn with an underlined leader label pointing directly at the rectangular unit glyph on the 2A246 - PLUMBING PLAN detail. Appears once on this sheet.
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#68,47-IDU-2B212,plan,false,"Unique instance mark, same family as above, labeling the indoor unit glyph on the 2B212 - PLUMBING PLAN detail (serving TR 2B212)."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#68,47-IDU-2E202A,plan,false,Unique instance mark labeling the indoor unit glyph on the 2E202A - PLUMBING PLAN detail (serving new TR 2E202A).
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#68,CO,plan,false,"Repeatable type mark for a plumbing cleanout: a small circle glyph on the condensate-drain piping with an underlined 'CO' leader label. Drawn 5 times across the sheet's three enlarged plumbing plans (2A246 plan x1, 2B212 plan x2, 2E202A plan x2) -- listed once per the repeatable-type-mark rule."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#69,47-IDU-A301,plan,false,"Unique instance mark for the IDU serving telecom room A301 (3rd floor), leader to wall-mounted equipment box in 'A301 - PLUMBING PLAN' view. Corresponds to hint family IDU-A301."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#69,47-IDU-A401,plan,false,"Unique instance mark for the IDU serving telecom room A401 (4th floor), leader to wall-mounted equipment box in 'A401 - PLUMBING PLAN' view. Corresponds to hint family IDU-A401."
034_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#69,47-IDU-A501,plan,false,"Unique instance mark for the IDU serving telecom room A501 (5th floor), leader to wall-mounted equipment box in 'A501 - PLUMBING PLAN' view. Corresponds to hint family IDU-A501."
