sheet, device_tag, device_x, device_y, equipment_tag, equipment_x, equipment_y, relation, expect_status, note
bessemer-mechanical-bidset.pdf#6,SR-1,1292,1035,HP-1,2255,1100,ducted,served,"Rendered page 6 at scale 2 (crop [600,480]-[720,580]) and scale 4 tight crops around the duct run: the first SR-1 145 CFM register hatch symbol sits inline on the 12x6 double-line supply duct in BEDROOM 1, a short distance right of the elbow that turns down into the 8-inch riser. Traced the duct's own solid double-line outline by eye continuously rightward through the 12x6-to-16x8 transition, past the second SR-1, past a 6-inch branch tee, straight into HP-1's own drawn unit footprint box (fan/coil hatch symbol flush against the box) with no gap or unresolved crossing along the way."
bessemer-mechanical-bidset.pdf#6,SR-1,1723,1038,HP-1,2255,1100,ducted,served,"Rendered page 6 at scale 4, crop [820,480]-[1000,620], and a further scale 6 close-up at [840,470]-[930,550]: the second SR-1 145 CFM register hatch sits inline on the 16x8 duct in the LIVING ROOM, directly under a vertical 4-inch EA exhaust riser (EF-1's own riser, capped at the ceiling) that crosses straight over/through the duct and register symbol with no tee, dot or break mark - a genuine unmarked crossing of two different systems at almost this exact point, disclosed here as a side observation, not treated as a connection (see the EF-1 row). The 16x8 duct itself continues unbroken rightward into HP-1's drawn box, same traced outline as the first SR-1 row."
bessemer-mechanical-bidset.pdf#6,SR-1,2143,1648,HP-1,2255,1100,ducted,served,"Rendered page 6 at scale 4, crop [1030,780]-[1180,900]: the third SR-1 (55 CFM) register hatch symbol sits at the bottom of a 6-inch-diameter vertical branch duct that tees off the same horizontal 16x8 trunk (tee point visually confirmed further up the same run, crop [820,480]-[1000,620]) and drops straight down through UNIT 103's plan into the KITCHEN. Followed the branch's own solid double-line outline continuously from the trunk tee down to this register with no gap; the trunk it tees from is the same trunk documented in the two prior SR-1 rows running into HP-1's box."
bessemer-mechanical-bidset.pdf#6,TG-1,1544,1205,,,,ducted,unconnected,"Rendered page 6 at scale 2 crop [420,480]-[1120,930] and a scale 4 close-up at [720,590]-[840,700]: TG-1 145 CFM (HIGH) and a second TG-1 145 CFM (LOW) label both point via plain single-line leader arrows (with a break-tick mark on the leader, this sheet's standard callout-break convention) at the SAME small wall-mounted transfer-grille rectangle at the BEDROOM 1 door. No double-line duct or pipe stroke of any kind is drawn connecting this grille to HP-1 or to any other tagged equipment body anywhere in the rendered crops - only the label leader reaches it. General note 2 on this sheet confirms TG tags are transfer grilles (wall openings sized for required floor/ceiling clearance), not ducted devices, consistent with what is drawn. Genuinely unconnected by ductwork on this sheet."
bessemer-mechanical-bidset.pdf#6,TG-2,2198,1170,,,,ducted,unconnected,"Rendered page 6 at scale 4, crop [1050,540]-[1350,680]: this TG-2 635 CFM (HIGH) label's leader arrow (same break-tick convention as TG-1) points at a bold-lined vertical wall-mounted grille rectangle immediately left of HP-1's casing. As with TG-1, no duct or pipe stroke of any kind runs from this grille symbol to HP-1's own drawn box or to any other tagged body - the grille and the box are drawn as two separate, unconnected symbols sharing only a common wall. Unconnected by ductwork."
bessemer-mechanical-bidset.pdf#6,TG-2,2292,1183,,,,ducted,ambiguous,"Rendered page 6 at scale 4 [1050,540]-[1350,680] and a scale 6 max close-up at [1130,555]-[1190,605]: a second TG-2 635 CFM (HIGH) label's leader arrow points toward a plain unfilled circle drawn in the same light/grey line weight this sheet otherwise uses for background architectural items (door hardware, floor symbols), not the bold black line weight every other tagged MEP device on this sheet uses. The circle carries no tag of its own and no duct/pipe reaches it. Genuinely cannot decide by eye whether this is a second real grille opening, a mislabeled duplicate callout for the TG-2 grille in the previous row, or an unrelated architectural symbol the leader happens to land near - called ambiguous rather than unconnected because the target symbol itself is not identifiable, unlike the previous row where the target symbol is clear and simply has no duct."
bessemer-mechanical-bidset.pdf#6,EF-1,1734,1734,,,,ducted,unconnected,"Rendered page 6 at scale 4, crop [800,780]-[950,930] (EF-1's own fan symbol box, not the duct-line point) and scale 6 crop [840,470]-[930,550] for its riser further up: EF-1's own square fan symbol sits at the bottom of a straight 4-inch EA duct riser that runs straight up with no branches, passing an unmarked crossing through the HP-1 16x8 supply duct and an SR-1 register symbol (see the second SR-1 row) with no tee or junction mark, and continuing up to a roof-cap fitting with upward arrows at the top (visible in the scale-1 full-page render) consistent with exhaust discharged to atmosphere. Seeded at EF-1's own device symbol, not at the duct-line point [1729,1621] that keys/bessemer.mep.csv already documents as a wall-conflation false-positive; by eye, this device's own visible run never reaches HP-1 or any other tagged equipment body on this sheet - unconnected, matching that file's corrected dead_end result but independently confirmed here from the correct seed."
bessemer-mechanical-bidset.pdf#6,T,2354,1069,EBB-1,2436,1177,controls,served,"Rendered page 6 at scale 4, crop [1130,490]-[1280,630]: the T thermostat circle in the MECHANICAL room is joined to EBB-1's own baseboard-heater rectangle symbol by a continuous dashed line (right from the T, then a 90-degree turn straight down into the top of the EBB-1 symbol) - a distinct, unbroken dash pattern, different from the solid wall/leader lines elsewhere on the sheet. Traced the dashed stroke itself by eye from circle to rectangle with no gap."
bessemer-mechanical-bidset.pdf#6,T,2446,1692,EBB-2,2618,1475,controls,served,"Rendered page 6 at scale 4, crop [1150,650]-[1350,900]: a second T thermostat circle at the bottom of the LAUNDRY ROOM is joined to EBB-2's own baseboard rectangle on the opposite wall by a continuous dashed line running up from the circle then right into the rectangle's bottom edge - traced the dashed stroke itself with no gap; distinct from the solid leader line that merely labels EBB-2's tag text to its own symbol."
bessemer-mechanical-bidset.pdf#6,T,2605,2172,EBB-3,2417,1736,controls,served,"Rendered page 6 at scale 4, crops [1100,830]-[1300,1060] and [1200,1030]-[1400,1200]: EBB-3's own baseboard rectangle at the top of the HALLWAY has a dashed line running straight down the corridor wall to a bend point, then a short diagonal dashed spur off that same trunk to a T thermostat circle set into the wall further down the hallway. Traced the dashed stroke continuously from EBB-3's rectangle down to the bend and along the spur to the T circle with no gap."
