# 019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# HELD-OUT SAMPLE. These tables were drawn at random from the 98 held-out
# tables (seed 20260905) and each edge was chosen by a human from the
# CANDIDATE RULES the page itself carries — every horizontal rule near the top
# and bottom that spans at least 80% of the table, every vertical near the left
# and right — WITHOUT the extractor's own box in view. Agreeing with it
# afterwards therefore means something.
#
# Two of the fifteen first-pass picks were WRONG, both mine, both caught by
# re-reading the pixels at 9x, and both recorded below. Reading an edge off a
# whole-sheet render is not good enough: at sheet scale a 13pt row is four
# pixels.
sheet,table_title,x0,top,x1,bot,provenance
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#15,DX FAN COIL UNIT SCHEDULE,713.52,1129.08,2680.68,1302.96,"adjudicated by eye from the page's own candidate rules, blind to the extractor's choice; corrected at 9x: EV-6 is a data row spanning 1290.0-1302.96"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#15,HOT WATER FAN COIL UNIT SCHEDULE,956.04,573.12,2680.68,665.04,"adjudicated by eye from the page's own candidate rules, blind to the extractor's choice"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#4,Room Schedule,1355.31,1432.06,1633.94,2009.69,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#4,Room Schedule,1660.94,1432.06,1939.5,2009.69,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.14pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#4,Room Schedule,1966.5,1432.06,2245.19,2022.69,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#14,AIR HANDLING UNIT SCHEDULE,1084.5,69.94,2675.44,176.31,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#14,AIR HANDLING UNIT FAN SCHEDULE,1422.31,277.06,2686.69,422.31,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#14,CHILLER SCHEDULE (ELECTRIC AIR-COOLED),433.69,662.56,2688.06,786.31,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#14,HOT WATER CONDENSING BOILER SCHEDULE,1202.56,885.94,2685.44,1019.94,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#14,PUMP SCHEDULE,456.19,1088.69,2688.06,1295.56,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.16pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
