sheet,tag,role,in_table,note
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#17,001-DS-01,plan,false,"Flag-shaped callout with leader pointing to a downspout-nozzle symbol (circle) near keynotes 7/8 on the same pipe drop. Unique instance mark, family DS-01."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#17,001-HT-01-DC428,plan,false,"Flag-shaped callout with leader line pointing to an overflow/condensate pipe run near room DC428 (heat-trace circuit tag, family HT-01). Unique instance mark."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#20,001-BP-01-DC9,plan,false,"Flag callout, leader to a bypass valve symbol on the piping serving UPS 2, adjacent to 'NORMALLY OPEN BYPASS SERVICE VALVE' note. Unique instance, family BP-01."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#20,001-BP-02-DC9,plan,false,"Second flag callout, leader to the adjacent bypass valve symbol (paired with BP-01), near 'NORMALLY CLOSED BYPASS SERVICE VALVE'. Unique instance, family BP-02."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#20,001-DT-01-DC9,plan,false,"Flag callout with leader pointing to a small circular drain/trap symbol below the SH-01 unit. Unique instance mark, family DT-01."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#20,001-SH-01-DC9,plan,false,"Flag callout with leader pointing to a square equipment box near the stair/shaft in Mechanical Space DC9. Unique instance mark, family SH-01."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#21,001-CRAC-01-DC2,plan,false,Flag callout with leader pointing directly to a CRAC (computer room air conditioner) unit box among the row of units in the Data Center (room DC2). Unique instance mark.
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#21,001-CRAC-02-DC2,plan,false,Second flag callout with leader to a second CRAC unit box in the same Data Center row. Unique instance mark.
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#47,(E) AHU-41,plan,false,"Existing air-handling-unit label written directly on the AHU equipment box in the RM AL08 Demolition Floor Plan (top-left view), separate from adjacent keynote hexagon '3'. Unique instance mark; this tag was NOT in the pipeline's own hint list at all, meaning the hint's reported families for this sheet are entirely false positives."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#49,M,plan,false,"Circled 'M' device symbol (moisture sensor) drawn next to two floor-mounted equipment cabinets, with keynote 1 leader ('MOISTURE SENSOR TO BE INSTALLED AT LOWEST POINT OF SPACE') pointing directly at it. Borderline call: it is a bare single letter rather than a letter+number mark, but it is a circled control-device glyph drawn on the plan (same convention as circled T/H/R seen on other sheets), so included as a repeatable device-type mark."
030_NY_VA_EHRM_Infrastructure_Upgrades_Construction.pdf#50,001-FCP-01-CG06A,plan,false,"Unique instance tag for the associated fan coil pump, stacked directly under 001-FCU-01-CG06A in the same leader label box, same room CG06A, same view. Confirmed in textSpans as {""001""}{""-""}{""FCP-01-CG06A""} at x0~937-971, y0~3253-3253 (image y-axis, appears just below the FCU line)."
