sheet,tag,role,in_table,note
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,AHU-1,plan,false,"Hexagon glyph on the physical air-handling-unit box (basement mech area, top unit); leader from hexagon to the drawn AHU cabinet. Unique instance mark."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,AHU-2,plan,false,"Hexagon glyph on the second physical AHU box (lower unit, same mech area). Unique instance mark."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,FC-1,plan,false,"Hexagon fan-coil symbol, Boys Locker 001. Unique instance mark (ductless fan coil unit)."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,FC-2,plan,false,"Hexagon fan-coil symbol, Girls Locker 009."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,FC-3,plan,false,"Hexagon fan-coil symbol, Weight Room 006."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,FC-4,plan,false,"Hexagon fan-coil symbol, Storage 007."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,G-1,plan,false,"Rectangular grille callout box (label/CFM/duct-size stack), e.g. 'G-1 / 50 / 6X6'. Appears twice (Office 008, Office 005) as the same type mark - listed once per repeatable-type rule."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,G-2,plan,false,"Rectangular grille callout box, e.g. 'G-2 / 500 / 20X6'. Appears 3x (Girls Locker, Storage, near Boys Locker) - same repeatable type mark, listed once."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,R-1,plan,false,"Rectangular register callout box 'R-1 / 700 / 30X6' near Girls Locker/Storage wall. Single occurrence on this sheet but is a schedule-style type mark (register), not a unique numbered unit."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#11,R-2,plan,false,"Rectangular register callout box 'R-2 / 2100 / 28x28' in Weight Room, feeding a large wall louver. Single occurrence on this sheet."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,AHU-3,plan,false,"Hexagon glyph on the AHU cabinet in Mech 129 (gym air handler). NOT in the pipeline's hint list for this page - confirmed present via both image and textSpans (x934,y2230 'AHU' + x947,y2256 '3')."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EF-1,plan,false,"Hexagon exhaust-fan symbol, Toilet 135 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EF-2,plan,false,"Hexagon exhaust-fan symbol, Toilet 132 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EH-1,plan,false,"Hexagon electric-heater symbol, Toilet 135 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EH-2,plan,false,"Hexagon electric-heater symbol, Toilet 132 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EH-3,plan,false,"Hexagon electric-heater symbol, Stor. 133."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EH-4,plan,false,"Hexagon electric-heater symbol, Stor. 134."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,EH-5,plan,false,"Hexagon electric-heater symbol, Office 127."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,ERU-1,plan,false,Hexagon energy-recovery-unit symbol next to the tall vertical unit near the gas meter/HP bank. NOT in the pipeline's hint list for this page.
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,HP-1,plan,false,Hexagon heat-pump symbol pointing at one of the condenser rows.
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,HP-2,plan,false,"Hexagon heat-pump symbol, near Girls 122 / Office 119 corner."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,HP-3,plan,false,"Hexagon heat-pump symbol, condenser row near Weight Room."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,HP-4,plan,false,"Hexagon heat-pump symbol, Office 127/Storage 007 area (round fan unit)."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,HP-5,plan,false,"Hexagon heat-pump symbol, Office 127/Storage 007 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#12,HP-6,plan,false,"Hexagon heat-pump symbol, Office 127/Storage 007 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,AHU-3,plan,false,"Hexagon glyph on the same AHU cabinet in Mech 129/Vestibule 100 area as page 12's AHU-3, re-drawn on this electrical/mechanical-power sheet. Not in the pipeline's hint list."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,EF-1,plan,false,"Hexagon exhaust-fan symbol, Toilet 135 area (matches page 12 location)."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,EF-2,plan,false,"Hexagon exhaust-fan symbol, Toilet 132 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,EH-1,plan,false,"Hexagon electric-heater symbol, Toilet 135 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,EH-2,plan,false,"Hexagon electric-heater symbol, Toilet 132 area."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,EH-3,plan,false,"Hexagon electric-heater symbol, Stor. 133."
18_OR_BakerMS_HVAC_Electrical_FullSet.pdf#22,EH-4,plan,false,"Hexagon electric-heater symbol, Stor. 134."
