sheet,tag,role,in_table,note
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-AC-1,plan,false,"Small equipment box glyph near Storage Room/HAC, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-B-1,plan,false,"Boiler, unique instance; large rectangular boiler glyph in Boiler Area, matches General Notes discussion of boiler selection (3 boilers)."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-B-2,plan,false,"Boiler, unique instance, second of three boiler glyphs."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-B-3,plan,false,"Boiler, unique instance, third of three boiler glyphs."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CH-1,plan,false,"Chiller, unique instance mark; drawn on rectangular chiller glyph in Chillers area of Mechanical Floor Plan - First Floor."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CH-2,plan,false,"Chiller, unique instance mark, second of four chillers in a row."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CH-3,plan,false,"Chiller, unique instance mark, third of four chillers in a row."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CH-4,plan,false,"Chiller, unique instance mark, fourth of four chillers in a row."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CP-2,plan,false,"Condensate pump, circular glyph near Storage Room, unique instance (no CP-1 present on this sheet)."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CT-1,detail,false,"Cooling tower nameplate tag on the roof-mounted unit shown ONLY on the 'Chilled Water Pumps Section View' building-section/elevation (view 2 on this sheet), not visible in the ground-floor plan itself; unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CWHX-1,plan,false,"Chilled water heat exchanger, square glyph in the Pit, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CWP-1,plan,false,"Condenser water pump, unique instance; pump glyph shown both on the floor plan (near switchgear room) and again on the Chilled Water Pumps Section View elevation (same physical pump)."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CWP-2,plan,false,"Condenser water pump, unique instance; appears on plan and again on the section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CWP-3,plan,false,"Condenser water pump, unique instance; appears on plan and again on the section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-CWP-4,plan,false,"Condenser water pump, unique instance; appears on plan and again on the section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-DA-1,plan,false,"Deaerator tank glyph near Storage Room, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-FE-1,plan,false,"Flue/exhaust fitting above a boiler, callout with leader to the flue glyph and 24""ø EA duct-size note; unique instance (boiler 1's flue)."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-FE-2,plan,false,"Flue/exhaust fitting above boiler 2, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-FE-3,plan,false,"Flue/exhaust fitting above boiler 3, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-FP-1,plan,false,"Gray rectangular equipment glyph near grid D adjacent to the boiler flues (fuel/fire pump package), unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-LV-1,plan,false,"Louver, repeatable type mark: same literal tag labels two distinct wall louver glyphs in/near the Generators room on the plan (confirmed via crop showing two separate leader lines both to 16-LV-1), and again on the building-section elevation for the same wall. Listed once as a repeatable type tag."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-PCWP-1,plan,false,"Primary condenser water pump, unique instance; pump bank glyph near Conference/Break Room, also shown again on the section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-PCWP-2,plan,false,"Primary condenser water pump, unique instance; also shown on section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-PCWP-3,plan,false,"Primary condenser water pump, unique instance; also shown on section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-PCWP-4,plan,false,"Primary condenser water pump, unique instance; also shown on section-view elevation."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-SCWP-1,plan,false,"Secondary chilled water pump (VFD/pump glyph in Riser Room), unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-SCWP-2,plan,false,"Secondary chilled water pump, unique instance, in Riser Room."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-SCWP-3,plan,false,"Secondary chilled water pump, unique instance, in Riser Room."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-SH-1,plan,false,"Tall vertical shaded equipment glyph along the boiler-area wall (silencer/header), unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-ST-1,plan,false,"Storage/surge tank, large circle glyph near Chillers area, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-ST-2,plan,false,"Storage/surge tank, smaller circle glyph adjacent to 16-ST-1, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-TT-1,plan,false,"Gray rectangular equipment glyph south of the restrooms (tank/transfer unit), unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#3,16-VP-1,plan,false,"Vent/valve package, small square glyph next to the tanks, unique instance."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-CT-1,plan,false,Cooling tower (4-fan unit) on 'MECHANICAL PLAN - ROOF LEVEL' view; the identical literal tag also labels the same-type 4-fan cooling tower unit drawn again on the 'MECHANICAL FLOOR PLAN - MEZZANINE LEVEL' view on this same sheet (hexagon callout with leader in both places) - counted once per dedup rule.
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-CU-1,plan,false,"Hexagon tag with leader arrow pointing to a dashed-outline equipment box (condensing unit), roof level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-CU-2,plan,false,"Hexagon tag with leader arrow pointing to a second stacked dashed-outline equipment box below 16-CU-1, roof level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-EF-1,plan,false,"Hexagon tag on exhaust fan box glyph paired below 16-MAU-1, roof level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-EF-2,plan,false,"Exhaust fan box glyph paired below 16-MAU-2, roof level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-EF-3,plan,false,"Exhaust fan box glyph paired below 16-MAU-3, roof level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-FE-1,plan,false,"Hexagon tag on a gray floor-mounted equipment box with 24""ø EA duct callout, mezzanine level plan (three distinct fixtures 16-FE-1/2/3 near stairwell)."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-FE-2,plan,false,"Second distinct floor-mounted equipment box, mezzanine level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-FE-3,plan,false,"Third distinct floor-mounted equipment box, mezzanine level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-GV-1,plan,false,"Hexagon tag on a large gray rectangular equipment box (gravity vent), roof level plan."
054_NV_VA_Project_654_212_Design_Build_Central.pdf#4,16-LV-1,plan,false,Repeatable louver type mark; the identical literal tag with arrow leader appears 4 times around the mechanical room perimeter on the mezzanine level plan (all four louver openings) - listed once per repeatable-type rule.
