sheet,tag,role,in_table,note
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#10,IW-LS-6 NORTH,plan,false,"Unique instance mark for an existing lift station (pump station), labeled in a callout box with a leader line pointing to the physical lift-station symbol (boxy/hatched icon) near the top of the site plan, close to the 'EXISTING FORCE MAIN' line. Exact text confirmed verbatim against textSpans: {""str"":""IW-LS-6 NORTH"",""x0"":3126.2,""y0"":261.9} (rendered on the sheet as two lines 'EXISTING LIFT STATION' / 'IW-LS-6 NORTH', but the tag itself is the IW-LS-6 NORTH portion). This is a distinct physical unit from IW-LS-6 SOUTH (leader points to a different symbol just below/beside it), so both are listed separately per the unique-instance rule."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#10,IW-LS-6 SOUTH,plan,false,"Second, distinct existing lift station, labeled the same way as IW-LS-6 NORTH with its own leader line to a separate physical lift-station symbol immediately below/beside the NORTH one. Exact text confirmed verbatim against textSpans: {""str"":""IW-LS-6 SOUTH"",""x0"":3097.4,""y0"":336.8}."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#6,IW-LS-3,plan,false,"Unique instance instrument tag (Industrial Waste Level Switch #3). Drawn in a white callout box with a leader line pointing to a dashed-rectangle equipment-location symbol on the aerial site photo, near Building B214 (top-left of sheet). Callout box text reads 'B214 / IW-LS-3 / SHEET C-101' (building number, tag, and cross-reference to the detail sheet). Exact literal text confirmed verbatim in textSpans dump: {""str"":""IW-LS-3"",""x0"":759.1,""y0"":367.5}."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#6,IW-LS-10,plan,false,"Unique instance instrument tag. Same callout pattern as IW-LS-3: leader line from white text box to a dashed-rectangle equipment-location symbol, at Building B3706 (mid-right of sheet). Box text 'B3706 / IW-LS-10 / SHEET C-102'. Confirmed verbatim in textSpans: {""str"":""IW-LS-10"",""x0"":2474.6,""y0"":1576.2}."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#6,IW-LS-2280,plan,false,"Unique instance instrument tag. Leader line to a dashed-rectangle equipment-location symbol at Building B2280 (center-lower area of sheet). Box text 'B2280 / IW-LS-2280 / SHEET C-103'. Confirmed verbatim in textSpans: {""str"":""IW-LS-2280"",""x0"":1899.8,""y0"":1990.6}."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#6,IW-LS-6,plan,false,"Unique instance instrument tag at Building B2136 (bottom of sheet). The callout's literal full text is a single line, confirmed verbatim in textSpans: {""str"":""IW-LS-6 NORTH AND SOUTH"",""x0"":1548.7,""y0"":2444.2} -- i.e. the drawn label says 'IW-LS-6 NORTH AND SOUTH', meaning this one tag denotes a pair of level switches (north unit and south unit) both sharing the same base tag IW-LS-6, called out with one leader line to one dashed-rectangle symbol on the building. Recording as one tag entry per the sheet's own labeling; a strict recognizer might reasonably also accept 'IW-LS-6 NORTH AND SOUTH' as the literal string."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#31,IW-LS-3,plan,false,"Unique instance mark for the lift station at building B214 (NW corner of site). Callout box 'B214 / EXISTING LIFT STATION / IW-LS-3 / SHEETS Y-101, Y-201' with leader arrow pointing to the lift station location on the aerial site photo. Exact textSpans match at x0=544.6,y0=279.2."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#31,IW-LS-10,plan,false,"Unique instance mark for the lift station at building B3706. Same callout pattern as IW-LS-3. Exact textSpans match at x0=2225.8,y0=1397.3."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#31,IW-LS-2280,plan,false,"Unique instance mark for the lift station at building B2280. Exact textSpans match at x0=1455.6,y0=2069.1."
010_US_WWYK240146_Design_Implement_Monitoring_Control.pdf#31,IW-LS-6,plan,false,"Unique instance mark for the lift station at building B2136 (SE area of site). Exact textSpans match at x0=2004,y0=2610.5."
