sheet,tag,role,in_table,note
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#10,P1,plan,false,"New 400A service panel P1, tagged directly at its symbol/leader point on the Electrical Site Plan (view 1, textSpan 'P1' at x0=3626.9,y0=893.3, adjacent to 'NEW 400A, 240V/120V, 1PH, 3W SERVICE PANEL P1'). Also re-labeled 'SERVICE RATED PANEL P1' inside the New Work One-Line Diagram box (a schematic view on the same sheet) — same physical unit, listed once."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#10,P2,plan,false,"Existing panel P2, tagged at its symbol/leader point on the same Electrical Site Plan (textSpan 'P2' at x0=3553.7,y0=824.9, next to 'NEW 200A FEEDER TO REFEED EXISTING PANEL P2'). Also re-labeled 'EXISTING PANEL P2' inside both the Existing and New Work One-Line Diagram boxes lower on the sheet (schematic views) — same unit, listed once."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,DWH-1,plan,false,"Domestic water heater tag, basement mechanical room, next to equipment glyph and condensate-pump note."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,EBB-1,plan,false,"Electric baseboard heater type mark, underlined, appears at ~5 different room locations (verified via crop next to a baseboard rectangle glyph) — repeatable type mark, listed once."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,EBB-2,plan,false,"Electric baseboard heater type mark (different size/type from EBB-1), appears at ~5 locations across both plans — repeatable type mark, listed once."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-1,plan,false,"Indoor unit (heat pump) tag, underlined, next to indoor-unit wall symbol; unique instance mark."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-10,plan,false,"Indoor unit tag, basement plan, next to unit symbol."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-11,plan,false,"Indoor unit tag, basement plan (Break rm), next to unit symbol."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-12,plan,false,"Indoor unit tag, basement plan, next to unit symbol."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-13,plan,false,"Indoor unit tag, verified via zoomed crop: underlined 'IU-13' directly beside a hatched wall-mounted indoor-unit glyph."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-14,plan,false,"Indoor unit tag, verified via zoomed crop next to matching unit glyph."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-15,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-16,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-17,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-18,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-19,plan,false,"Indoor unit tag, basement plan, next to unit symbol."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-2,plan,false,"Indoor unit tag next to unit symbol, first floor plan."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-20,plan,false,"Indoor unit tag, basement plan, next to unit symbol."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-3,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-4,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-5,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-6,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-7,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-8,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,IU-9,plan,false,Indoor unit tag next to unit symbol.
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,OU-1,plan,false,"Outdoor (condensing) unit tag, exterior symbol, unique instance."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,OU-2,plan,false,"Outdoor unit tag, exterior symbol."
093_ME_BGS_Project_3845_Jonesboro_Heat_Pump_Upgrades.pdf#11,OU-3,plan,false,"Outdoor unit tag, exterior symbol."
