sheet,tag,role,in_table,note
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) ACC-(N),plan,false,"Labels a dashed/solid equipment-pad-like shape near HP-6A/CH-199CO; abbreviation and exact equipment type are ambiguous (possibly an existing accessory unit or air-cooled condenser being relocated). Included as a plausible unique equipment instance since it follows the same '(E) <ABBR>-<suffix>' equipment-tag pattern as FC-1/VAV-x/HRV-1 on this sheet and sits beside a drawn glyph, not a room outline. Flagging as lower-confidence."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) FC-1,plan,false,Existing fan coil unit; clearly drawn as a distinct hatched/shaded equipment box with internal fan-wheel circles.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) HRV-1,plan,false,"Existing HRV unit shown inline with ductwork near breakroom, with keynote bubble '1' beside it. A second textual occurrence of '(E) HRV-1' at y0~1347 is inside the Key Notes paragraph text (""TEST AND BALANCE (E) HRV-1 AND CONNECTED GRD'S."") and is NOT a drawn plan tag, so it is not double-counted."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) VAV-13,plan,false,"Existing VAV box near transformer vault, leader to inline duct symbol."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) VAV-15,plan,false,Existing VAV box inline in duct run east of breakroom.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) VAV-16,plan,false,"Existing VAV box inline in duct run, shaded terminal unit near HRV-1. (Note: at low zoom this can be misread as 'VAV-18'; text spans confirm '16'.)"
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) VAV-17,plan,false,Existing VAV box at east duct riser near grid D/E.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) VAV-8,plan,false,Existing VAV box inline in duct run near dock staging area.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,(E) VAV-9,plan,false,Existing VAV box inline in duct run near gondola staging area.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,HP-5A,plan,false,"Unique heat pump unit; shaded equipment box. Adjacent hexagon '2' is a keynote reference bubble (keynote 2: minimum clearances), not part of the tag."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,HP-6A,plan,false,Unique heat pump unit; drawn as shaded equipment box in upper corridor area with leader/underline to symbol.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,R-10,plan,false,"Repeatable return grille type mark, drawn at ~9 hatched-square return symbols with varying CFM values."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,R-20,plan,false,"Return grille type mark (CFM 915), single occurrence on this sheet but same S/R schedule-code naming convention as S-10/S-11/S-12/R-10, so treated as a repeatable type mark rather than a unique instance."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,S-10,plan,false,"Repeatable supply diffuser/register type mark (boxed 'S-10' over CFM number, e.g. 110/95/etc.), drawn at ~5 hatched-square diffuser symbols. Listed once per rules; the CFM numbers below each box are not part of the tag."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,S-11,plan,false,"Repeatable supply diffuser type mark, drawn at ~7 diffuser symbols with varying CFM values (230, 185, 275(no, that's S-12), 125, etc.)."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#12,S-12,plan,false,"Repeatable supply diffuser type mark, drawn at 3 diffuser symbols (CFM 275, 400, 400)."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,E-10,plan,false,"Exhaust-register schedule mark, appears once (CFM 100) on Main Level plan."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,HP-7A,plan,false,"Unique heat pump box glyph, Mechanical Penthouse plan, adjacent to HP-8A."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,HP-8A,plan,false,Unique heat pump box glyph (with connection stubs) in Mechanical Penthouse plan; keynote '3' (sound lining) attached but not part of tag.
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,HRV-2,plan,false,"Existing HRV unit, drawn as '(E) HRV-2' box glyph with fan/damper symbols; appears in the Mechanical Penthouse plan and again in the small detail 3 '(E) HRV-2 DUCT CONNECTIONS' on the same sheet -- same physical unit, counted once."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,R-10,plan,false,"Repeatable return-register schedule mark (box with 'R-10' over CFM value). Appears 3x on the Main Level plan with different CFM (190, 1000, 170) -- listed once."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,S-11,plan,false,"Repeatable supply-diffuser schedule mark, appears 3x (CFM 230, 200, 200) -- listed once."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#13,S-12,plan,false,"Repeatable supply-register schedule mark, appears 3x (CFM 360 each) -- listed once."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#14,ACC-(N),plan,false,"Dashed-outline equipment footprint glyph labeled '(E) ACC-(N)' near HP-5A/FC-1 -- reads as a placeholder/future condenser location; has a distinct drawn glyph (dashed box with small tab) so included as a tag, though the literal string is unusual."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#14,CH-105LD,plan,false,"Existing equipment '(E) CH-105LD' with a real small box glyph and piping stubs (same visual convention as the VAV boxes) -- treated as a real equipment tag, unlike CH-199CO (see notes)."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#14,FC-1,plan,false,"Existing fan-coil unit, drawn as a square glyph containing 4 fan circles, '(E) FC-1'."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#14,HP-1A,plan,false,"Unique heat pump box glyph, lower level piping plan."
077_MT_Miller_Dining_Auxiliaries_Offices_HVAC.pdf#14,HP-2A,plan,false,"Unique heat pump box glyph, adjacent to HP-1A/HP-3A/HP-4A row."
