sheet,tag,role,in_table,note
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-1-18,plan,false,"Existing VAV/terminal-unit box symbol on ductwork, left plan, with leader line to text label. Not in the pipeline's hint but a real drawn equipment tag."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-1-19,plan,false,"Existing terminal unit box symbol, left plan."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-1-20,plan,false,"Existing terminal unit box symbol, left plan, text rotated vertically in PDF (reconstructed by reading a same-x column of spans top-to-bottom as (E)VTU1-1-20)."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-1-21,plan,false,"Existing terminal unit box symbol, left plan, with leader arrow."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-7-10,plan,false,"Existing terminal unit box symbol, right plan, vertical text column reconstructed from stacked spans."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-7-11,plan,false,"Existing terminal unit box symbol, right plan, vertical text column."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-7-12,plan,false,"Existing terminal unit box symbol, right plan, vertical text column."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-7-15,plan,false,"Existing terminal unit box symbol, right plan, vertical text column, next to the new FCU1-7-2 box."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-7-8,plan,false,"Existing terminal unit box symbol, right plan, near Agent Cashier room."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,(E)VTU1-7-9,plan,false,"Existing terminal unit box symbol, right plan."
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,BT,plan,false,Small boxed sensor/transmitter-type abbreviation (base station transmitter per note 4); repeatable device-type mark — listed once.
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#10,FCU1-1-1,plan,false,"New fan coil unit, bold-outlined box symbol with leader arrow, left plan (TR-1A-138). Matches pipeline hint family FCU1."
