sheet,tag,role,in_table,note
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,AS-A1,plan,false,"Air separator tag with leader, basement plan boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,B-3,plan,false,"'(E) B-3' tag with leader to a dashed existing-equipment outline at top of the basement plan (edge of adjacent 'B' wing boiler room, referenced in Key Note 1)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,B-4,plan,false,"'(E) B-4' tag, paired with B-3, same area of basement plan."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,B-A1,plan,false,"New boiler; tag/box drawn on both the first-floor plan (near boiler room 001A, stack passes through both levels) and the basement plan — same physical unit, counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,B-A2,plan,false,"New boiler, paired with B-A1; same physical unit shown on both plan views, counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,CD-A10,plan,false,"Ceiling diffuser tag with leader, bottom-left corner of first-floor plan; naming pattern (letter-wing + sequential number) matches this sheet's other unique-instance tags rather than a repeatable CD-# schedule mark."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,DSF,plan,false,"Box tag reading only 'DSF' near VAV-4/HWCH; Key Note 7 refers to full tags 'DSF-A1 & DSF-A2' (destratification fans, Alternate 8), but only the abbreviated 'DSF' text is actually drawn on this plan — no separate DSF-A1/DSF-A2 boxes found."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,EF-A1,plan,false,Exhaust fan tag; appears twice on the first-floor plan (duct routing on both sides) for what reads as the same fan — counted once. Also referenced (not separately tagged) in Key Note 26.
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,EG-2,plan,false,"Exhaust grille type tag (circle symbol), '300' CFM and '18""x6"" TYP.2' noted beneath — repeatable type mark, drawn once but typical of 2 fixtures."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,ET-A1,plan,false,"Expansion tank tag with leader, basement plan boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,GLF-A1,plan,false,"Glycol feeder tag with leader, basement plan boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWCH,plan,false,"Plain 'HWCH' tag (no unit suffix) next to a 'T' thermostat circle near the (E) VESTIBULE 102A door — appears to be a genuine distinct drawn callout, but unlike all sibling tags (HWCH-A1/A2/A3/B2) it carries no location suffix; flagged as an outlier/possible drafting omission rather than excluded outright, since it is a real box tag on the plan."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWCH-A1,plan,false,"Box tag on cabinet-heater/coil symbol, first-floor plan near LASER ROOM 105-1A."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWCH-A2,plan,false,"Box tag adjacent to HWCH-A1, first-floor plan."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWCH-A3,plan,false,"Box tag at top-left of first-floor plan, leader to coil symbol near boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWCH-B2,plan,false,"Box tag with leader, mid-lower area of first-floor plan (near stairwell)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWP-A1,plan,false,"Hot water pump tag, basement plan boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWP-A2,plan,false,"Hot water pump tag, paired with HWP-A1, basement plan boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWUH-A1,plan,false,"Unit heater tag, drawn standalone near center-right of first-floor plan and also as part of a combined 'HWUH-A1 & A2' callout box — counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWUH-A2,plan,false,"Unit heater tag near the exhaust-flue/capture-hood area, and part of the combined 'HWUH-A1 & A2' box — counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,HWUH-A3,plan,false,"Unit heater tag, bottom-left of first-floor plan near EF-A1/CD-A10."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,L-A5,plan,false,"Louver tag, bottom-left corner of first-floor plan, just below CD-A10."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,RG-1,plan,false,"Return grille type tag (diamond/checkered symbol with '--' cfm and 18""x18"" size); appears twice on the first-floor plan labeling two different physical grilles of the same type — repeatable, listed once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,VAV-1,plan,false,"VAV box tag with adjacent 'T' thermostat, first-floor plan near boiler room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,VAV-2,plan,false,"VAV box tag with 'T', first-floor plan near LASER ROOM 105-1A."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#14,VAV-4,plan,false,"VAV box tag with 'T', first-floor plan near (E) VESTIBULE 102A. (No VAV-3 found on this sheet.)"
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,CD-A11,plan,false,"Control damper, unique instance. Leader points to a wall-mounted damper/louver assembly (hexagon '21') shared visually with L-A4 (same wall penetration, two separate pieces of equipment: louver + damper)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,CD-A2,plan,false,"Control damper, unique instance, drawn on plan (checkered circle glyph with hexagon '1') in lower-left area near CD-A11/L-A4."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,CD-A3,plan,false,"Control damper, unique instance. Appears twice: once drawn on plan near flue stack (upper 'A' Wing 2nd floor plan, near key note 13/15), and once again on the same plan near the HV wind tunnel test area (referenced by key note 13). Same physical damper referenced twice via key notes but drawn once on the plan glyph -> counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,EG-1,plan,false,"Exhaust grille, repeatable type/schedule mark (CFM=100, size 8x8, hexagon '7'). Drawn twice on the ABA Restroom partial plan for two separate physical grilles; listed once as a repeatable type."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,HWCH-A3,plan,false,"Hot water cabinet heater, unique instance, drawn on the ABA Restroom partial plan near hexagon '22', with leader/duct callout '8""ø' and '6""ø'."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,HWUH-A4,plan,false,"Hot water unit heater, unique instance, drawn glyph near flue stack with hexagon '16'."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,L-A4,plan,false,"Louver, unique instance, drawn at the same wall opening as CD-A11 (intake louver + control damper per key note 21: 'INTAKE LOUVER & CONTROL DAMPER FOR EXHAUST FAN SEF-A3'). Included as a real drawn equipment tag, not a room/keynote number."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,SEF-A3,plan,false,"Smoke exhaust fan, unique instance, drawn on plan near hexagon '17' below HWUH-A4. Also referenced (text only, no separate glyph) in key notes 6, 21."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,VAV-1,plan,false,"VAV box, unique instance, drawn on the lower 'Alternate 2 - ABA Restroom' first-floor partial plan (view 13), near hexagon '18'/'T' sensor."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,VAV-3,plan,false,"VAV box, unique instance, drawn as a box near hexagon '18'/'T' sensor, mid-plan near (E) control room."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#15,VAV-5,plan,false,"VAV box, unique instance, drawn as a box near hexagon '18'/'T' sensor, upper right of second-floor plan."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,AHU-A1,plan,false,"Custom AHU unit label under the large drawn AHU equipment block on 3rd Floor Plan, hexagon 3 (this is the only on-plan occurrence; many additional mentions of AHU-A1 exist only in the KEY NOTES legend text, not drawn on the plan itself, so not double counted)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CD-A12,plan,false,"Control damper label with leader on 3rd Floor Plan (bottom right area, near RO skid / air compressor equipment)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CD-A4,plan,false,"Control damper label with leader on 3rd Floor Plan, hexagon 11, at duct riser near (E) MECHANICAL RM."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CD-A7,plan,false,"Control damper named directly in an on-plan leader callout (""INTEGRATE (E) SA PLENUM CONTROL DAMPER CD-A7 (HIGH)..."") on 4th Floor Plan, with leader line to the actual duct/damper location on the drawing (not the boxed KEY NOTES legend)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CD-A8,plan,false,"Control damper named in on-plan leader callout (""ALTERNATE 12 - SUPPLY-TO-RELIEF BYPASS CONTROL DAMPER CD-A8 (HIGH)"") on 4th Floor Plan, leader to duct location."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CD-A9,plan,false,"Control damper named twice in on-plan leader callouts on Roof Plan (Alternate 4 note, and the 'INTEGRATE (E) SMOKE EXHAUST CONTROL DAMPER CD-A9 MOUNTED...' note), both with leader lines to the same damper equipment; counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CU-A1,plan,false,Air-cooled condensing unit box symbol on 4th Floor Plan (hexagon 33).
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,CU-A2,plan,false,"Air-cooled condensing unit box symbol on 4th Floor Plan (hexagon 35), serving AHU-A2 (which is below, not drawn on this page)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,DSF-A1,plan,false,"Tagged instrument/damper symbol (circle-with-bar glyph) on 4th Floor Plan, hexagon 19 leader."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,DSF-A2,plan,false,"Same symbol type as DSF-A1, separate location on 4th Floor Plan, hexagon 19 leader."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,EF-A3,plan,false,"Exhaust fan; drawn as circle-with-blades glyph on 4th Floor Plan (hexagon 30, near CU-A2) and referenced with leader/underline to duct connection on 3rd Floor Plan (12x12 EA UP TO EF-A3, and near (E) MECHANICAL RM 302 A). Same physical unit, counted once."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,HWUH-A5,plan,false,"Hot water unit heater label with leader to small wall-mounted unit glyph on 3rd Floor Plan (top right, near grid FF/EE)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,L-A6,plan,false,"Louver tag, underlined, hexagon 34, on 3rd Floor Plan near air compressor/water separator/manifold equipment."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,SEF-A1,plan,false,"Smoke exhaust fan label directly next to fan/duct glyph on Roof Plan, hexagon 20."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,SEF-A2,plan,false,"Smoke exhaust fan label directly next to fan glyph on Roof Plan, hexagon 21."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,SEF-A3,plan,false,"Smoke exhaust fan label next to fan symbol on 3rd Floor Plan, hexagon 29."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,SG-A1,plan,false,"Steam generator unit box label on 3rd Floor Plan, hexagon 12 (bottom of 3 stacked units)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,SG-A2,plan,false,"Steam generator unit box label on 3rd Floor Plan, hexagon 12 (middle of 3 stacked units)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#16,SG-A3,plan,false,"Steam generator unit box label on 3rd Floor Plan, hexagon 12 (topmost of 3 stacked units)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,CC-B1,plan,false,"New DX cooling coil, unique instance, drawn as an underlined label inside the '(E) B-WING MULTI-ZONE AHU' box in the same schematic inset. Confirmed visually via crop; also referenced in Key Note 1 text."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,CU-B1,plan,false,"New air-cooled condensing unit, unique instance, drawn as a labeled equipment box (underlined 'CU-B1') with 4 fan symbols, in the mechanical schematic inset on this basement-plan sheet. Confirmed visually via crop; also referenced in Key Note 2 text."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,ECUH-B1,plan,false,"Electric cabinet unit heater, unique instance, near (E) Women's RR, hexagon keynote '5' beside it."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,ECUH-B2,plan,false,"Electric cabinet unit heater, unique instance, near (E) Men's RR, hexagon keynote '5' beside it."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,ECUH-B3,plan,false,"Electric cabinet unit heater, unique instance, near (E) Dark Room 109B, hexagon keynote '5' beside it."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,HWCH-B1,plan,false,"Hydronic wall cabinet heater, unique instance. Labeled 'HWCH-B1' with underline, hexagon keynote '5' beside it, leader arrow to a small equipment box on the exterior wall near (E) Lobby & Display 101B. Confirmed visually via crop."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#17,HWCH-B2,plan,false,"Hydronic wall cabinet heater, unique instance, hexagon keynote '4' beside it, leader arrow to equipment box near top-left of basement plan."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#18,ECUH-B4,plan,false,"Electric cabinet unit heater, unique instance, near (E) W Toil 222B, hexagon keynote '3' beside it. Confirmed visually via crop."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#18,ECUH-B5,plan,false,"Electric cabinet unit heater, unique instance, near (E) M Toil 221B, hexagon keynote '3' beside it. Confirmed visually via crop."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#18,ECUH-B6,plan,false,"Electric cabinet unit heater, unique instance, near (E) Stock Room 204B, hexagon keynote '2' beside it. Confirmed visually via crop."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#18,ECUH-B7,plan,false,"Electric cabinet unit heater, unique instance, near (E) Passage 211B, hexagon keynote '2' beside it, leader to a small equipment box on the wall. Confirmed visually via crop."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,AHU-A1,plan,false,"Air handling unit box labeled on both the 'AHU-A1 ENLARGED PLAN' (view 13, true plan) and 'AHU-A1 SECTION' (view 11, cross-section). Unique instance."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,AHU-A2,plan,false,"AHU box labeled on 'ALTERNATE 3 - VAV AHU ENLARGED PLAN' (view 5, plan) and 'ALTERNATE 3 - VAV AHU SECTION' (view 3, cross-section). Unique instance."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A1,detail,false,"Control damper leader-line tag in AHU-A1 SECTION (view 11), pointing to a damper next to an access door bank. Unique instance mark."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A12,plan,false,"Control damper leader tag near relocated RO skid area in AHU-A1 ENLARGED PLAN (view 13, true plan)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A13,detail,false,"Control damper w/ circular actuator glyph in ALTERNATE 3 - VAV AHU SECTION (view 3), on 10x14 duct off AHU-A2."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A14,detail,false,Control damper w/ circular actuator glyph in ALTERNATE 3 - VAV AHU SECTION (view 3).
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A15,detail,false,Control damper w/ circular actuator glyph in ALTERNATE 3 - VAV AHU SECTION (view 3).
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A16,detail,false,"Control damper w/ circular actuator glyph on relief-air branch, ALTERNATE 3 - VAV AHU SECTION (view 3)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A17,detail,false,"Control damper w/ circular actuator glyph on relief-air branch, ALTERNATE 3 - VAV AHU SECTION (view 3)."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A4,plan,false,"Control damper drawn with circular actuator glyph in both AHU-A1 SECTION (view 11) and AHU-A1 ENLARGED PLAN (view 13, true plan). Unique instance."
014_MT_USDA_Forest_Service_Missoula_Fire_Sciences.pdf#19,CD-A5,detail,false,Control damper w/ circular actuator glyph in AHU-A1 SECTION (view 11).
