# 071_ME_BGS_Project_3809_Health_Science_Center.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
071_ME_BGS_Project_3809_Health_Science_Center.pdf#10,DOOR & FRAME SCHEDULE w Room Names - 25-062-00,1422.38,45.19,2682.5,152.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.5pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#23,FINISH SCHEDULE,175.06,56.12,1417.5,555.56,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#23,09 65 00 RESILIENT FLOORING,1770.75,346.12,2058.75,692.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#23,09 91 23 INTERIOR PAINTING,2072.25,377.62,2360.25,737.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.03pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#23,09 30 00 TILE CERAMIC / PORCELAIN,1770.75,705.88,2058.75,1078.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#23,10 26 00 WALL PROTECTION,2072.25,1016.75,2360.25,1511.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#23,09 30 00 TILE EDGE/ FLOORING TRANSITION,1770.75,1091.75,2058.75,1384.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.25pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#32,PLUMBING FIXTURE SCHEDULE,1761.81,238.5,2652.19,444.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,228.94,96.44,912.19,955.19,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.05pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,FAN SCHEDULE,1279.94,96.44,2608.38,244.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
