# 083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# HELD-OUT SAMPLE. These tables were drawn at random from the 98 held-out
# tables (seed 20260905) and each edge was chosen by a human from the
# CANDIDATE RULES the page itself carries — every horizontal rule near the top
# and bottom that spans at least 80% of the table, every vertical near the left
# and right — WITHOUT the extractor's own box in view. Agreeing with it
# afterwards therefore means something.
#
# Two of the fifteen first-pass picks were WRONG, both mine, both caught by
# re-reading the pixels at 9x, and both recorded below. Reading an edge off a
# whole-sheet render is not good enough: at sheet scale a 13pt row is four
# pixels.
sheet,table_title,x0,top,x1,bot,provenance
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,COMMON AREA DX FAN COIL UNIT SCHEDULE,45.90,97.44,1009.50,287.46,"adjudicated by eye from the page's own candidate rules, blind to the extractor's choice"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,HVAC POWER EQUIPMENT SCHEDULE,1336.14,97.44,2170.92,313.44,"adjudicated by eye from the page's own candidate rules, blind to the extractor's choice"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,"REGISTER, GRILLE & DIFFUSER SCHEDULE",2672.12,665.5,4493.62,1175.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,COMMON AREA - AIR COOLED HEAT PUMP SCHEDULE,91.62,841.88,2003.62,1133.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,ENERGY RECOVERY VENTILATOR SCHEDULE,91.62,1169.25,2360.12,1414.75,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,PIPE MATERIAL TABLE,2708.12,1221.88,4357.62,1430.62,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.08pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,INSULATION TYPE SCHEDULE,91.62,1494.88,1171.12,1926.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,ELECTRIC HEATING COIL SCHEDULE,91.62,1962.88,1647.38,2138.38,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.11pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#4,ENERGY RECOVERY VENTILATOR SCHEDULE,91.62,2174.38,3915.38,2551.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
083_MA_Town_Offices_Facilities_HVAC_System_Upgrades.pdf#7,APPLICATION TABLE,1791.12,824.88,2479.5,1012.5,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.06pt vs vectorgrid's own box"
