# 040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.attrs.csv, one row each.
# Sources read: M401 (page 47) schedules; M402 (page 45) mechanical control diagrams and sequences.
#
sheet,tag,family,typical_id,options,basis_note
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,UH-1,UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"M402 detail 4 (UNIT HEATER CONTROL - HYDRONIC): wall mounted temperature sensor AI, modulating normally open valve AO with valve feedback AI, fan start/stop DO; no fan status and no setpoint adjustment. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,UH-2,UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"M402 detail 4 (UNIT HEATER CONTROL - HYDRONIC): wall mounted temperature sensor AI, modulating normally open valve AO with valve feedback AI, fan start/stop DO; no fan status and no setpoint adjustment. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,UH-3,UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"M402 detail 4 (UNIT HEATER CONTROL - HYDRONIC): wall mounted temperature sensor AI, modulating normally open valve AO with valve feedback AI, fan start/stop DO; no fan status and no setpoint adjustment. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,UH-4,UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"M402 detail 4 (UNIT HEATER CONTROL - HYDRONIC): wall mounted temperature sensor AI, modulating normally open valve AO with valve feedback AI, fan start/stop DO; no fan status and no setpoint adjustment. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,UH-5,UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"M402 detail 4 (UNIT HEATER CONTROL - HYDRONIC): wall mounted temperature sensor AI, modulating normally open valve AO with valve feedback AI, fan start/stop DO; no fan status and no setpoint adjustment. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,UH-6,UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"M402 detail 4 (UNIT HEATER CONTROL - HYDRONIC): wall mounted temperature sensor AI, modulating normally open valve AO with valve feedback AI, fan start/stop DO; no fan status and no setpoint adjustment. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,EF-1A,FAN,fan-variable,motorized_damper=true;pressure_control=true,"Schedule control 'FAN-A' = M402 detail 1 (EXHAUST FAN CONTROL - AHU INTERLOCK): start/stop DO, status DI by current switch, 2-position damper actuator that opens with the fan, and the FMCS modulates the VFD to hold exhaust duct static pressure. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,EF-1B,FAN,fan-variable,motorized_damper=true;pressure_control=true,"Schedule control 'FAN-A' = M402 detail 1 (EXHAUST FAN CONTROL - AHU INTERLOCK): start/stop DO, status DI by current switch, 2-position damper actuator that opens with the fan, and the FMCS modulates the VFD to hold exhaust duct static pressure. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,EF-2A,FAN,fan-constant,motorized_damper=true,"Schedule control 'FAN-B' = M402 detail 2 (CARTWASHER AND WASHER DISINFECTOR FAN CONTROL): start/stop DO from the washer's remote fan contacts (DI), status DI by current switch, 2-position damper actuator that opens with the fan. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,EF-2B,FAN,fan-constant,motorized_damper=true,"Schedule control 'FAN-B' = M402 detail 2 (CARTWASHER AND WASHER DISINFECTOR FAN CONTROL): start/stop DO from the washer's remote fan contacts (DI), status DI by current switch, 2-position damper actuator that opens with the fan. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,EF-3A,FAN,fan-constant,motorized_damper=true,"Schedule control 'FAN-B' = M402 detail 2 (CARTWASHER AND WASHER DISINFECTOR FAN CONTROL): start/stop DO from the washer's remote fan contacts (DI), status DI by current switch, 2-position damper actuator that opens with the fan. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,EF-3B,FAN,fan-constant,motorized_damper=true,"Schedule control 'FAN-B' = M402 detail 2 (CARTWASHER AND WASHER DISINFECTOR FAN CONTROL): start/stop DO from the washer's remote fan contacts (DI), status DI by current switch, 2-position damper actuator that opens with the fan. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,CWP-1,PUMP,pump-vfd,ufc_minimum_points=false,"M402 detail 6 (CHILLED WATER PUMP CONTROL): VFD on a communication link to the FMCS, pump status by current switch, the FMCS modulates the VFD to hold the remote differential pressure setpoint, lead/standby. VA project (not DoD)."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#47,CWP-2,PUMP,pump-vfd,ufc_minimum_points=false,"M402 detail 6 (CHILLED WATER PUMP CONTROL): VFD on a communication link to the FMCS, pump status by current switch, the FMCS modulates the VFD to hold the remote differential pressure setpoint, lead/standby. VA project (not DoD)."
