# keys/bldg5406-hvac-demo.tagocc.csv -- occurrence-level ground truth for
# plans/03-schedule-row-to-drawn-tag-reconciliation-plan.md Phase 0.
#
# Authored 2026-09-16 from opentakeoff-corpus/raw/bldg5406-hvac-demo-
# mechanical.pdf (23 pages). Every bbox is grounded by Session.findText
# (independent of the occurrence-recovery ladder under test) or, for
# compound tag+value PDF runs, by direct span inspection -- never hand-
# measured from a render. Coordinates are production "image px"
# (pt x RENDER_SCALE=2, origin top-left, y down).
#
# Real page->role map for the pages this key covers:
#   #2  plan      M-101 (mechanical plan) -- every PLAN_INSTANCE row below
#   #6  schedule  M-601 (Mechanical Schedules 1) -- AHU/VAV/AC-ACCU/EF/CH rows
#   #7  schedule  M-602 (Mechanical Schedules 2) -- CWP/L/AS/ET/CD*/SR*/RR*/ER* rows
#   #14 plan      carries a second real ET-1 instance (not otherwise examined this session)
#   #18 (unexamined this session except for CP-1's own row label)
#   #3,4,5 detail M-501/502/503 -- correctly excluded from occurrence search;
#     M-503 draws a real chilled-water schematic naming genuine project
#     equipment (CH-1, CWP-1, CWP-2, ET-1, AS-1) -- a diagram reference, not
#     a to-scale plan instance; not included as a row below (see
#     TAG_LEDGER_BASELINE.md's note on this for Phase 3's classifier design).
#
# Two real, confirmed defects found authoring this key (both written up in
# full, with root cause, in TAG_LEDGER_BASELINE.md):
#
#  1. CWP-1's note-text row below (class NOTE_MENTION) is the text
#     "CWP-1 AND CWP-2 SHALL BE STACKED AND MOUNTED TO..." -- a general
#     installation note. compoundTagOcc currently counts this as a SECOND
#     drawn PLAN_INSTANCE of CWP-1, which is wrong. Confirmed instance of H7
#     (note text leaking into a count).
#
#  2. NOT reproduced in this key file directly (it lives on bessemer, see
#     that key's own EBB-1 note), but relevant context: familySuffixTagOcc
#     can recover an unrelated keynote/callout digit as a phantom tag suffix
#     when it sits near >=4 real family siblings. Not observed on this
#     document, but the same fallback strategy is live here too (this
#     document's own GRILLE/REGISTER/DIFFUSER family has >=4 siblings drawn
#     with distinct marks) -- worth a deliberate stress-test in a future
#     session, not something this key currently exercises or disproves.
#
# CORRECTION NOTE (kept for the record -- see TAG_LEDGER_BASELINE.md for the
# full account): an earlier pass this session wrongly concluded CDB and RRA
# were almost entirely fabricated by the occurrence ladder, based on an
# overly strict exact-match verification filter that discarded legitimate
# "TAG VALUE" compound PDF runs (e.g. the real drawn label is "CDB 290",
# tag and CFM value in ONE rotated text run). That claim was retracted. The
# PLAN_INSTANCE rows for CDB/RRA/CDA below reflect the corrected, verified
# reality: compoundTagOcc handles this drafting convention correctly, and
# every one of these rows is a real, confirmed instance.
#
# VAV-6 has a real ROW_LABEL (on the M-601 schedule) but ZERO drawn plan
# instances anywhere on sheet #2 or #14 (checked directly, unfiltered raw
# substring search, zero hits) -- a genuine SCHEDULE_ONLY case, not a data
# gap in this key. No PLAN_INSTANCE row exists for VAV-6 below; that
# absence is itself the ground truth.
#
sheet,page,text_as_drawn,x0,y0,x1,y1,rot,class,row_table,row_key,note
bldg5406-hvac-demo-mechanical.pdf#6,6,AHU-1,1107.2,56.4,1113.1,74.2,0,ROW_LABEL,AIR HANDLING UNIT SCHEDULE,AHU-1,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-1,973.9,68.1,979.8,85.2,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-1,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-2,961.2,67.7,967.1,84.7,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-2,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-3,948.4,67.7,954.3,84.7,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-3,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-4,935.7,67.7,941.6,84.7,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-4,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-5,922.9,67.7,928.8,84.7,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-5,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-6,910.2,67.7,916.1,84.7,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-6,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-7,897.4,67.7,903.3,84.8,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-7,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-8,884.7,67.7,890.6,84.8,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-8,
bldg5406-hvac-demo-mechanical.pdf#6,6,VAV-9,871.9,67.7,877.8,84.7,0,ROW_LABEL,AIR TERMINAL BOX SCHEDULE,VAV-9,
bldg5406-hvac-demo-mechanical.pdf#6,6,EF-1,770.5,55.5,776.4,68.4,0,ROW_LABEL,FAN SCHEDULE,EF-1,
bldg5406-hvac-demo-mechanical.pdf#6,6,EF-2,757.8,55.1,763.7,67.8,0,ROW_LABEL,FAN SCHEDULE,EF-2,
bldg5406-hvac-demo-mechanical.pdf#6,6,EF-3,745.1,55.1,751,67.9,0,ROW_LABEL,FAN SCHEDULE,EF-3,
bldg5406-hvac-demo-mechanical.pdf#6,6,EF-4,732.3,55.1,738.2,67.8,0,ROW_LABEL,FAN SCHEDULE,EF-4,
bldg5406-hvac-demo-mechanical.pdf#6,6,EF-5,719.6,55.1,725.5,67.9,0,ROW_LABEL,FAN SCHEDULE,EF-5,
bldg5406-hvac-demo-mechanical.pdf#6,6,CH-1,607.3,62.2,613.2,76,0,ROW_LABEL,PACKAGED AIR COOLED CHILLER SCHEDULE,CH-1,
bldg5406-hvac-demo-mechanical.pdf#7,7,CWP-1,739.5,63.8,745.4,82.8,0,ROW_LABEL,PUMP SCHEDULE,CWP-1,
bldg5406-hvac-demo-mechanical.pdf#7,7,CWP-2,726.7,63.5,732.6,82.5,0,ROW_LABEL,PUMP SCHEDULE,CWP-2,
