sheet,tag,role,in_table,note
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,AS-E,plan,false,"Small circle symbol tagged AS-E (air separator, existing). Unique instance; drawn once per half-plan (same physical unit)."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,B-R,plan,false,"Two dashed equipment-outline boxes (boiler footprints) each explicitly labeled B-R, clearly visible as two separate boiler symbols in the electrical-removal half-plan crop (confirms 2 physical boilers, both generically tagged B-R, no individual numbering). Repeatable type mark, listed once."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,DWH-E,plan,false,"Circle glyph tagged DWH-E (domestic water heater, existing, to remain). Unique instance; drawn once per half-plan (same physical unit)."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,EF-E,plan,false,"Fan-shaped glyph tagged EF-E (exhaust fan, existing). Unique instance; drawn once per half-plan (same physical unit)."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,L-E,plan,false,"Rectangular louver glyph tagged L-E, appears twice at two different physical locations on the mechanical-removal half (one near the top wall, one near EF-E at bottom). Same generic tag used for two distinct louvers — repeatable type mark, listed once."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,M,plan,false,"Circled 'M' symbol sitting directly on the natural-gas line, with the leader from 'EXISTING NATURAL GAS SERVICE TO REMAIN' terminating at it — reads as a gas meter equipment glyph tagged M (same circle-glyph convention as AS-E/DWH-E on this sheet). Included with moderate confidence; flagging in case the evaluator intends single bare letters as non-equipment keynotes."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,P-1R,plan,false,"Pump symbol (circle w/ impeller glyph) tagged P-1R, boiler-plant vertical inline pump marked for removal. Unique instance; appears once in the mechanical-removal half-plan and again at the mirrored location in the electrical-removal half-plan (same physical pump shown in both views for context) — counted once."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,P-2R,plan,false,"Second inline pump symbol, tagged P-2R, same pattern as P-1R (drawn once per half-plan, same physical pump) — counted once."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,P-4,plan,false,Leader-called-out electrical panel symbol (stacked-rectangle panelboard glyph) labeled 'EXISTING ELECTRICAL PANEL P-4'; tag is P-4. Same physical panel referenced/drawn from both the mechanical and electrical half-plans — counted once.
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,UH-E,plan,false,"Diamond/rotated-square unit-heater glyph tagged UH-E. This exact literal tag labels two different physical unit heaters at two different plan locations on this sheet (one near the boiler room, one near the STOR/COMM area) — repeatable type mark, listed once per rules."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#4,XT-R,plan,false,"Circle symbol (expansion tank) tagged XT-R, existing expansion tank marked for removal under Alt Bid Item #1. Appears only on the mechanical-removal half; unique instance."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,AS-E,plan,false,"Existing air separator glyph (circle) on the 3"" HWS main. Unique."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,B-1,plan,false,"Boiler glyph (rectangle with circle), first of two boilers in Boiler Room 131. Unique instance."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,B-2,plan,false,"Boiler glyph, second boiler. Unique instance."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,DWH-E,plan,false,"Existing domestic water heater glyph (circle), leader text 'EXISTING DOMESTIC WATER HEATER TO REMAIN'. Unique."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,EF-E,plan,false,"Existing exhaust fan glyph (square with damper), unique."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,EM,plan,false,"Label beside a wall switch glyph (circled 'S') keyed to leader text 'BOILER PLANT EMERGENCY SHUTDOWN SWITCH AT 48"" ADJACENT TO DOOR' - i.e. the emergency-shutdown switch tag. The circled 'S' itself is a generic switch symbol, not a per-device tag; 'EM' is the actual device identifier. Shown on both mirrored plan views for the same physical device."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,G,plan,false,"Label beside a wall switch glyph (circled 'S') keyed to leader text 'WALL MOUNTED GAS DETECTOR EQUAL TO AGS MINI-MERLIN CH4CO-50' - the gas-detector device tag. Same reasoning as EM: the circled 'S' is a generic switch symbol, 'G' is the device tag."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,L-E,plan,false,"Existing louver glyph, shown on both plan views (same physical unit near the boiler-room wall)."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,P-1,plan,false,"Circulator pump glyph (circle+triangle), Boiler Room 131, feeding XT-1/boiler loop. Unique instance."
029_ME_BGS_Project_3548_MEANG_Building_493_Boiler.pdf#5,P-2,plan,false,Circulator pump glyph adjacent to P-1. Unique instance.
