sheet,tag,role,in_table,note
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#17,HP-1,plan,false,"Unique heat pump instance, drawn on hatched equipment box on roof HVAC plan, matches textSpans exactly (x0=1305.6,y0=1079.3). Adjacent (1)(2)(3) bubbles are keynote references to KEYNOTES box (REFER TO 1/M-601..., 3/M-601..., HEAT PUMPS SHALL BE MOUNTED...), not part of the tag."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#17,HP-2,plan,false,"Unique heat pump instance, drawn on second hatched equipment box directly below HP-1, matches textSpans exactly (x0=1305.6,y0=1203.4). Same (1)(2)(3) keynote bubbles precede it."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,AHU-1,plan,false,"Air Handling Unit tag in oval callout on Second Floor Electrical Plan, next to circuit label 'AB-21,23', located by Mechanical room 216ME. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,AHU-1H,plan,false,"Companion callout directly under AHU-1, oval glyph, circuit 'K-30,32' (heating element/coil associated with AHU-1). Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,AHU-2,plan,false,"Air Handling Unit tag in oval callout, circuit 'AB-25,27', mirrored position on opposite side of Innovation Learning Studio 216. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,AHU-2H,plan,false,"Companion callout under AHU-2, oval glyph, circuit 'K-34,36'. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,DH-1,plan,false,"Dehumidifier tag in hexagon/diamond callout, circuit 'K-29,31', on west wall of room 216. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,ERV-1,plan,false,"Energy Recovery Ventilator tag in hexagon/diamond callout, circuit 'K-26,28', below DH-1 on west wall. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,HP-1,plan,false,"Heat Pump tag in oval callout on Fourth Floor and Rooftop Electrical Plan, circuit 'AB-21,23', near existing cooling tower. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#20,HP-2,plan,false,"Heat Pump tag in oval callout, circuit 'AB-25,27', below HP-1 on rooftop plan. Unique instance mark."
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#30,FS,plan,false,Repeatable type mark 'FLOW SWITCH' (per Fire Sprinkler Legend). Drawn as a boxed label next to the flow-switch fitting in 'Standpipe Detail - Northwest Stair' (item 4). Listed once.
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#30,TS,plan,false,"Repeatable type mark 'TAMPER SWITCH' (per Fire Sprinkler Legend). Drawn as a boxed label directly on top of valve symbols: twice in 'Fire Sprinkler Riser Detail - North' (item 2, on the two OS&Y control valves) and once in 'Standpipe Detail - Northwest Stair' (item 4, on the third-floor supply valve). Listed once as a repeatable type mark."
