sheet, device_tag, device_x, device_y, equipment_tag, equipment_x, equipment_y, relation, expect_status, note
navfac-cherry-point-atc-mechanical.pdf#6,CD-2,1626,1200,VAV-A108A,1624,1026,ducted,served,"Hand-traced, tool answer not consulted first. Rendered full page at --scale 0.9 for orientation then --scale 1 (no crop) for coordinate work, then --scale 3 --crop 680,380,300,240 to look directly at the WX FLOOR corridor near FCU-A13. VAV-A108A is drawn as a hexagonal (corner-cut) VAV box; its bottom-left corner has a short diagonal duct labeled '12/12 SA' that turns into a horizontal run labeled '14x10 SA' and ends directly at a CD-2 diffuser glyph tagged 170 CFM, with no other branch crossing that 2-segment run. Corroborated only after the fact by the CFM value being plausible for a small office diffuser -- not used to decide it. Moderate rather than high confidence: this corner of the sheet is dense and a second nearby CD-2/170 (see the ambiguous row below) made me look twice before committing to this path."
navfac-cherry-point-atc-mechanical.pdf#6,CD-2,1490,1456,,,,ducted,ambiguous,"Rendered --scale 4 --crop 700,650,180,150 (ADMIN STOR / BUNK LOCKER corridor). VAV-A106B sits directly above VAV-A106A, both corner-cut VAV boxes stacked with only their own callout text between them. A CD-2 diffuser tagged 170 CFM sits at the same corridor point that both a short direct duct off VAV-A106A's left port (same duct level as the diffuser) AND a vertical drop with a BD balancing-damper callout (M35) hanging off VAV-A106B's bottom-left corner could plausibly feed -- the diagonal flex-duct hash marks at the diffuser neck make it genuinely unclear on the drawing itself which rigid duct that flex whip taps off. I looked at this twice at scale 4 and could not resolve it by eye; this is exactly the kind of same-corridor stacked-VAV case the drawing does not decide. equipment left blank on purpose."
navfac-cherry-point-atc-mechanical.pdf#6,CD-5,1640,1656,VAV-A105,1636,1772,ducted,served,"Rendered --scale 4 --crop 760,780,200,180 (ASOS/ENTRY corridor south of ADMIN STOR). CD-5 (90 CFM) and an adjacent RG-1 (60 CFM, see the other VAV-A105 row) both drop into one small hatched transition/manifold box that itself sits directly on top of the VAV-A105 unit body (labelled by a short leader just below it); no other duct enters or leaves that manifold. Short, direct, single-branch run, high confidence."
navfac-cherry-point-atc-mechanical.pdf#6,RG-11,2900,1004,FCU-A1,2858,980,ducted,served,"Rendered --scale 3 --crop 1330,440,220,220 near STAIR 100 / TOILET-SHOWER 130. A lower RG-11 (90 CFM) grille glyph connects via a short elbow into a horizontal duct labelled '8x8 RA' that runs left and terminates directly at FCU-A1's own small rectangular unit body -- single unbroken segment, no other branch on it. (There is a second RG-11/90 tag one riser level up, on the same vertical shaft, which I did not use here to avoid double-counting the same physical riser as two rows.) High confidence."
navfac-cherry-point-atc-mechanical.pdf#6,CD-1,2434,1120,VAV-A110,2474,1056,ducted,served,"Rendered --scale 3 --crop 1140,460,260,240, BUNK ROOM 129. VAV-A110 is drawn with a visible V-shaped duct split at its outlet feeding two glyphs directly below it: this CD-1 (100 CFM) and an RG-6 (115 CFM, separate row below). Short, single-segment, unambiguous. High confidence."
navfac-cherry-point-atc-mechanical.pdf#6,CD-1,2488,1646,VAV-A111,2456,1592,ducted,served,"Rendered --scale 4 --crop 1150,700,200,170, BUNK/LOCKER 127 corridor. CD-1 (140 CFM) diffuser glyph sits immediately against VAV-A111's own right-side port with no intervening branch -- the shortest, most direct connection found on this sheet. High confidence."
navfac-cherry-point-atc-mechanical.pdf#6,RG-2,2412,1536,VAV-A111,2456,1592,ducted,served,"Same crop as the CD-1/VAV-A111 row (--scale 4 --crop 1150,700,200,170). RG-2 (140 CFM) glyph has its own short duct stub that drops straight down and turns directly into VAV-A111's left port, separate from the '16/14 SA' main that passes overhead into the same box. Traced the stub itself, not the overhead main. High confidence."
navfac-cherry-point-atc-mechanical.pdf#6,RG-1,2784,1524,VAV-A112,2826,1716,ducted,served,"Rendered --scale 3 --crop 1330,650,260,230, JANITOR 135 / corridor at the MH103 matchline. RG-1 (60 CFM) glyph feeds a short duct straight down into VAV-A112's box, alongside CD-1/100 and RG-4/590 (separate rows) which drop into the same unit from the same small cluster of risers. High confidence."
navfac-cherry-point-atc-mechanical.pdf#6,CD-1,2746,1630,VAV-A112,2826,1716,ducted,served,"Same crop as the RG-1/VAV-A112 row (--scale 3 --crop 1330,650,260,230). CD-1 (100 CFM) glyph sits in the same small riser cluster immediately above VAV-A112 and drops straight into the unit. High confidence."
navfac-cherry-point-atc-mechanical.pdf#6,RG-4,2860,1574,VAV-A112,2826,1716,ducted,served,"Same crop as the other VAV-A112 rows (--scale 3 --crop 1330,650,260,230). RG-4 (590 CFM) is a vertical riser glyph directly above VAV-A112's box; the riser's single duct segment runs straight down and enters the top of the VAV-A112 body. This riser sits close to the MH103 matchline but its own connection stays entirely on this sheet -- verified it terminates in the VAV box, not at the matchline (a separate outlet duct, '12x14 SA', is what actually continues to the matchline arrow, and that is VAV-A112's own downstream duct, not this device's path). High confidence."
