# 018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#6,FINISH SCHEDULE,2860.75,157.75,4980.25,900.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#6,DOOR SCHEDULE,1273.25,986.25,2681.25,1403.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#8,PLUMBING FIXTURE SCHEDULE,264.88,2505.88,2485.38,2772.12,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#8,AIR COMPRESSOR SCHEDULE,273.38,2845.62,1705.12,3215.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#13,"GRILLE, REGISTER AND DIFFUSER SCHEDULE",297.62,145.12,2228.88,603.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#13,EXHAUST FAN SCHEDULE,297.62,829.62,3260.62,1291.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#13,WATER SOURCE HEAT PUMP (PART 1 OF 2),297.5,1999.62,2674.12,2286.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#13,LOUVER SCHEDULE,297.5,1422.62,3228.25,1839.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.42pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#20,LUMINAIRE SCHEDULE,261.88,1880.38,2800.12,2538.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#21,EQUIPMENT CONNECTIONS SCHEDULE,1941.38,246.88,4317.5,552.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#22,L1HL,244.88,149.62,1828.62,1452.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.47pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#22,H-121,244.62,1592.38,1828.62,2650.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.45pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#22,L1HL,244.88,149.62,1828.62,415.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#22,H-121,244.62,1592.38,1828.62,1858.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#23,Fire Alarm Schedule,297.5,2812.38,1449.5,3121.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#24,Telephone and Data Schedule,2173.62,223.38,3325.88,521.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
