sheet,tag,role,in_table,note
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,EV,plan,false,'General exhaust air valve' box drawn on M-101 first-floor HVAC ceiling plan dozens of times (every lab/support space) -- repeatable type mark.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,HC,plan,false,"Reheat/heating-coil box attached to SAV terminal units, drawn repeatedly on M-101 -- repeatable component tag (not in the M-001 abbreviations legend, but clearly a drawn equipment-adjacent mark, not a room number or duct-size string)."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,HEV,plan,false,"'Hood exhaust air valve' box per M-001 legend and M-601 schedule, referenced by leader notes on M-101/M-102 fume-hood ductwork -- repeatable; exact drawn box glyph was not individually re-zoomed, moderate confidence."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,R-1,plan,false,"Return/exhaust register mark per Air Device Schedule (M-601); expected to recur on M-101/M-102 corridors similarly to R-2, but not individually re-zoomed in this pass -- moderate confidence."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,R-2,plan,false,Return/exhaust register mark drawn near restroom 110 on M-101 -- repeatable type mark; matches Air Device Schedule R-2 row on M-601.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,SAV,plan,false,'Supply air valve' box drawn on M-101 dozens of times -- repeatable type mark; matches Supply/Hood/General Exhaust Air Valve schedule on M-601.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,SFD,plan,false,Combination smoke/fire damper box drawn at duct risers on M-101 -- repeatable type mark.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#2,SR-1,plan,false,Supply wall register mark drawn twice (with duct size/CFM) near Emergency Equipment Room 113/Storage 114 on M-101 -- repeatable type mark.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,AHU-1,plan,false,"Air handling unit box drawn on M-103 East Lab Wing Penthouse/Roof plan, unique instance; also confirmed in Air Handling Unit Schedule on M-601 (page 13)."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,AHU-2,plan,false,"Same context as AHU-1, East wing penthouse."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,AHU-3,plan,false,"Drawn on East Lab Wing Penthouse/Roof plan, upper-left, tilted plenum area."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,AHU-4,plan,false,"West Lab Wing Penthouse/Roof plan, unique instance."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,AHU-5,plan,false,"West Lab Wing Penthouse/Roof plan, unique instance."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,AHU-6,plan,false,"West Lab Wing Penthouse/Roof plan, tilted plenum area, unique instance."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CH-1,plan,false,"Air-cooled chiller box drawn on roof plan next to chiller glyph (row of X-circles), East wing."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CH-2,plan,false,"East wing chiller, below CH-1."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CH-3,plan,false,West wing chiller.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CH-4,plan,false,"West wing chiller, below CH-3."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CP-1,plan,false,"""CP-1 AT AHU PREHEAT COIL"" circulator-pump box next to AHU-1 outside-air section."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CP-2,plan,false,"""CP-2 AT AHU PREHEAT COIL"", next to AHU-2."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CP-3,plan,false,"""CP-3 AT AHU PREHEAT COIL"", next to AHU-3."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CP-4,plan,false,"""CP-4 AT AHU PREHEAT COIL"", next to AHU-4."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CP-5,plan,false,"""CP-5 AT AHU PREHEAT COIL"", next to AHU-5."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,CP-6,plan,false,"""CP-6 AT AHU PREHEAT COIL"", next to AHU-6."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-1,plan,false,Exhaust fan box on East roof plan near stack cluster.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-10,plan,false,"West roof plan, near CH-4 stack cluster."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-11,plan,false,"West roof plan, adjacent to EF-10."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-12,plan,false,"West roof plan, adjacent to EF-11/SA-4."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-13,plan,false,"West roof plan, adjacent to SA-4."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-14,plan,false,"West roof plan, near CH-4/cold room condenser."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-15,plan,false,"West roof plan, adjacent to EF-14."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-17,plan,false,"East roof plan, perchlorate hood exhaust fan next to SA-2 stack."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-2,plan,false,"East roof plan, adjacent to EF-1."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-3,plan,false,"East roof plan, adjacent to SA-1."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-4,plan,false,"East roof plan, adjacent to EF-5/SA-2."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-5,plan,false,"East roof plan, adjacent to EF-4."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-6,plan,false,"East roof plan, near CH-1."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-7,plan,false,"East roof plan, near SA-2/EF-17."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-8,plan,false,"East roof plan, standalone box near center of roof."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,EF-9,plan,false,"East roof plan, next to AHU-3 relief/outside air louvers."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,SA-1,plan,false,"In-line sound attenuator/silencer box in hood exhaust duct run, East roof plan; matches Sound Attenuator Schedule on M-601."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,SA-2,plan,false,"East roof plan, second hood-exhaust silencer run."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,SA-4,plan,false,West roof plan silencer run.
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,SA-6,plan,false,"West roof plan silencer run, near EF-10."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#4,SP-1,plan,false,"Boxed tag on a small duct-mounted device (likely static-pressure sensor per M-801 control-diagram symbol) at AHU-1 outside-air plenum, East wing; the identical literal 'SP-1' recurs at the equivalent West-wing location near CH-3/CH-4 -- listed once as a repeatable type mark. Not decodable via textSpans."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#5,CUH-1,plan,false,"Cabinet unit heater box near Stair 3 (west wing), M-201; matches Unit Heater Schedule row CUH-1 'STAIR S103'. Read at overview scale, not individually re-zoomed -- moderate confidence."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#5,FCU-1,plan,false,"Fan coil unit box drawn at Stair 2 landing duct/piping riser, M-201 First Floor Plan - Piping; matches Fan Coil Unit Schedule on M-601."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#5,T-5,plan,false,"Repeatable type mark on three identical round transfer/fan units next to the stair-ventilation-damper note on M-201; exact equipment identity uncertain (not matched to a schedule table seen in this range) but clearly a drawn equipment tag, not a room number."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,ATC,plan,false,"'Automatic Temperature Control panel' box (per M-001 legend), drawn multiple times on M-401 penthouse plans -- repeatable."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,B-1A,plan,false,"Boiler box, East enlarged penthouse plan; matches Boiler Schedule on M-601."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,B-1B,plan,false,"Boiler box, East enlarged penthouse plan, paired with B-1A."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,B-2A,plan,false,"Boiler box, West enlarged penthouse plan."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,B-2B,plan,false,"Boiler box, West enlarged penthouse plan, paired with B-2A."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,DI-1,plan,false,"West-wing counterpart of DI-2; moderate confidence, not individually re-zoomed."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,DI-2,plan,false,"Boxed equipment tag (DI water skid), East enlarged penthouse plan."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,DWH-1,plan,false,"West-wing counterpart of DWH-2; moderate confidence, not individually re-zoomed."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,DWH-2,plan,false,"Boxed equipment tag (domestic water heater), East enlarged penthouse plan."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,FCU-2,plan,false,"Fan coil unit box on M-401 West Wing Enlarged Penthouse plan, near stair ventilation duct."
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#8,LAC-1,plan,false,"West-wing counterpart of LAC-2; moderate confidence, not individually re-zoomed."
