# 092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.cells.csv -- CELL-tier
# ground truth, DEMO CORPUS document, sheet #11. All 8 real HVAC equipment
# tables on this sheet (20 data rows total) were transcribed off a rendered
# crop of the page at scale=3.0 (wide tables split into left/right halves)
# and compared cell by cell against the extractor's own output. 20/20 rows
# matched EXACTLY.
#
# METHODOLOGY NOTE, disclosed rather than glossed over: 5 of the 8 tables
# (AIR COOLED CHILLER SCHEDULE, AUTOMATIC CONTROL DAMPER SCHEDULE, GRILLES/
# REGISTERS/DIFFUSER SCHEDULE, DX COIL SCHEDULE, REFRIGERATION SCHEDULE --
# 9 of the 20 rows) were transcribed genuinely BLIND, extractor's own
# answer not in view, matching this goal's own required grading
# discipline. The other 3 (FAN COIL SCHEDULE, CONDENSING UNIT SCHEDULE,
# MECHANICAL/ELECTRICAL COORDINATION SCHEDULE -- 11 rows) were checked
# AFTER the extractor's own output for this page had already been viewed
# (an ordering mistake in this session, not a deliberate shortcut) -- their
# values were independently re-read off the render and found to match, but
# that check does not carry the same evidentiary weight as a genuinely
# blind read and should not be cited as satisfying the Demo Corpus's own
# strict blind-grading requirement for those 3 tables specifically. A
# future session should re-verify those 11 rows blind if this document's
# cell-tier status is ever cited as authoritative.
#
# Real content notes: REFRIGERATION SCHEDULE's own CH-1 row and AIR COOLED
# CHILLER SCHEDULE's own CH-2 row describe the same physical chiller
# (identical LEFT FIELD location, R134A/475 ton/SCREW data) under two
# different tag numbers -- a real as-drawn cross-referencing quirk between
# two different schedules' own tagging systems, confirmed by direct
# reading, not an extraction error.
#
# row/col index ONLY each table's own DATA rows/columns (0-based),
# following the same convention as this corpus's
# 028_TX_Renovation_of_Building_615_Final_Design_Plans.cells.csv.
#
# Part of opentakeoff-corpus/goals/VECTORGRID_TABLE_BOXES.md's own
# Completion Gate CELL-tier requirement. Real, disclosed partial progress
# on one Demo Corpus document among 32; not a claim the Demo Corpus is
# graded (which also requires zero errors AND every box hand-graded blind
# with no auto-accept -- see DEMO_CORPUS_GRADING.md's own correction).
#
sheet,table_title,row,col,text
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,0,CH 2
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,1,LEFT FIELD
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,2,NEAR GATE 6
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,3,DAIKIN
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,4,AWV026A
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,5,AIR COOLED SCREW COMP.
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,6,24893
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,7,26813
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,8,523.2
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,9,87.6
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,10,100.1
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,11,475.0
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,A I R C O O L E D C H I L L E R S C H E D U L E ( C H ),0,12,475.0
