# itd-d1-lab.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/itd-d1-lab.attrs.csv, one row each.
# Sources read: M5.0-M5.3 (pages 12-15) schedules and remarks; M1.0 (page 3) plan notes; M6.0-M6.5 (pages 16-21) mechanical controls: sequences and control schematics.
#
sheet,tag,family,typical_id,options,basis_note
itd-d1-lab-mechanical.pdf#12,BP-1,PUMP,none,,M6.2: each boiler enables its own pump ('BOILER PUMP INTERLOCK'); the BAS reads the pump status through a current sensing relay. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#12,BP-2,PUMP,none,,M6.2: each boiler enables its own pump ('BOILER PUMP INTERLOCK'); the BAS reads the pump status through a current sensing relay. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#12,EF-1,FAN,none,,"M6.5 general exhaust fan (EF-1, EF-2 & EF-3): wall switch, 'THIS SYSTEM IS STANDALONE AND NOT CONTROLLED BY THE DDC SYSTEM'."
itd-d1-lab-mechanical.pdf#12,EF-2,FAN,none,,"M6.5 general exhaust fan (EF-1, EF-2 & EF-3): wall switch, 'THIS SYSTEM IS STANDALONE AND NOT CONTROLLED BY THE DDC SYSTEM'."
itd-d1-lab-mechanical.pdf#12,EF-3,FAN,none,,"M6.5 general exhaust fan (EF-1, EF-2 & EF-3): wall switch, 'THIS SYSTEM IS STANDALONE AND NOT CONTROLLED BY THE DDC SYSTEM'."
itd-d1-lab-mechanical.pdf#12,EF-4,FAN,fan-constant,motorized_damper=false?,"Electrical room exhaust fan; remark 4 'SEE CONTROL DRAWINGS FOR SEQUENCE OF OPERATION', but no control drawing names EF-4. The DDC exhaust fan sequences are the heat relief fans (M6.0): start/stop, status, damper. Damper option not decided for EF-4. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#12,EF-5,FAN,fan-constant,motorized_damper=true,"M6.0 heat relief fan (EF-5): DDC start/stop DO by control relay, status DI by current sensing relay, motorized exhaust damper open/close DO with end switch DI, space temperature AI. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#12,EF-6,FAN,fan-constant,motorized_damper=true,"M6.0 heat relief fan with louver (EF-6/L-1): DDC start/stop and status, motorized intake louver and exhaust damper each with open/close DO and end switch DI, space temperature AI. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#12,HWP-1,PUMP,pump-vfd,ufc_minimum_points=false,"M6.2 heating water system: VFD control interface (enable, status, speed, alarms) plus current sensing relay status, lead/lag on loop differential pressure. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#12,HWP-2,PUMP,pump-vfd,ufc_minimum_points=false,"M6.2 heating water system: VFD control interface (enable, status, speed, alarms) plus current sensing relay status, lead/lag on loop differential pressure. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#13,B-1,BOILER,boiler,isolation_valve=false;network_interface=true,"Boiler remark 5 'PROVIDE BACnet INTEGRATION CARD'; M6.2: BACnet connection, boiler points mapped (status, alarm, capacity, firing rate, setpoint); dedicated boiler pumps, no isolation valve. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#13,B-2,BOILER,boiler,isolation_valve=false;network_interface=true,"Boiler remark 5 'PROVIDE BACnet INTEGRATION CARD'; M6.2: BACnet connection, boiler points mapped (status, alarm, capacity, firing rate, setpoint); dedicated boiler pumps, no isolation valve. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#13,HC-1,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-2,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-3,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-4,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-5,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-6,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-7,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-8,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HC-9,DUCT_MOUNTED_COIL,none,,Hot water reheat coil of a lab supply air valve; its valve is part of the lab airflow control package (M6.4/M6.5). v1 has no DUCT_MOUNTED_COIL typical.
itd-d1-lab-mechanical.pdf#13,HUM-1,HUMIDIFIER,humidifier,space_humidity=true,"Gas-fired steam humidifier with its own unit control panel (remark 3 'CONNECT UNIT TO DDC CONTROL SYSTEM'); M6.3: enabled on space relative humidity below the low limit, setpoint written to the UCP. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#13,LEF-1,FAN,fan-variable,motorized_damper=true;pressure_control=true,"M6.1 lab exhaust system: two fume exhaust fans on VFDs holding duct static pressure (pressure transmitter), isolation dampers with end switches, modulating bypass damper. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#14,CU-1,CONDENSING_UNIT,none,,Condensing unit of the F-1 split system; its compressor enable and status are F-1's points (M6.1). v1 has no CONDENSING_UNIT typical.
itd-d1-lab-mechanical.pdf#14,DCU-1,CONDENSING_UNIT,none,,Outdoor unit of the standalone DFC-1 ductless split (M6.0). v1 has no CONDENSING_UNIT typical.
itd-d1-lab-mechanical.pdf#14,DFC-1,FCU,none,,M6.0 ductless split system: 'THIS SYSTEM SHALL BE STANDALONE' on the manufacturer's wired controller; the control contractor monitors space temperature for an alarm. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-1,UNIT_HEATER,none,,Electric heater remark 5 points to M6.5 electric unit heater sequence: the thermostat cycles the heater; the BAS reads space temperature (AI) and heater status by current sensing relay (DI) for alarms. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-2,UNIT_HEATER,none,,Electric heater remark 5 points to M6.5 electric unit heater sequence: the thermostat cycles the heater; the BAS reads space temperature (AI) and heater status by current sensing relay (DI) for alarms. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-3,UNIT_HEATER,none,,Electric heater remark 5 points to M6.5 electric unit heater sequence: the thermostat cycles the heater; the BAS reads space temperature (AI) and heater status by current sensing relay (DI) for alarms. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-4,UNIT_HEATER,none,,Electric heater remark 5 points to M6.5 electric unit heater sequence: the thermostat cycles the heater; the BAS reads space temperature (AI) and heater status by current sensing relay (DI) for alarms. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-5,UNIT_HEATER,none,,Electric heater remark 5 points to M6.5 electric unit heater sequence: the thermostat cycles the heater; the BAS reads space temperature (AI) and heater status by current sensing relay (DI) for alarms. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-6,UNIT_HEATER,none,,Electric heater remark 5 points to M6.5 electric unit heater sequence: the thermostat cycles the heater; the BAS reads space temperature (AI) and heater status by current sensing relay (DI) for alarms. The BAS only monitors this unit and never commands it; v1 has no monitor-only typical.
itd-d1-lab-mechanical.pdf#14,EH-7,UNIT_HEATER,none,,Electric heater remark 6: 'PROVIDE WITH INTEGRAL THERMOSTAT. UNIT TO BE STANDALONE AND NOT CONTROLLED BY DDC.'
itd-d1-lab-mechanical.pdf#14,EH-8,UNIT_HEATER,none,,Electric heater remark 6: 'PROVIDE WITH INTEGRAL THERMOSTAT. UNIT TO BE STANDALONE AND NOT CONTROLLED BY DDC.'
itd-d1-lab-mechanical.pdf#14,EH-9,UNIT_HEATER,none,,Electric heater remark 6: 'PROVIDE WITH INTEGRAL THERMOSTAT. UNIT TO BE STANDALONE AND NOT CONTROLLED BY DDC.'
itd-d1-lab-mechanical.pdf#14,F-1,FCU,split-dx-indoor,setpoint_adjust=true;fan_status=true,"Gas furnace with DX split cooling (CU-1). M6.1 split system: DDC fan enable DO with current sensing relay status DI, heating enable DO, cooling enable DO, space sensor with +/-1 F occupant adjustment, OA damper, overflow alarm. The schedule is claimed as a fan coil table, but the unit is a furnace: unitary staged typical. State DOT project (not DoD)."
itd-d1-lab-mechanical.pdf#15,AHU-1,AHU,doas,exhaust_fan=false;variable_speed_wheel=false;dx_staged=false;duct_smoke_detectors=false;ufc_minimum_points=false,"M6.3 schematic: 100% outdoor air (outside air damper with position feedback, filter, DX coil, gas heat, EC supply fans on duct static pressure, humidifier), building pressure sensor, no return air path, serving the lab supply air valves. A 100% outdoor air unit, so the DOAS typical, though the schedule calls it an air handling unit. Inverter compressors modulate (not staged); no exhaust fan, wheel or smoke detector on the unit. State DOT project (not DoD)."
