# bldg5406-hvac-demo.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260923 (reports/assemblies/01-split.json); transcription: reports/assemblies/key-work/bldg5406-hvac-demo.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheets M-601 (page 6) and P-601 (page 18) of the FBNM 130007 RPI NDI Lab, Facility 5406 mechanical drawings (Davis-Monthan AFB civil engineer), every claimed keyed-family table of this dev document.
#   bldg5406-hvac-demo-mechanical.pdf#6 | AIR HANDLING UNIT SCHEDULE | AHU | all 1 printed row | render: page 6 unrotated crop 22,205,570,62 at 8x in 4 tiles and notes crop 22,241,330,32 at 6x; second read at 10x (crops 110,215,20,27 and 372,215,20,27) of supply CFM and coil GPM
#   bldg5406-hvac-demo-mechanical.pdf#6 | AIR TERMINAL BOX SCHEDULE | VAV | all 9 printed rows | render: page 6 unrotated crop 22,285,528,88 at 7x in 3 tiles (MARK column repeated), notes in the same tiles; second read at 10x (crops 165,295,45,65 and 205,295,110,65) of every row's regulator CFM, min CFM and heater kW
#   bldg5406-hvac-demo-mechanical.pdf#6 | FAN SCHEDULE | FAN | all 5 printed rows | render: page 6 unrotated crop 22,383,398,80 at 7x in 2 tiles (MARK column repeated), notes in the same tiles; second read at 10x (crop 125,398,80,40) of every row's CFM, S.P., RPM and HP
#   bldg5406-hvac-demo-mechanical.pdf#6 | PACKAGED AIR COOLED CHILLER SCHEDULE | AIR_COOLED_CHILLER | all 1 printed row | render: page 6 unrotated crop 22,462,320,50 at 7x in 1 tile, notes in the same tile; second read at 10x (crop 95,470,30,22) of tons and operating flow
#   bldg5406-hvac-demo-mechanical.pdf#6 | SPLIT SYSTEM AIR CONDITIONING UNITS | FCU | the 1 printed row, its indoor unit (AC-1) | render: page 6 unrotated crop 22,517,405,68 at 7x in 1 tile, notes in the same tile; second read at 10x (crop 135,522,40,24) of the CFM
#   bldg5406-hvac-demo-mechanical.pdf#6 | SPLIT SYSTEM AIR CONDITIONING UNITS | CONDENSING_UNIT | the 1 printed row, its outdoor unit (ACCU-1) | render: page 6 unrotated crop 22,517,405,68 at 7x in 1 tile, notes in the same tile
#   bldg5406-hvac-demo-mechanical.pdf#18 | (untitled) | PUMP | all 1 printed row | render: page 18 unrotated crop 62,505,322,50 at 8x in 1 tile; second read at 10x (crop 120,515,28,28) of GPM and head
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturer/model, static pressures, fan RPM/BHP of the AHU, air-side temperatures, face velocity, filter pressure drops, reheat MBH of electric boxes, IPLV, evaporator pressure drop, MCA, weights, noise, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# bldg5406-hvac-demo: 7 table(s), 19 instance(s), 411 keyed attribute value(s) (145 printed, 266 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,building,,,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,floor,,,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,area_served,BUILDING 5406,,AREA SERVICED,
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,qty,,,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,supply_cfm,5100,cfm,SUPPLY FAN / CFM,
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,oa_cfm_min,1290,cfm,SUPPLY FAN / MIN. O.A.,
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,supply_fan_hp,10,hp,SUPPLY FAN / HP,
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,supply_fan_qty,,,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,return_fan_hp,,hp,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,exhaust_fan_hp,,hp,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,vfd,yes,,NOTE 8,"note 8, the row's REMARKS say SEE NOTES: 'PROVIDE VFD ON SUPPLY FAN'"
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,economizer,,,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,outdoor_air_pct,,%,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,cooling_type,chw,,COOLING COIL,the cooling coil prints water EWT/LWT and GPM; note 10 'CHILLED WATER COIL SHALL BE PROVIDED WITH 2-WAY VALVE'
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,cooling_mbh,176.3,MBH,COOLING COIL / TOTAL MBH,
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,cooling_tons,,tons,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,dx_stages,,,,not printed
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,chw_gpm,29,gpm,COOLING COIL / GPM,printed '29.0'
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,chw_ewt_f,44,F,COOLING COIL / EWT/LWT (°F): EWT part,printed '44.0'; author's reading of the printed row
bldg5406-hvac-demo-mechanical.pdf#6,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,chw_lwt_f,56.1,F,COOLING COIL / EWT/LWT (°F): LWT part,author's reading of the printed row
