sheet,table_title,x0,top,x1,bot,provenance
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,(N) COMPRESSED AIR REGULATOR,2233.0,979.0,2960.2,1154.6,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,(N) HEAT EXCHANGER SCHEDULE,1321.8,666.2,2556.5,827.0,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,(N) PUMP SCHEDULE,182.5,128.4,1253.2,380.3,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,(N) VFD SCHEDULE,1554.8,951.7,2142.6,1188.2,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,AIR HANDLING UNIT SCHEDULE (EXISTING),172.6,1229.4,2066.4,1456.7,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,DUCT INSTALLATION SCHEDULE,2615.9,166.9,3255.2,401.8,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,172.6,790.9,1256.0,986.0,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW AIR SEPARATOR SCHEDULE,1055.0,1480.9,2197.0,1666.6,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW EXPANSION TANK SCHEDULE,1051.9,1885.9,2270.4,2087.3,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW FILTER SCHEDULE,1051.3,2110.9,2426.8,2278.6,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW POT FEEDER SCHEDULE,1054.4,1693.1,2169.0,1869.1,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW RISER DIAGRAM SCHEDULE - HUTCH 1.3,168.0,1478.0,908.0,2235.0,"RASTER table (645x659 image). Truth is the image PLACEMENT RECT, as for 017_MD#14: it is exactly reproducible and it is what an OCR pass needs. The visible table border inside it, hand-measured off a 1.15x ruler render, is (174,1484)-(903,2230) — a ~6pt white margin, which no vector method can see past."
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PIPE INSTALLATION SCHEDULE,1322.3,124.4,2522.2,578.6,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PRESSURE TESTING REQUIREMENTS,180.5,392.2,892.8,766.9,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,REHEAT COIL SCHEDULES (RELOCATED),172.6,1023.1,1500.6,1205.2,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
