# 063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#2,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#2,ARCHITECTURAL DRAWING CONVENTIONS,182.0,2339.38,3599.88,3016.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#8,DUCT MATERIAL SCHEDULE,1552.88,2184.12,4391.12,2621.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#8,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#8,M - SHEET INDEX,3819.0,2645.88,4391.12,2783.38,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#9,EXISTING VARIABLE AIR VOLUME TERMINAL UNIT SCHEDULE - EXTRUDER LAB,614.38,203.38,4377.88,596.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#9,EXHAUST FAN SCHEDULE - EXTRUDER LAB,1542.12,654.62,4377.88,942.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#9,DEHUMIDIFICATION UNIT SCHEDULE - EXTRUDER LAB,1542.12,980.12,4377.88,1264.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#9,FILTRATION UNIT SCHEDULE - EXTRUDER LAB,1542.12,1308.88,4377.88,1596.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#9,"GRILLE, REGISTER AND DIFFUSER SCHEDULE - EXTRUDER LAB",1540.62,1643.38,4377.88,1962.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#9,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#11,PLUMBING PIPING MATERIAL SCHEDULE,1688.75,2176.12,3521.88,2600.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#11,P - SHEET INDEX,3546.62,2176.12,4118.75,2365.38,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#11,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#15,PLUMBING FIXTURE SCHEDULE - EXTRUDER LAB,784.62,190.12,3467.12,761.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#15,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#16,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#17,Branch Panel: D Location: WET ROOM 132C Volts: 120/208 Wye A.I.C. Rating: MATCH EXISTING Supply From: EXISTING Phases: 3 Mains Type: MCB Mounting: Recessed Wires: 4 Mains Rating: 400 A Enclosure: Type 1 MCB Rating: 400 A Notes: THIS PANELBOARD IS EXISTING TO REMAIN. EXISTING PANEL IS A GE NLAB TYPE PANELBOARD. UPDATE PANEL SCHEDULE BASED ON AS-BUILT CONDITIONS UPON COMPLETION OF WORK.,2636.62,212.12,4363.88,1686.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.05pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#17,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#19,Revisions,4455.75,2330.5,4779.75,3059.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
