sheet,tag,role,in_table,note
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,(E)MB,plan,false,"Existing motorized/mixing box tag, drawn as a small box glyph in the vertical exhaust-air duct riser near the kitchen hood; appears twice at two physical locations ('900CFM' and '800CFM') under the identical literal label — recorded once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,1-2-AH09,plan,false,"Existing/new AHU equipment tag, underlined label beside AHU casing/ductwork; referenced at multiple points for the same physical unit — one distinct tag."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,1-2-AH13,plan,false,"Existing/new AHU equipment tag, drawn as underlined label directly beside the AHU casing outline and duct connections; referenced by leader at 3 separate points on the sheet for the same physical unit — one distinct tag."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,2-AFM09-OA,plan,false,Airflow-measuring-station instance tag for AHU09 outside-air duct.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,2-AFM09-RA,plan,false,Airflow-measuring-station instance tag for AHU09 return-air duct.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,2-AFM09-SA,plan,false,Airflow-measuring-station instance tag for AHU09 supply-air duct; same AFM-box-glyph + underlined-leader-label pattern as 2-AFM13-SA.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,2-AFM13-SA,plan,false,"Airflow-measuring-station instance tag (unique — ties station to AHU13, supply-air duct); the box glyph itself is just labeled generic 'AFM', with this full identifier as the underlined leader label beside it."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,B8B,plan,false,Equipment number tag in a small oval/circle glyph with leader arrow into the walk-in-fridge duct/refrigerant-line area; matches keynote 11 'ROUTE REFRIGERANT PIPES TO ICE MAKER IN KITCHEN (EQUIPMENT NUMBER B8B)'.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,CD-1,plan,false,"Repeatable ceiling diffuser/register type mark; diamond-shaped diffuser glyph with size (8ø/10ø/12ø) and CFM printed beside it. Occurs dozens of times across the sheet (kitchen, dry storage, offices, dining) — listed once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,CD-2,plan,false,"Single instance near ELEC 111, linear-slot register glyph (two stacked rectangle marks) with '12x8 / 200 CFM' beside the tag."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,CG-1,plan,false,"Combination grille type mark, '24x24 / 1000 CFM / TYP. 2' — drawn twice (mechanical room area) each marked TYP.2, i.e. a repeatable schedule mark; listed once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,CO2,plan,false,"CO2 sensor, drawn in its own circular device glyph (stacked directly above/below a 'DD' circle) near the AFM09 OA/RA ductwork."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,EG-1,plan,false,"Exhaust grille, box-with-X glyph, '8x6 / 70 CFM', near pizza-oven hood duct run."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,EG-2,plan,false,"Exhaust grille, box-with-X glyph, '12x8 / 300 CFM', adjacent to OFFICE 110."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,H-1,plan,false,"Unit heater — square glyph with fan-blade circle inside, underlined 'H-1' label beneath it."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,H-2,plan,false,"Unit heater glyph/label. NOTE: the identical literal tag 'H-2' labels two separate, adjacent heater boxes side by side (same drawing, two distinct physical glyphs) — flagged as a possible duplicate/typo in the source drawing, but recorded once per the identity rule since it is one literal tag string."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,H-3,plan,false,"Unit heater, square glyph with fan symbol, near dry-storage/kitchen duct run, underlined 'H-3'."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,VFD-1-2-AH09,plan,false,VFD unique instance tag tied to AHU 1-2-AH09; same small checkbox-glyph callout as VFD-1-2-AH13.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#11,VFD-1-2-AH13,plan,false,VFD unique instance tag tied to AHU 1-2-AH13; drawn as a small checkbox glyph with underlined label in a 2-row plan callout (not a bordered schedule table) near keynote 15.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#27,(E)1-2-AH12,plan,false,"Underlined unique existing air-handling-unit tag drawn on a rectangular AHU casing glyph in the 'EXISTING MECHANICAL' room, near 1-2-AH09. Verified in /tmp/crop27-ahu.png."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#27,(E)1-2-AH24,plan,false,"Underlined unique existing air-handling-unit tag drawn on a large rectangular AHU casing glyph in the 'EXISTING MECHANICAL' room, adjacent to 1-2-AH13. Verified in /tmp/crop27-ahu.png."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#27,1-2-AH09,plan,false,Underlined unique air-handling-unit tag drawn directly above its equipment casing glyph in the 'EXISTING MECHANICAL' room. Verified in /tmp/crop27-ahu.png.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#27,1-2-AH13,plan,false,Underlined unique air-handling-unit tag drawn directly above its equipment casing glyph (rectangular AHU outline with internal component lines) in the 'EXISTING MECHANICAL' room. Verified in /tmp/crop27-ahu.png. One distinct physical unit.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,(E)HS-1,plan,false,"Existing hand-sink fixture near Coffee/Deli (103), with its own dual-connection glyph fed by 3/4"" DCW/DHW. Unique, occurs once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,CE13,plan,false,Two adjacent 'CE13' labels over cooking-equipment fixtures with individual glyphs -- same equipment type repeated side-by-side; listed once.
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,K1,plan,false,"See K11; third unit of the three, own glyph."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,K11,plan,false,"One of a row of three cooking-equipment stub-outs (K11, K2, K1) each with its own connection glyph; unique instance."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,K2,plan,false,"See K11; middle unit of the three, own glyph."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,K23,plan,false,"Appears 4 separate times at distinct locations (near Office 110, mid-kitchen, near OG11/OG14, near Pizza Prep 105), each with its own connection-point glyph -- a repeatable equipment-type/schedule mark, so listed once per rules (verified 4 occurrences in textSpans at y0=1033.9, 1245.4, 1519.9, 1634.4, matching 4 glyphs seen in the render)."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,K26,plan,false,"Two adjacent 'K26' labels over the same equipment bank near Office/Lockers wall, each with its own valve glyph -- same equipment type repeated side-by-side; listed once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,K51,plan,false,"Kitchen-equipment schedule tag near stairwell/dry storage, with hose-bib/valve glyph and 1/2"" DHW leader. Occurs once on this sheet."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,OG11,plan,false,"Equipment stub-out tag (griddle/oven-type) with its own valve glyph and 1 1/4"" G / 3/4"" DCW leaders. Unique, occurs once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,OG14,plan,false,"Adjacent equipment stub-out tag, distinct number from OG11, own glyph. Unique, occurs once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,PB15,plan,false,"Equipment tag near Pizza Prep with its own connection-point glyph (circular hose-bib icon). Unique, occurs once."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,S-1,plan,false,"3-compartment/prep sink bank labeled S-1, S-2, S-3 in Food Prep & Production (106); each has its own DCW/DHW stub with valve-symbol glyph directly above it. Unique instance mark (each suffix = one physical sink)."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,S-2,plan,false,"See S-1; second sink in the same bank, own stub-out glyph."
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#34,S-3,plan,false,"See S-1; third sink in the same bank, own stub-out glyph."
