sheet,tag,role,in_table,note
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#13,MDP4,plan,false,"Unique instance mark for a distribution panel, labeled directly next to its rectangular panel-box symbol on the plan (adjacent to the Elec room / RTU disconnects). textSpans x0=2483,y0=3088.7."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#13,PP2,plan,false,"Unique instance mark for an existing power panel ('PP2 (ETR)' = existing to remain), labeled directly above/next to its panel symbol (small hatched rectangle) on the plan near the Elec room. textSpans: 'PP2' x0=2415.2,y0=2905.5 and '(ETR)' x0=2410,y0=2925.6 right below it."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#13,RTU-103,plan,false,"Unique instance mark. Leader line runs from the 'RTU-103' text label directly to a red 'D' (disconnect switch) box symbol on the power plan near the Elec room / gym rear corridor. Names the specific rooftop unit served by that disconnect (cross-referenced in Keyed Note 1: '208V 3-PHASE 150A 3 POLE DISCONNECT SERVING RTU-103'). Confirmed via textSpans at x0=2378.5,y0=2855.6 (RENDER_SCALE units) and visually in a zoomed crop."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#13,RTU-104,plan,false,"Unique instance mark, same pattern as RTU-103: leader from 'RTU-104' text to the adjacent red 'D' disconnect-switch box; matches Keyed Note 2. textSpans x0=2563.7,y0=2892.3."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#14,RTU-101,plan,false,"Same rooftop unit as on M103 p.9, shown here on the electrical roof power plan with a diamond/hexagon glyph and 'RTU'/'101' callout plus adjacent GFCI/WP receptacle and 'PP2-28' circuit homerun label. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#14,RTU-102,plan,false,"RTU glyph near top of plan, 'RTU'/'102' callout. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#14,RTU-103,plan,false,"RTU glyph in middle of plan (upper center unit), 'RTU'/'103' callout. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#14,RTU-104,plan,false,"RTU glyph in middle of plan (lower center unit), 'RTU'/'104' callout. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#8,DS,plan,false,"Circled 'DS' label drawn directly on the return-air duct/plenum-box symbol (a small red-outlined box on the duct), with a leader line to the text 'RETURN AIR DUCT SMOKE DETECTOR'. Confirmed via two independent zoomed crops - appears twice on this sheet (both gymnasium return-duct runs), same literal tag both times = repeatable type mark for the duct-mounted smoke detector device. Listed once."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#8,T,plan,false,"Circled letter 'T' drawn as a discrete plan symbol (not inside a room outline), stacked directly above a circled keynote '2' which reads (Alternate Bid #1 keynote 2) 'INSTALL WALL PLATE TEMPERATURE SENSOR. ALL CONTROLS SHALL BE ON THE BAS SYSTEM. TEMPERATURE SENSOR PROVIDED BY HVAC CONTROLS CONTRACTOR (C&C GROUP).' Appears at 2 locations (near STORAGE/OFFICE 102 and near ELEC M1/DIRECTOR 103) with identical literal text 'T' = repeatable type mark for thermostat/temperature-sensor device. Listed once. Distinguished from a separate nearby icon (circle with a horizontal strike, paired with keynote box '1', 'INSTALL NEW THERMOSTAT... AT LOCATION OF DEMO'D THERMOSTAT') which is a pure vector glyph carrying no alphanumeric text and was NOT counted as a tag."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#9,RTU-101,plan,false,"Rooftop unit symbol (equipment box glyph) at bottom of roof plan, callout shows 'RTU' over '101' stacked next to the unit. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#9,RTU-102,plan,false,"Rooftop unit glyph near top of plan, callout 'RTU'/'102' stacked. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#9,RTU-103,plan,false,"Rooftop unit glyph in middle of plan (upper of the two center units), callout 'RTU'/'103'. Unique instance mark."
024_MO_E2508_01_Replace_Steam_Heating_Units_Missouri.pdf#9,RTU-104,plan,false,"Rooftop unit glyph in middle of plan (lower of the two center units), callout 'RTU'/'104'. Unique instance mark."
