sheet,tag,role,in_table,note
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432CPA04-P,plan,false,Unique instance tag on a grey/halftone (existing-to-remain) dashed equipment box near the condensate pump area.
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432DDCP01,plan,false,"Unique instance tag on a bold new equipment box (DDC control panel), keynote 6 referencing 'daisy-chain new 432DDCP01... with 432DDCP02'."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432PCHW01-1,plan,false,"Unique instance tag on a bold pump-box glyph (triangle-in-circle pump symbol) with keynote 9, near 'PUMP DISCONNECT/PUMP VFD DIV. 26' labels."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432PCHW02-1,plan,false,"Second pump, same glyph type as 432PCHW01-1, keynote 9, further right/down in the plan."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432RCHS01-1,plan,false,"Unique instance tag for the new water-cooled chiller, labeled in bold directly beside the chiller/piping assembly along the left edge of the enlarged chiller-yard plan (confirmed via keyed notes 3/4/6 referencing the RCHS chiller)."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432SDE01-1,plan,false,"Second unique tag stacked directly under 432TCHWX01-1, same leader/location, keynote bubble 10 beside it; a distinct sensor/element tag co-located with the exchanger tag."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432TCA02,plan,false,"Unique instance tag inside a grey/halftone (existing) circular tank glyph, leader-lined by keynote 5, near the condensate pump."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432TCHW01-1,plan,false,Unique instance tag lettered inside the large circular tank/vessel glyph in the plan (bold = new equipment per general note 2).
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#12,432TCHWX01-1,plan,false,"Unique instance tag with a leader line to a fitting near the BFP/roof-drain area, on the pipe run marked 'REFER TO M-413 FOR CONTINUATION'; a distinct heat-exchanger/accessory unit, bold=new."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#32,(D)ACHPS01,plan,false,"Unique instance tag on a dashed (to-be-demolished) rooftop equipment box, keynote 1: 'REMOVE AND DISPOSE OF EXISTING ROOFTOP AIR CONDITIONING UNIT...'."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#32,(D)ACHPS02,plan,false,"Second identical-type dashed rooftop AC unit box further down the roof plan, same keynote 1."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#44,ACU09-3H,plan,false,"Unique instance mark for a roof-mounted air-cooled/AC unit, drawn as a hexagon equipment glyph with a leader line to its roof-curb/structural mounting point near gridline C-D/3 on the roof framing plan; '58#' below it is the unit's weight for structural coordination (not part of the tag). Confirmed in image and in textSpans() as adjacent spans 'ACU09-3H' (x0=2658.7,y0=927.2) and '58#' (x0=2698.3,y0=965.6)."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#44,ACU10-2H,plan,false,"Unique instance mark for a second roof-mounted AC unit, same hexagon-glyph pattern, near gridline C-D/4; '69#' is its weight annotation. Spans 'ACU10-2H' (x0=2650.1,y0=1093.3) and '69#' (x0=2689.7,y0=1131.7)."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,PCHW01-1,plan,false,"Hexagonal equipment callout with weight label '425#' on foundation plan C1. Same literal tag is reused in the sheet LEGEND as the example/key illustrating the 'equipment tag' symbol convention (text 'PCHW01-1: EQUIPMENT TAG PER MECH DWGS...') -- not counted as a second physical tag, just the legend's explanatory instance of the same unique unit."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,PCHW02-1,plan,false,Hexagonal equipment callout with weight label '425#' on foundation plan C1.
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,RCHS01-1,plan,false,"Rectangular equipment callout with weight label '5800#' directly below, on foundation plan C1."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,SDE01-1,plan,false,"Hexagonal equipment callout adjacent to weight label '275#', on foundation plan C1."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,TCH01-1,plan,false,"Hexagonal equipment callout on Enlarged Chiller Canopy Foundation Plan (C1/S-401), near gridline A.1/9. Unique instance mark per legend convention (mech equipment tag)."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,TCHW01-1,plan,false,"Hexagonal equipment callout with weight label '11017#', on foundation plan C1."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#45,TCHWX01-1,plan,false,"Hexagonal equipment callout adjacent to weight label '168#', on foundation plan C1."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#46,ACHPS01-4,plan,false,Hexagonal equipment tag with leader to the equipment pad in view F3 (Enlarged ACHPS01-4 Foundation Plan); weight '3331#' inside hexagon. Unique instance mark.
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#46,ACHPS02-5,plan,false,Hexagonal equipment tag with leader pointing to a concrete equipment pad outline in view C3 (Enlarged ACHPS02-5 Foundation Plan); weight '3384#' listed below the tag inside the same hexagon. Unique instance mark for one specific rooftop/pad-mounted mechanical unit.
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#46,ACU01-A1,plan,false,Hexagonal equipment tag with leader to a concrete pier/pad in view F1 (Exterior Ductwork Foundation Plan); weight '9685#' inside hexagon. Unique instance mark (air-cooled condensing/AC unit).
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#46,RCUA01-2H,plan,false,"Hexagonal equipment tag with leader to a 6"" conc pad in view F3, adjacent to RCUA02-3H; weight '150#' inside hexagon. Unique instance mark."
060_XX_ASC_Open_Mechanical_Competition_LAMBDA_Project.pdf#46,RCUA02-3H,plan,false,"Hexagonal equipment tag with leader to a 6"" conc pad in view F3; weight '140#' inside hexagon. Unique instance mark."
