# federal-mech.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/federal-mech.attrs.csv, one row each.
# Sources read: M2.1 (page 2) HVAC zone legend (zones, thermostats, CO2 sensors); M7.x (pages 14-16) schedules; M8.1-M8.8 (pages 17-24) controls: symbols, sequences, diagrams and BMS point schedules.
#
sheet,tag,family,typical_id,options,basis_note
federal-attachment4-mechanical.pdf#14,AHU-1,AHU,ahu-multizone-vav,dedicated_min_oa=true;min_oa_dp=false;relief_damper=false;relief_fan=false;return_fan=true;return_fan_airflow=false;enthalpy_economizer=true;differential_economizer=true;dx_staged=false;freezestat_to_bas=false;duct_smoke_detectors=true;ufc_minimum_points=true,"M8.5/M8.6: VFD supply fan array on duct static pressure serving the VAV boxes; separate minimum OA damper D-7 with airflow station and economizer damper D-6; return fan array in the return path, its speed on space differential pressure (not airflow tracking); economizer enabled when OA enthalpy is below return enthalpy; freezestat hardwired to the fans (M802) and monitored; supply and return smoke detector status reaches the BMS through addressable relays for shutdown alarms; CHW and HHW coils, enthalpy wheel. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,B-1,BOILER,boiler,isolation_valve=true;network_interface=false,"M8.4: BMS-controlled boiler isolation valve (V-1 AO) with the boiler's open signal (CV-1 DI); hardwired enable DO, status and alarm DIs, setpoint AO; boiler-to-boiler communication is the manufacturer's. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,B-2,BOILER,boiler,isolation_valve=true;network_interface=false,"M8.4: BMS-controlled boiler isolation valve (V-2 AO) with the boiler's open signal (CV-2 DI); hardwired enable DO, status and alarm DIs, setpoint AO; boiler-to-boiler communication is the manufacturer's. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,CH-1,AIR_COOLED_CHILLER,chiller,chw_isolation_valve=false;modulating_isolation=false;isolation_end_switches=false;network_interface=false;ufc_minimum_points=true,"M8.3: one air-cooled chiller, variable primary pumps with a bypass valve, no isolation valve; hardwired chiller interface (schedule 'HARDWIRE'): enable DO, status and alarm DIs, setpoint AO; CHWS/CHWR temperatures and flow as AIs. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,CP-1,PUMP,none,,Condensate pump (schedule service CONDENSATE); no BMS point on any controls sheet: packaged float control.
federal-attachment4-mechanical.pdf#14,CP-2,PUMP,none,,Condensate pump (schedule service CONDENSATE); no BMS point on any controls sheet: packaged float control.
federal-attachment4-mechanical.pdf#14,CP-3,PUMP,none,,Condensate pump (schedule service CONDENSATE); no BMS point on any controls sheet: packaged float control.
federal-attachment4-mechanical.pdf#14,CP-4,PUMP,none,,Condensate pump (schedule service CONDENSATE); no BMS point on any controls sheet: packaged float control.
federal-attachment4-mechanical.pdf#14,CP-5,PUMP,none,,Condensate pump (schedule service CONDENSATE); no BMS point on any controls sheet: packaged float control.
federal-attachment4-mechanical.pdf#14,CP-6,PUMP,none,,Condensate pump (schedule service CONDENSATE); no BMS point on any controls sheet: packaged float control.
federal-attachment4-mechanical.pdf#14,CWP-1,PUMP,pump-vfd,ufc_minimum_points=true,"M8.3: VFD pump, start/stop DO, status DI by current sensing relay, speed AO, VFD alarm DI; duty/standby on loop differential pressure. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,CWP-2,PUMP,pump-vfd,ufc_minimum_points=true,"M8.3: VFD pump, start/stop DO, status DI by current sensing relay, speed AO, VFD alarm DI; duty/standby on loop differential pressure. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,EF-1,FAN,fan-constant,motorized_damper=true,"M8.8 toilet exhaust fans (EF-1,2,3): BMS start/stop DO interlocked with AHU-1, status DI by current sensing relay, damper hardwire-interlocked with its end switch permitting the fan. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,EF-2,FAN,fan-constant,motorized_damper=true,"M8.8 toilet exhaust fans (EF-1,2,3): BMS start/stop DO interlocked with AHU-1, status DI by current sensing relay, damper hardwire-interlocked with its end switch permitting the fan. Eglin AFB (DoD): UFC 3-410-01 applies."
federal-attachment4-mechanical.pdf#14,EF-3,FAN,fan-constant,motorized_damper=true,"M8.8 toilet exhaust fans (EF-1,2,3): BMS start/stop DO interlocked with AHU-1, status DI by current sensing relay, damper hardwire-interlocked with its end switch permitting the fan. Eglin AFB (DoD): UFC 3-410-01 applies."
