sheet,tag,role,in_table,note
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#10,EAG-1,plan,false,"Exhaust air grille tag near the JANITOR/EAG duct riser, paired with CFM '70'. Same family/naming convention as SAG-1/RAG-1 (repeatable grille type mark); only one instance appears on this particular sheet."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#10,EF-1,plan,false,"Exhaust fan tag on the 8-inch round duct run near the exterior louver, drawn next to a fan (box-with-X) symbol. Unique unit instance."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#10,L-1,plan,false,"Louver tag at the exterior wall intake (triangular/cone louver glyph), feeding the 8-inch duct to EF-1; corresponds to the note about the existing outdoor-air-intake louver."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#10,RAG-1,plan,false,"Return air grille type tag, drawn at ~8 distinct symbol locations paired with CFM callouts (375/350/345/380 etc). Repeatable type mark, listed once."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#10,SAG-1,plan,false,"Supply air grille/diffuser type tag, drawn on plan at ~13 distinct diffuser symbol locations (each paired with a CFM callout like 245/250 below it, which is not part of the tag). Repeatable type mark, listed once."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#10,WSHP-1,plan,false,"Water source heat pump tag, boxed with a leader to the unit symbol near the outdoor-air intake duct; a separate small box containing '1' beside it is a keyed-note flag (matches Keyed Note 1 about condensate pump/pad), not part of the tag."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#18,H-121,plan,false,"Same hatched-box equipment glyph type as the L1HL panel symbol (dashed outline = existing-to-remain), located near WORK ROOM P121A, labeled with leader line 'H-121' — an electric unit heater instance tag (H = heater, 121 = room/unit number). Unique instance mark. Confirmed via crop at PDF-pt (420,900,300,220)."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#18,L1HL,plan,false,"Panel symbol (hatched box glyph) drawn on the plan, called out by keyed notes 1 ('replace existing panel with new 54 circuit panelboard') and 2 ('re-use existing feeder supplying old panel'). This is the electrical panel itself, a unique instance mark. Confirmed via crop at PDF-pt (420,700,300,180): the two hexagon keynote bubbles '1'/'2' point via leader to the panel box labeled 'L1HL' directly beneath it."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#19,H-121,plan,false,"Unique-instance mechanical/electrical equipment tag (a wall/cabinet-type unit-heater glyph, box symbol with horizontal top/bottom bars and vertical strut) drawn just south of the ENGINEERING CENTER / P121 room label, tied to that room number. Confirmed by zoomed crop showing the heater glyph immediately left of the 'H-121' text with no leader (adjacent placement)."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#7,CP-1,plan,false,"Unique instance tag for an Air Compressor (CP = 'AIR COMPRESSOR' per the sheet's own plumbing legend). Drawn with a leader line to a circular equipment glyph (a valve/compressor symbol) located near Storage P122 / Janitor P125 on the 'BUILDING 1 PARTIAL PLUMBING FLOOR PLAN'. Confirmed via zoomed crop render (/tmp/render-018-p7-crop2.png): the circle symbol with an internal wheel/valve glyph sits directly next to the 'CP-1' text, with a separate keynote bubble '1' (referencing general note 1 about the mop sink/floor drain) drawn adjacent but excluded as a keynote number."
018_GA_USDA_ARS_U_S_National_Poultry_Research_Center.pdf#7,P-1,plan,false,"Unique instance tag next to the Engineering Center P121 / Work Room P121A, called out by a leader line pointing at two adjacent cross-hatched box equipment glyphs mounted on the wall between the work room and corridor (confirmed via zoomed crop /tmp/render-018-p7-crop2.png). Sits directly beneath the general note 'ROUTE SANITARY TO EXISTING FLOOR DRAIN. ROUTE DOMESTIC HOT AND COLD WATER TO EXISTING MAIN OVERHEAD. SEE DETAIL 4/P-601', i.e. it is the specific piece of process/mechanical equipment being connected. Exact equipment type is not spelled out elsewhere on the sheet (no equipment schedule present), but it unambiguously satisfies the tag definition: short alphanumeric id + leader line + equipment glyph naming a real physical unit. Not a pipe-size or dimension string."
