# 12_MT_MSU_ReidHall_Renovation.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/12_MT_MSU_ReidHall_Renovation.attrs.csv, one row each.
# Sources read: M0.0 (page 27) control notes and sequence of operation; M0.1 (page 28) schedules and notes; M2.1 (page 32) remodel plan (zones, thermostats, keynotes).
#
sheet,tag,family,typical_id,options,basis_note
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-1,VAV,vav-dual-duct,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;inlet_flow_sensors=true,"Dual-duct terminal; M0.0 sequence A: the cold-deck damper holds the cooling/ventilation volume and the hot-deck damper the heating volume, each from its own flow (schedule note 3: factory multi-point averaging sensors), so an airflow sensor per inlet. M2.1 shows only a thermostat 'T' per zone: no CO2, occupancy or window sensor. Control note C: sensors in offices and conference rooms have +/- adjustment; corridors and public spaces get a flat plate. VAV-1 serves Director Office 140: adjustable."
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-2,VAV,vav-dual-duct,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true?;inlet_flow_sensors=true,"Dual-duct terminal; M0.0 sequence A: the cold-deck damper holds the cooling/ventilation volume and the hot-deck damper the heating volume, each from its own flow (schedule note 3: factory multi-point averaging sensors), so an airflow sensor per inlet. M2.1 shows only a thermostat 'T' per zone: no CO2, occupancy or window sensor. Control note C: sensors in offices and conference rooms have +/- adjustment; corridors and public spaces get a flat plate. VAV-2 serves Collaboration Space 143, which note C does not name: setpoint adjustment left to the default."
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-3,VAV,vav-dual-duct,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true?;inlet_flow_sensors=true,"Dual-duct terminal; M0.0 sequence A: the cold-deck damper holds the cooling/ventilation volume and the hot-deck damper the heating volume, each from its own flow (schedule note 3: factory multi-point averaging sensors), so an airflow sensor per inlet. M2.1 shows only a thermostat 'T' per zone: no CO2, occupancy or window sensor. Control note C: sensors in offices and conference rooms have +/- adjustment; corridors and public spaces get a flat plate. VAV-3 serves Classroom 124, which note C does not name: setpoint adjustment left to the default."
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-4,VAV,vav-dual-duct,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;inlet_flow_sensors=true,"Dual-duct terminal; M0.0 sequence A: the cold-deck damper holds the cooling/ventilation volume and the hot-deck damper the heating volume, each from its own flow (schedule note 3: factory multi-point averaging sensors), so an airflow sensor per inlet. M2.1 shows only a thermostat 'T' per zone: no CO2, occupancy or window sensor. Control note C: sensors in offices and conference rooms have +/- adjustment; corridors and public spaces get a flat plate. VAV-4 serves Offices 121 and 122: adjustable."
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-1,FIN_TUBE_RADIATION,none,,Finned pipe radiation with a 0-24 VDC modulating two-way valve furnished by the controls contractor (schedule note 2) under a DDC space sensor; v1 has no FIN_TUBE_RADIATION typical.
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-2,FIN_TUBE_RADIATION,none,,Finned pipe radiation with a 0-24 VDC modulating two-way valve furnished by the controls contractor (schedule note 2) under a DDC space sensor; v1 has no FIN_TUBE_RADIATION typical.
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-3,FIN_TUBE_RADIATION,none,,Finned pipe radiation with a 0-24 VDC modulating two-way valve furnished by the controls contractor (schedule note 2) under a DDC space sensor; v1 has no FIN_TUBE_RADIATION typical.
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-4,FIN_TUBE_RADIATION,none,,Finned pipe radiation with a 0-24 VDC modulating two-way valve furnished by the controls contractor (schedule note 2) under a DDC space sensor; v1 has no FIN_TUBE_RADIATION typical.
12_MT_MSU_ReidHall_Renovation.pdf#28,CUH-1,CABINET_UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"Ceiling-concealed hot water cabinet heater in a vestibule. Schedule note 2: 0-24 VDC modulating two-way valve furnished by the controls contractor. M0.0 sequence C: the DDC space sensor opens the valve and a unit-mounted return water sensor enables and modulates the integral fan (no fan status to the BAS). Vestibule is a public space: flat plate sensor, no adjustment (note C)."
12_MT_MSU_ReidHall_Renovation.pdf#28,CUH-2,CABINET_UNIT_HEATER,unit-heater,modulating_valve=true;fan_status=false;setpoint_adjust=false,"Ceiling-concealed hot water cabinet heater in a vestibule. Schedule note 2: 0-24 VDC modulating two-way valve furnished by the controls contractor. M0.0 sequence C: the DDC space sensor opens the valve and a unit-mounted return water sensor enables and modulates the integral fan (no fan status to the BAS). Vestibule is a public space: flat plate sensor, no adjustment (note C)."
