# 092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260926 (reports/assemblies/tier2/01-split.json); transcription: reports/assemblies/key-work/092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheet M3.01 (page 11) of the Guaranteed Rate Field HVAC / AHU renovation, phase IX, Chicago IL (Elara Engineering), the tables the second tier's seed drew for its FCU and CONDENSING_UNIT strata.
#   092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11 | FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU) | FCU | all 5 printed rows | render: page 11 crop 115,670,1651,285 at 3x in 4 tiles (TAG and QTY. columns repeated) and notes crop 115,950,1000,200 at 2x; second read at 3x (crop 215,760,1100,190) and 4x (crop 1180,760,586,190) of all 5 rows, every cell
#   092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11 | C O N D E N S I N G U N I T S C H E D U L E ( C U ) | CONDENSING_UNIT | all 3 printed rows | render: page 11 crop 115,1195,1597,215 at 3x in 4 tiles (TAG column repeated) and notes crop 115,1405,1000,200 at 2x; second read at 3x (crop 115,1300,1600,110) of all 3 rows, every cell
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturers and models, orientation, weights and dimensions, fan speed, external static pressure, coil working pressure, air-side temperatures, sensible capacities, circuits, compressor and refrigerant, EER, refrigerant line sizes, FLA, MCA, MOCP, hertz, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation: 2 table(s), 8 instance(s), 210 keyed attribute value(s) (83 printed, 127 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,building,,,,not printed
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,floor,LEVEL 200,,LOCATION names a level,printed 'LEVEL 200 SECTION 7'; author's reading of the printed row
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,area_served,LEVEL 200 SECTION 7,,GENERAL DATA / SERVICE: the area the unit serves,author's reading of the printed row
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,qty,1,,QTY.,
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,pipes,2,,TABLE TITLE,title printed 'FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU)'
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,cfm,300,cfm,UNIT DATA / NOMINAL AIRFLOW (CFM),
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,motor_hp,,hp,,not printed
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,fan_speeds,,,,not printed
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,ecm,,,,not printed
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,cooling_type,chw,,TABLE TITLE,"title printed 'FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU)'; every row prints the chilled-water coil's water side (WATER FLOW, E.W.T. 44.0)"
092_IL_Guaranteed_Rate_Field_HVAC_AHU_Renovation.pdf#11,FAN COIL SCHEDULE - (2-PIPE CHILLED WATER) (FCU),FCU-1,FCU,chw_gpm,1.4,gpm,UNIT DATA / WATER FLOW (GPM),
