# 089_FL_Airport_Terminal_and_Hangar_Development.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,ADDITIVE ALTERNATE NO. 7 - TAXIWAY CONNECTOR WIDENING SITE WORK,834.75,54.94,1595.56,486.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,BASE BID - TERMINAL BUILDING,122.88,57.06,800.62,128.94,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.25pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,ADDITIVE ALTERNATE NO. 1 - MAIN ENTRY COVERED CANOPY AT DROP-OFF,122.88,147.12,800.62,219.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,ADDITIVE ALTERNATE NO. 2 - COURTYARD ENCLOSURE ELEMENTS,122.25,239.25,800.06,311.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.51pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,ADDITIVE ALTERNATE NO. 3 - LANDSIDE SITE WORK BEYOND THE BUILDING PAD,121.88,331.31,799.62,870.44,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.05pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,ADDITIVE ALTERNATE NO. 4 - HANGAR BUILDING,121.88,924.81,799.62,996.62,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#3,ADDITIVE ALTERNATE NO. 6 - APRON SITE WORK,120.44,1086.69,798.19,1482.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#63,FINISH SCHEDULE,169.38,31.56,1065.06,899.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#63,FINISH SCHEDULE LEGEND- INTERIOR MATERIAL & COLOR BASIS OF DESIGN,1070.31,31.56,2204.56,1006.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 2.46pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#77,ACCESSORIES SCHEDULE,1813.81,60.44,2205.06,986.31,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
