# 075_MT_Renne_Library_Innovation_Learning_Studio.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
075_MT_Renne_Library_Innovation_Learning_Studio.pdf,INDEX OF DRAWINGS,3990.75,1184.25,4538.0,2222.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#6,ARCHITECTURAL SHEET INDEX,4173.0,2286.62,4712.75,2572.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#11,FINISH SCHEDULE,3479.62,127.75,4712.75,475.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.2pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#14,DOOR HARDWARE,395.38,2355.25,935.12,3365.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.17pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#15,DUCT INSULATION SCHEDULE,2034.38,1839.0,3070.25,2318.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#15,MECHANICAL SHEET INDEX,4173.0,2532.62,4712.75,3369.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#18,MINI-SPLIT AIR HANDLER UNIT SCHEDULE,470.25,244.88,3874.0,473.62,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.08pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#18,MINI-SPLIT HEAT PUMP SCHEDULE,470.25,587.88,3622.62,813.25,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#18,ENERGY RECOVERY UNIT SUMMARY SCHEDULE,470.25,908.75,3553.75,1090.62,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#18,ELECTRIC DUCT COIL SCHEDULE,470.25,1179.88,2499.0,1340.12,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.1pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#18,EXTERIOR AIR INLETS & OUTLETS SCHEDULE,470.25,1430.12,2865.5,1611.88,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box"
075_MT_Renne_Library_Innovation_Learning_Studio.pdf#18,INTERIOR AIR INLETS & OUTLETS SCHEDULE,470.25,1694.5,2157.25,1904.75,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.07pt vs vectorgrid's own box"
