sheet,tag,role,in_table,note
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,BOILER-1(E),plan,false,"Existing boiler being demolished, text tag directly on the equipment outline in the HQ mechanical-room HVAC demolition plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,BOILER-2(E),plan,false,"Existing boiler being demolished, same sheet as BOILER-1(E)."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-1(E),plan,false,Existing VAV box drawn on the ductwork in the mechanical-room demo plan; superseded by new VAV-1 on the M-103 renovation plan (different physical box).
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-2(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-3(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-4(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-5(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-6(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-7(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#11,VAV-8(E),plan,false,"Existing VAV box, demo plan."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,AHU-1,plan,false,"New air handling unit, hexagon tag on equipment box, M-101 (serves radio/IT rooms); has elevation views pg17 and schematic pg19."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,C-1(E),plan,false,"Existing condenser unit tag on the M-101 ground-floor renovation plan, near CUH-1(E)/CUH-2(E) (distinct from new chiller tag 'C-1')."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,CUH-1(E),plan,false,"Existing cabinet unit heater, text tag on duct/unit symbol, M-101 ground floor plan (range-control area)."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,CUH-2(E),plan,false,"Existing cabinet unit heater, M-101."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,D-6,plan,false,"Numbered damper hexagon tag near ERV-1 roof curb detail area, M-101/M-102; also shown in ERV-1/FCU-1 elevation pg17."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,EXT-2,plan,false,"New expansion tank, hexagon tag next to tank symbol near garage, M-101."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,FCU-1,plan,false,"New fan coil unit, hexagon tag directly on the large coil/fan equipment symbol in the garage, M-101; also has its own schematic on pg19."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,PC-1,plan,false,"New chilled-water circulator pump, hexagon tag with leader to pump symbol, M-101 (drawn twice for a twin-pump pair)."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,PC-2,plan,false,"New chilled-water circulator pump, hexagon tag, M-101."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,R1,plan,false,"Return-grille type mark ('R1:24""X24"" 1900 CFM'), repeatable, drawn on M-101/M-102."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,R2,plan,false,"Return-grille type mark, repeatable, drawn on M-101/M-102 (many occurrences)."
07_MO_MSHP_TroopB_HVAC_Boilers_Controls.pdf#13,R3,plan,false,"Return-grille type mark, repeatable, drawn on M-101, and on ERV-1 elevation pg17."
