sheet,tag,role,in_table,note
087_US_Contra_Costa_College_Chiller_Replacement.pdf#1,ACCH-1,schedule,true,"Air-Cooled Chiller Schedule row (M0.1). Same physical chiller reappears in Title-24 forms (pp.6-7) and as an equipment-designator hexagon on the piping schematic (p.4, drawn '(N) ACCH' over '1')."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#1,PCH-1,schedule,true,Chilled Water Pump Schedule row (M0.1).
087_US_Contra_Costa_College_Chiller_Replacement.pdf#1,PCH-2,schedule,true,Chilled Water Pump Schedule row (M0.1).
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,(E)AHU-1-1,plan,false,Demolition plan; tag underlined on the large existing AHU box glyph (unit stays / not demolished per general note 3).
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,(E)CH-1,plan,false,Demolition plan; tag underlined on the existing chiller box glyph.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,(E)CT-1,plan,false,CHILLER ROOM DEMOLITION PLAN (M1.0). Tag drawn directly on/underlined at the existing cooling-tower box glyph. textSpans confirms literal '(E){\LCT-1}'.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,(E)PCD-1,plan,false,Demolition plan; leader from tag to a small equipment box between CT-1 and CH-1 (likely a chemical-treatment/pump-control device).
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,ET,plan,false,Demolition plan; 'ET' (expansion tank) labeled on a small circular glyph next to CH-1. No numeric suffix visible on this sheet.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,PCH-1,plan,false,Demolition plan; tag on existing pump box symbol near the boiler (to be removed).
087_US_Contra_Costa_College_Chiller_Replacement.pdf#2,PCH-2,plan,false,Demolition plan; tag on second existing pump box symbol.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,(E) AD,plan,false,'Area Drain' labeled next to a hatched grate glyph inside the new chiller yard enclosure (matches sheet note 4 about relocating the area drain). Not in textSpans.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,(E)AHU-1-1,plan,false,Same existing AHU box glyph reappears on this new-construction plan. Not in textSpans (vector-only sheet).
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,(N) CH-1,plan,false,"Hexagonal 'Equipment Designator' glyph (per Legend p.1 convention: code over instance number) reading 'CH' over '1', pointed at the new chiller's tube-bundle box via keynote 7. Verified at high zoom -- literal text is 'CH', NOT 'ACCH' (contrast with the '(N) ACCH / 1' hexagon used for the same new chiller elsewhere on p.4). Not in textSpans."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,(N) PCH-1,plan,false,"CHILLER YARD PLAN - NEW CONSTRUCTION (M2.0). Tag on new pump box symbol next to the (E) boiler. This sheet's text is NOT extracted by pdf.ts textSpans (only 6 boilerplate spans returned for the whole page, vs. hundreds on neighboring sheets) -- confirmed only by rendering the page image; this is a likely root cause for the recognizer's zero-tag result on this page."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,(N) PCH-2,plan,false,"New pump box symbol, same sheet; also not present in textSpans output."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,CTE,plan,false,"Repeatable instrument tag drawn on 4 separate small circle/box glyphs along the CHW piping (near the relocated tank callout, and at both new pumps and near note-8 callout). Meaning not defined in the Legend page; likely a temperature-element/gauge tag. Not in textSpans (vector-only sheet)."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,ET,plan,false,Leader-labeled small valve/vent glyph on the vertical CHW riser near note 9 ('RELOCATE (E) EXPANSION TANK'); visually distinct from the CTE circle just above it. Not in textSpans.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#3,VFD,plan,false,"Appears twice (each under keynote 10) inside the red-highlighted economizer/OA-RA damper retrofit callout on the existing AHU-1-1, labeling two fan/damper VFDs. Not in textSpans."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,(E) ET-1,schematic,false,Existing diagram; expansion tank icon at bottom of chiller loop. Same tag repeats in the New Piping Diagram (view 2); counted once for this page.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,(N) ACCH-1,schematic,false,"Equipment-designator hexagon ('ACCH' over '1') labeling the new chiller in the New Piping Diagram, and again (without visible '(N)') in the Chilled Water Control Diagram (view 3) on the same sheet; matches the ACCH-1 schedule/Title-24 tag. Counted once for this page."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,(N) AS,schematic,false,"NEW CHILLED WATER PIPING DIAGRAM (view 2). New air-separator icon, no numeric suffix."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,(N) PCH-1,schematic,false,New Piping Diagram; new pump icon (triangle) with VDF box directly above it.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,(N) PCH-2,schematic,false,New Piping Diagram; second new pump icon.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,AS-1,schematic,false,Existing diagram; air-separator tag next to the make-up-water assembly.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,CH-1,schematic,false,Existing diagram; tag boxed under the chiller/evaporator-condenser schematic icon.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,CT-1,schematic,false,"EXISTING CHILLED WATER PIPING DIAGRAM (M3.1, view 1). Tag boxed under the cooling-tower schematic icon."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,CTE,schematic,false,Repeats 3x along the new air-separator/expansion-tank/make-up-water leg on this diagram; same abbreviation as the p.3 plan occurrence.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,FS,schematic,false,Flow-switch tag on a small box glyph at the 'INTEGRAL CIRCULATING PUMP' control schematic (view 2/3 boundary). ('TH' and 'TF' also appear nearby but are excluded here as generic Legend pipe-specialty symbol keys -- thermometer and test-fitting/Pete's-plug -- rather than instance equipment tags.)
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,PCD-1,schematic,false,Existing diagram; tag near the pump icon at the base of the cooling tower leg.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,PCH-1,schematic,false,Existing diagram; pump icon labeled plainly 'PCH-1' (no (E)/(N) prefix) at the mech-room outlet.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,PCH-2,schematic,false,"Existing diagram; second pump icon, same run."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#4,VDF,schematic,false,"Repeatable tag boxed directly above each of the two new pump icons; drawn literally 'VDF' (evident transposition of 'VFD', verified at high zoom)."
087_US_Contra_Costa_College_Chiller_Replacement.pdf#6,ACCH-1,schedule,true,Title 24 NRCC-MCH-01-E acceptance-test forms (M5.1); 'ACCH-1' listed as the equipment row in two separate test-description tables on this sheet.
087_US_Contra_Costa_College_Chiller_Replacement.pdf#7,ACCH-1,schedule,true,Title 24 NRCC-MCH-02-E 'Equipment Tags and System Description' forms (M5.2); 'ACCH-1' is the column header/tag for both the wet-system and dry-system requirement tables.
