sheet, device_tag, device_x, device_y, equipment_tag, equipment_x, equipment_y, relation, expect_status, note
bldg5406-hvac-demo-mechanical.pdf#2,CDB-265,947,582,VAV-1,900,684,ducted,served,"Found the plan sheet by paging the whole set at --scale 0.9 (page 2 of 20 is titled 'MECHANICAL HVAC FLOOR PLAN' in its own title block, confirmed at --scale 4 crop 225,555,50,35 and --scale 5 crop 225,555,50,35; page 6 is the 'MECHANICAL SCHEDULES' sheet with the AIR TERMINAL BOX SCHEDULE, not a plan). Rendered page 2 full-page at --scale 2 for coordinate work, then --scale 10 crop 442,335,20,16 for VAV-1's own box, --scale 10 crop 460,300,90,60 to look at VAV-1's own right-side port, and --scale 5 crop 455,150,90,200 plus --scale 5 crop 380,55,180,140 to walk the whole vertical riser above it: VAV-1's own drawn box has a 14-inch round duct entering its left side (off a 24x14-to-14-inch reducer) and a 20x16 duct leaving its right side that turns straight up into a single, unbranched riser. Stepped that riser tee by tee (20x16, then 18x14, then 16x12, then 12x10 - sizing down consistently moving away from VAV-1, consistent with VAV-1 being the source) and every branch off it is a plain tee, none of them another VAV box. The round diffuser glyph tagged 'CDB' over '265' (crop --scale 10 crop 455,265,50,40) sits at the end of the first 14x8 branch directly above VAV-1, on that same confirmed riser. Deliberately did not use the visually closer 'RRA 110' register next to VAV-1 for this row - see the SRA-30 and CDA-60 rows below for why that class of nearby tap is not safe to call without more tracing."
bldg5406-hvac-demo-mechanical.pdf#2,CDA-30,795,458,VAV-2,765,440,ducted,served,"Rendered page 2 at --scale 10 crop 365,195,45,60: VAV-2's own drawn box has a duct leaving the top that curves right, runs a short distance as 6-inch round, then drops through an 8-inch reducer directly into the round diffuser glyph tagged 'CDA' over '30' in the room labeled 'LIGHT TRAP' / '104'. Single unbranched run traced by eye from the VAV box body to the diffuser glyph with no other tap in between. VAV-2's other (bottom, 10-inch round) port drops into the larger 12x18/16x10 trunk that also feeds VAV-4 and VAV-5's inlets further down - read that as VAV-2's own inlet from the main, not its downstream, consistent with duct sizes getting SMALLER, not bigger, away from a VAV box."
bldg5406-hvac-demo-mechanical.pdf#2,CDA-130,733,409,VAV-3,696,434,ducted,served,"Rendered page 2 at --scale 10 crop 345,195,40,60: VAV-3's own drawn box has its bottom-right corner turn immediately into a short 6-inch round duct with one elbow that ends directly at the round diffuser glyph tagged 'CDA' over '130'. Short, single, unbranched run straight off the VAV box's own casing, no intervening tee or crossing."
bldg5406-hvac-demo-mechanical.pdf#2,CDB-230,720,603,VAV-4,742,580,ducted,served,"Rendered page 2 at --scale 10 crop 320,280,70,50: VAV-4's own drawn box has a 10-inch round duct leaving its right side that curves down through one elbow directly into the round diffuser glyph tagged 'CDB' over '230', immediately below the box. Single unbranched run, no other equipment along it. (VAV-5 sits just below/left of this same crop with its own separate inlet off the shared 12x12/16x10 trunk - not used for this row, kept as a clearly different box.)"
bldg5406-hvac-demo-mechanical.pdf#2,CDA-50,1008,726,VAV-7,904,749,ducted,served,"Rendered page 2 at --scale 10 crop 430,368,60,40, then followed the run further at --scale 8 crop 460,360,120,70 and a close-up at --scale 12 crop 480,358,30,25: VAV-7's own drawn box has a 6x6 duct leaving its right side, through a triangular volume-damper symbol, transitioning to 6-inch round, turning up and ending directly at the round diffuser glyph tagged 'CDA' over '50'. Single unbranched run verified with no other tee along the short path. (VAV-7's OWN box sits on a separate row from VAV-8's box a short distance below - confirmed at --scale 10 crop 440,368,90,35 that the two VAV boxes' duct runs stay on separate parallel rows and are not in series, despite sitting close together on the sheet.)"
bldg5406-hvac-demo-mechanical.pdf#2,CDB-185,935,808,VAV-8,906,771,ducted,served,"Rendered page 2 at --scale 8 crop 420,375,110,60, then --scale 10 crop 440,368,90,35 and a close-up at --scale 12 crop 460,395,35,30: VAV-8's own drawn box has an 8x12 duct leaving its right side that splits into two 8-inch round branches, each ending at a round diffuser glyph tagged 'CDB' over '185'. Recorded the nearer of the two identically-tagged instances; both are direct, unbranched taps off VAV-8's own duct with no other equipment between."
bldg5406-hvac-demo-mechanical.pdf#2,SRA-85,732,786,VAV-9,714,751,ducted,served,"Rendered page 2 at --scale 8 crop 330,335,110,80, then a close-up at --scale 12 crop 350,375,50,35: VAV-9's own drawn box has a 4-inch round duct leaving its right side that turns down through a short 6x6 segment (passing a small circle tagged 'ET-1', read as a duct-mounted sensor, not a branch point) and ends at an arrow that points directly into the tag box 'SRA' over '85'. No separate register glyph is drawn here the way the other rows have one - the arrow terminates on the tag itself, which is how this sheet labels this particular device. Traced as one continuous, unbranched run from VAV-9's own box to that arrow tip with no other tap in between; flagging this one as the row to spot-check first because of the tag-only (no distinct glyph) convention."
bldg5406-hvac-demo-mechanical.pdf#2,RRA-400,1003,832,EF-2,934,896,ducted,served,"Rendered page 2 at --scale 10 crop 460,395,35,30 and --scale 10 crop 440,400,60,40, then followed the run down at --scale 10 crop 435,430,50,35: the square register glyph tagged 'RRA' over '400' sits at the start of a dashed line (this sheet uses dashed strokes for a different system than the solid supply ductwork used everywhere else on this crop) that curves down and transitions, with no visible break, into a solid 10-inch round duct running straight into EF-2's own drawn fan/motor casing (tagged 'EF-2' directly on the body). Traced continuously from the register glyph through the dashed-to-solid transition into the fan body with no other branch joining along the way. Different equipment class than the VAV rows above (an exhaust fan, not a VAV box), kept for relation diversity."
bldg5406-hvac-demo-mechanical.pdf#2,CDA-60,792,354,,,,ducted,ambiguous,"Rendered page 2 at --scale 10 crop 385,155,70,60 (wider context --scale 5 crop 380,150,260,150 and --scale 5 crop 380,55,180,140 for VAV-1's separate, confirmed-clean riser one column over): the round diffuser glyph tagged 'CDA' over '60' is joined by a plain leader/tail to an 8-inch/6-inch branch that taps a vertical 18x12/26x14 trunk near the room labeled 'RADIATION CONTROL' / '103'. That same trunk area is where both VAV-2's inlet-side branch work (--scale 10 crop 365,195,45,60) and VAV-3's own inlet cluster (--scale 10 crop 345,195,40,60) sit close together and visually overlap under the same trunk run. By eye I could not isolate one single unbroken duct path from CDA-60 back to only VAV-2 or only VAV-3 through the crowded ink at that junction - this trunk is a genuinely different, separate run from VAV-1's own dedicated riser used in the CDB-265 row above, but between VAV-2 and VAV-3 the drawing does not decide from this view. Marking ambiguous and leaving equipment blank rather than guessing."
bldg5406-hvac-demo-mechanical.pdf#2,SRA-30,860,817,,,,ducted,ambiguous,"Rendered page 2 at --scale 10 crop 395,375,70,60, cross-checked against VAV-7 at --scale 10 crop 430,368,60,40 and VAV-8 at --scale 8 crop 420,375,110,60: the square register glyph tagged 'SRA' over '30' sits at the base of a large 36x16 duct, at the same point where a 12x8 branch leaves that trunk and rises to feed both VAV-7's and VAV-8's own inlet ports a short distance further up (both visibly tap that same 12x8 riser, one above the other). SRA-30's own tap point is on the shared 36x16/12x8 trunk itself, below the split, not on either VAV's own downstream side. The drawing does not show whether SRA-30 (which sits over the room tagged 'LATRINE' / '112') belongs to VAV-7's zone, VAV-8's zone, or is a direct trunk tap serving the latrine without going through a VAV box at all. Marking ambiguous rather than assigning it to either box."
