sheet,tag,role,in_table,note
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,AHU-11,plan,false,"Boxed unit in Kitchen, Spring Meadows ES."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,AHU-9,plan,false,"Boxed unit near Office 108/Corridor 111, Spring Meadows ES. Distinct physical unit from Woodlake Hills' AHU-9 (page 6)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,CH-1,plan,false,"Boxed unit near Music/Stage F-1, Spring Meadows ES; likely a cabinet/unit heater. Distinct from Woodlake's CH-1A/1B/2 chillers."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-01,plan,false,Exhaust fan tag near Men/Women 114-115.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-02,plan,false,Exhaust fan tag near Corridor 113/Men.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-03,plan,false,"Exhaust fan tag, drawn at multiple custodial/mech closets (same tag, several occurrences)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-04,plan,false,Exhaust fan tag near Dry Storage A111.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-05,plan,false,Exhaust fan tag near Recept 102/Corridor 101.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-06,plan,false,"Exhaust fan tag near Boys B, Classroom B-11 wing."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-07,plan,false,"Exhaust fan tag near Girls B, Classroom B-12 wing."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-08,plan,false,"Exhaust fan tag near Girls A/Custodial #2, Classroom A-1 wing."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-09,plan,false,"Exhaust fan tag near Boys A, Classroom A-2 wing."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-10,plan,false,Exhaust fan tag near Custodial #2/Girls A.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-13,plan,false,"Exhaust fan tag near Boys D, Classroom D-11 area."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-14,plan,false,Exhaust fan tag near Girls D.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-15,plan,false,"Exhaust fan tag near Girls E/Boys E, Classroom E wing."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-16,plan,false,Exhaust fan tag near Faculty A117/Staff Dining.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-17,plan,false,Exhaust fan tag near Custodial A102/Mech A118.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-18,plan,false,Exhaust fan tag near Mech A115/Faculty.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,EF-19,plan,false,"Exhaust fan tag near Mech A115, adjacent to EF-18."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,F-03,plan,false,Fan box near MDF/Office 112. Tentative read of leading zero digit.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,F-3A,plan,false,"Fan box, drawn twice near Girls C-10D and Boys C-10E (same tag)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,FCU-1,plan,false,Fan coil unit box near Staff Dining/RH-1.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,L-1,plan,false,"Relief louver tag, oval glyph, inside Gymnasium near RTU-1."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MS-01R,plan,false,"Tentative read: distinct sensor/device tag box near AHU-9/Office 108, different format from MS-1..4; low confidence on exact digits due to small glyph size."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MS-1,plan,false,Door-switch-with-HVAC-interlock tag (per controls legend on page 12) inside Gymnasium.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MS-2,plan,false,"Door-switch-with-HVAC-interlock tag inside Gymnasium, opposite MS-1."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MS-3,plan,false,Door-switch-with-HVAC-interlock tag inside Gymnasium.
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MS-4,plan,false,"Door-switch-with-HVAC-interlock tag inside Gymnasium, opposite MS-3."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MUA-1,plan,false,"Make-up air unit box, Kitchen."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,MUA-2,plan,false,"Make-up air unit box, Kitchen, adjacent to MUA-1."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,RH-1,plan,false,"Relief hood box near Staff Dining, Spring Meadows ES — distinct from RH-1 at Woodlake Hills (page 6)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,RTU-1,plan,false,"Rooftop unit box inside Gymnasium C-11, Spring Meadows ES (M-1.1B)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#11,RV-1,plan,false,"Relief-air damper tag with dashed box, drawn identically in Classrooms E-6 and E-3 — appears to be a repeatable damper-type mark; listed once."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-1,plan,false,"Boxed unit, Enlarged Floor Plan 1206, Spring Meadows ES (M-1.2B). Distinct physical unit from Woodlake Hills' AHU-1 (page 7) despite identical tag text."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-10,plan,false,"Boxed unit, Enlarged Floor Plan 1201, Spring Meadows ES. Distinct from Woodlake Hills' AHU-10 (page 6)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-2,plan,false,"Boxed unit, Enlarged Floor Plan 1206, Spring Meadows ES, adjacent to AHU-1/AHU-3."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-3,plan,false,"Boxed unit, Enlarged Floor Plan 1206, Spring Meadows ES."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-4,plan,false,"Boxed unit, Enlarged Floor Plan 1204, Spring Meadows ES."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-5,plan,false,"Boxed unit, Enlarged Floor Plan 1204, adjacent to AHU-4."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-6,plan,false,"Boxed unit, Enlarged Floor Plan 1202, Spring Meadows ES."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-7,plan,false,"Boxed unit, Enlarged Floor Plan 1202, adjacent to AHU-6. Distinct from Woodlake Hills' AHU-7 (page 6)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,AHU-8,plan,false,"Boxed unit, Enlarged Floor Plan 1203, Spring Meadows ES."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,B-1,plan,false,"Boxed device, Enlarged Central Plant Plan 1205, Spring Meadows ES — distinct from Woodlake Hills' B-1 (page 6)."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,CWP-1,plan,false,"Chilled water pump box, Enlarged Central Plant Plan 1205."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,CWP-2,plan,false,"Chilled water pump box, Enlarged Central Plant Plan 1205, adjacent to CWP-1."
20_TX_JudsonISD_MEP_Upgrades_Pkg6.pdf#12,HWP-1,plan,false,"Heating hot water pump box, Enlarged Central Plant Plan 1205."
