sheet,tag,role,in_table,note
071_ME_BGS_Project_3809_Health_Science_Center.pdf#3,CU-1,plan,false,"Condensing unit shown as a small equipment box with leader on the structural 'Partial Roof Framing Plan' (S1.3); labeled 'CU-1 (180 LBS)' — unique instance mark for one physical condensing unit. Confirmed via textSpans (str='CU' + '-' + '1 (180 LBS)' at x0=2330.6,y0=2076)."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#3,RTU-1,plan,false,"Rooftop unit box labeled 'RTU-1 (2,310 LBS)' with note 'G.C. TO VERIFY/COORDINATE EXISTING SUPPLY AND RETURN AIR OPENINGS (ALTERNATE #2)'. Unique instance mark. textSpans x0=2649.4,y0=2589.9."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#3,RTU-2,plan,false,"Rooftop unit box labeled 'RTU-2 (2,540 LBS)'. Unique instance mark. textSpans x0=3164.6,y0=2615.3."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#3,RTU-G,plan,false,"Rooftop unit box on the same framing plan, labeled 'RTU-G (1,140 LBS)'. Unique instance mark. textSpans confirms 'RTU'+'-'+'G (1,140 LBS)' at x0=2442,y0=2500.5."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#33,AC-1,plan,false,"Hexagon equipment glyph near IT room 125, with leader from note '3/4"" CD DN TO AC-1' (condensate drain routed to the unit). Unique instance mark for one specific existing AC unit."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,(E)AHU,plan,false,"Italic/underlined 'existing equipment' abbreviation labeling the mechanical-room AHU footprint box (room G15 area), single instance on this sheet."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,(E)EF,plan,false,"Italic/underlined equipment abbreviation ((E)EF) labeling an existing exhaust-fan duct termination box near (E) Elev Mach G10 — distinct existing-equipment instance from EF-1, drawn directly on/next to the duct-end symbol."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,(E)FT,plan,false,"Italic/underlined 'existing fintube' abbreviation labeling two separate baseboard-fintube enclosure runs along the south wall (identical literal tag both times, no distinguishing suffix) — listed once as a repeatable/type-style existing-equipment tag."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,DSD,plan,false,Diamond glyph labeled 'DSD' (duct smoke detector) beside the fire-damper location near corridor G02. Single occurrence found; treated as a repeatable type mark.
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,EF-1,plan,false,"Hexagon 'EF' over '1' glyph near (E) Mens G12 duct riser — new exhaust fan, unique instance."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,FD,plan,false,"Fire-damper label text at duct-mounted damper blade symbols (two occurrences near corridor G02 riser). Repeatable type mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,R1,plan,false,"Return-grille type mark, occurs many times (CFM 250/475/etc at different locations). Repeatable type mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,R2,plan,false,"Return-grille type mark, occurs several times (CFM 475/275/575/420 etc). Repeatable type mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,R3,plan,false,"Return-grille type mark, occurs twice (75 CFM at toilet G13E, 50 CFM near electrical panel/corridor). Repeatable type mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,S1,plan,false,"Supply-diffuser type mark in two-cell box (type|size, CFM below), e.g. 'S1 1 / 100' at Corridor G01. Repeatable schedule/type mark — listed once though the type-box format recurs."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,S2,plan,false,"Supply-diffuser type mark, occurs multiple times at different CFMs (150, 125, 165) at different diffusers. Repeatable type mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,S3,plan,false,"Supply-diffuser type mark, occurs many times (CFM 250/260/275/300 etc. at different rooms). Repeatable type mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,T,plan,false,"Circled 'T' thermostat/sensor symbol on ductwork/VAV runs, recurs many times throughout the sheet (near VAV boxes and duct risers). Repeatable controls sensor mark, listed once."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,VAV-G-1,plan,false,Hexagon 'VAV' over 'G-1' glyph on VAV box in corridor/debrief area; leader 'TO VAV-G-1' confirms full tag. Unique instance mark.
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,VAV-G-10,plan,false,"Hexagon VAV glyph near corridor G02/electrical panel area; leader 'TO VAV-G-10' (leader also carries a keynote hexagon '1', which is a keynote reference, not part of the tag). Unique instance mark."
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,VAV-G-2,plan,false,Hexagon VAV glyph in Patient Rm Sim Lab (M/S); leader 'TO VAV-G-2'. Unique instance mark.
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,VAV-G-3,plan,false,Hexagon VAV glyph near Debrief G03; leader 'TO VAV-G-3'. Unique instance mark.
071_ME_BGS_Project_3809_Health_Science_Center.pdf#39,VAV-G-4,plan,false,Hexagon VAV glyph near Control Rm G01C; leader 'TO VAV-G-4'. Unique instance mark.
