sheet,tag,role,in_table,note
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CD,plan,false,"Repeatable type mark ""(E) CD"" (existing ceiling diffuser) drawn ~17 times on the main and enlarged plans next to square diffuser symbols with CFM callouts; also listed as keyed-note row 1 in the legend, but that reference is not counted separately."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B1,plan,false,"Condensing unit, hexagon symbol in bottom fenced equipment yard, paired with keynote 8 and sheet ref M5.01."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B2,plan,false,"Condensing unit, hexagon symbol in bottom fenced equipment yard."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B3,plan,false,"Condensing unit, hexagon symbol in bottom fenced equipment yard."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B4,plan,false,"Condensing unit, hexagon symbol in top fenced equipment yard."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B5,plan,false,"Condensing unit, hexagon symbol in top fenced equipment yard."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B7,plan,false,"Condensing unit, hexagon symbol in top fenced equipment yard."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-B9,plan,false,"Condensing unit, hexagon symbol next to gas meter/Vestibule area, separate small fenced pad."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-BO1,plan,false,"Condensing unit, hexagon symbol in bottom fenced equipment yard (tag reads ""BO1"")."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,CU-BO2,plan,false,"Condensing unit, hexagon symbol in bottom fenced equipment yard (tag reads ""BO2"")."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,EC-B9,plan,false,"Electric-coil tag for furnace B9 (hexagon+circle callout ""EC/B9""); drawn once in the enlarged floor-plan detail (B) and once in the furnace section detail (1) on this same sheet - same physical unit, counted once."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,EG,plan,false,"Repeatable type mark ""(E) EG"" (existing exhaust grille) drawn ~11 times on the plans next to grille symbols with CFM callouts; also keyed-note row 3."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B1,plan,false,"Furnace tag on box symbol, Room 23 area (top row), unique instance, leader to a ""T"" thermostat symbol."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B2,plan,false,"Furnace tag, Room 24 area (bottom row), unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B3,plan,false,"Furnace tag, Room 25 area (top row), unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B4,plan,false,"Furnace tag, Room 26 area (bottom row), unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B5,plan,false,"Furnace tag, Room 27 area (top row), unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B6,plan,false,"Furnace tag near CLS Room/corridor, unique instance (no paired CU visible on this sheet)."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B7,plan,false,"Furnace tag, Room 28 area (bottom row), unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B8,plan,false,"Furnace tag near Boy's/Girl's restroom corridor, unique instance (no paired CU visible on this sheet)."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,F-B9,plan,false,"Furnace tag near Corridor B101/Vestibule; same physical unit also detailed in ""Building B Enlarged Mechanical Level 1 Floor Plan"" (detail B) and ""Building B Furnace F-B9 Section"" (detail 1) on this same sheet - counted once."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,RG,schedule,true,"""(E) RG"" appears only once, as keyed-note row 2 in the legend table at the top of the sheet (same x-column/row pattern as the CD/EG legend rows). It is never actually drawn on the plan itself on this page - included for completeness but it is a legend-only occurrence, not a plan tag."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,RTU-B2,plan,false,"Rooftop unit tag on wall box symbol, Room 31, unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,RTU-B3,plan,false,"Rooftop unit tag on wall box symbol, Room 33B, unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,RTU-B4,plan,false,"Rooftop unit tag on wall box symbol, Room 33 area, unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,RTU-B5,plan,false,"Rooftop unit tag on wall box symbol, Book Storage/Work Room area, unique instance."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,T,plan,false,"Bare ""T"" thermostat symbol/tag placed at each of the 9 furnaces (F-B1..F-B9), per keyed-note 5 ""(E) THERMOSTAT""; repeatable type mark, counted once."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,T/CO2,plan,false,"Repeatable device tag ""T/CO2"" (new thermostat/CO2 sensor, keyed-note 4) drawn 4 times, once below each of RTU-B2, RTU-B3, RTU-B4, RTU-B5."
16_NV_CarsonValleyMS_HVAC_Replacement.pdf#12,TG,plan,false,"Repeatable type mark ""(E) TG"" (existing transfer grille), drawn once near Room 31/33A."
