# 015_VA_P_095_Replace_Submarine_Pier_3_Utility.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf,GENERAL PROJECT SYMBOLS,818.81,71.31,1394.69,862.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.31pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,FAN COIL UNIT SCHEDULE,558.88,74.56,2162.0,223.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,MINI-SPLIT-SYSTEM HEAT PUMPS SCHEDULE,117.62,311.44,2188.75,426.31,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,FAN SCHEDULE,849.31,477.69,2171.94,661.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE",117.62,536.94,805.88,685.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,GRAVITY INTAKE VENT SCHEDULE,1114.62,712.5,2181.19,870.69,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,GRAVITY RELIEF VENT SCHEDULE,117.62,737.19,1040.31,868.94,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,ELECTRIC UNIT HEATER,117.62,934.25,1187.81,1066.0,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,MOTORIZED DAMPER SCHEDULE (MD),1210.25,964.75,2181.19,1355.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#18,LOUVER SCHEDULE,117.62,1113.69,854.12,1469.56,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,CLOSED CIRCUIT COOLER SCHEDULE,261.56,162.31,2125.75,289.5,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,VALVE SCHEDULE,996.75,379.12,2175.19,700.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,EXPANSION TANK SCHEDULE,179.25,500.69,774.88,580.75,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,AIR SEPARATOR SCHEDULE,179.25,621.56,467.0,686.44,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,GLYCOL FEED SYSTEM,255.75,811.12,1591.25,891.06,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,PUMP SCHEDULE,255.75,948.06,1955.94,1146.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#19,MUFFLER SCHEDULE,255.75,1230.94,1908.31,1359.94,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE FAN SCHEDULE,872.0,112.12,2209.25,192.06,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,499.88,239.44,2209.25,352.12,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE HEAT PUMP SCHEDULE,767.31,402.06,2213.38,496.94,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,MOTORIZED DAMPER SCHEDULE,410.25,661.5,1383.88,758.56,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,"GATEHOUSE GRILLE, REGISTER, AND DIFFUSER SCHEDULE",1546.12,661.5,2213.38,810.44,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE GRAVITY INTAKE VENT SCHEDULE,1546.12,849.94,2209.12,914.81,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE MINI - SPLIT SYSTEM HEAT PUMP SCHEDULE,169.0,1075.25,2210.56,1172.94,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#24,CONDENSER WATER SYSTEM POINTS LIST,123.31,79.69,738.44,934.69,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.35pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#25,BINARY INPUT,857.31,181.06,1460.06,258.81,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#25,BINARY OUTPUT,857.31,258.81,1460.06,336.56,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#25,FAN COIL UNIT POINTS LIST,109.94,58.56,802.62,427.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.29pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#25,GENERATOR EXHAUST FAN POINTS LIST,1549.62,57.56,2197.44,660.81,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.27pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
