# 071_ME_BGS_Project_3809_Health_Science_Center.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260927 (reports/assemblies/tier3/01-split.json); transcription: reports/assemblies/key-work/071_ME_BGS_Project_3809_Health_Science_Center.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheet M6.0 (page 44) of the SMCC Health Science Center, South Portland ME (Lavallee Brensinger Architects, Allied Engineering), the tables the third tier's seed drew for its VAV, RTU and FAN strata.
#   071_ME_BGS_Project_3809_Health_Science_Center.pdf#44 | PACKAGED ROOF TOP UNIT SCHEDULE | RTU | all 3 printed unit columns (a transposed schedule) | render: page 44 overview at 40 dpi; crops 226,92,690,300 and 226,385,690,300 and 226,680,690,280 at 3x (the whole table and its notes); second read at 4x (crops 326,92,590,300 and 326,385,590,300 and 326,680,590,170) of all three unit columns, every cell
#   071_ME_BGS_Project_3809_Health_Science_Center.pdf#44 | SINGLE DUCT AIR TERMINAL SCHEDULE | VAV | all 20 printed rows | render: page 44 overview at 40 dpi; crop 1375,282,1220,403 at 3x in 2 tiles (TAG column repeated), notes cropped at 3x (crop 1375,680,1220,80); second read at 4x (crops 1375,349,610,16 and 1985,349,610,16; 1375,483,610,16 and 1985,483,610,16; 1375,513,610,16 and 1985,513,610,16; 1375,648,610,16 and 1985,648,610,16) of VAV-G-1, VAV-G-10, VAV-2-1 and VAV-2-10, every cell
#   071_ME_BGS_Project_3809_Health_Science_Center.pdf#44 | FAN SCHEDULE | FAN | all 1 printed row | render: page 44 overview at 40 dpi; crop 1280,92,1330,133 at 3x in 2 tiles (TAG column repeated); second read at 4x (crops 1280,181,665,16 and 1945,181,665,16) of EF-1, every cell
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturers and models, discharge orientation, weights, MCA/MFS, smoke detector responsibilities, peak outside airflow, static pressures and brake horsepower, exhaust airflow, voltage and FLA, coil air temperatures, sensible capacity, face area and velocity, refrigerant, fins and rows, heat pump input kW, air temperatures and COP, secondary heat stages, outlet sizes, NC, air pressure drop, VAV coil and room heat loads, SCR modulation, room temperature, sones, dampers, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 071_ME_BGS_Project_3809_Health_Science_Center: 3 table(s), 24 instance(s), 611 keyed attribute value(s) (247 printed, 364 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,building,,,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,floor,ROOF,,GENERAL / LOCATION names a level,printed 'ROOF'; author's reading of the printed row
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,area_served,GROUND LEVEL,,GENERAL / SERVICE: the level the unit serves,author's reading of the printed row
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,qty,,,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,supply_cfm,4235,cfm,"SUPPLY FAN / SUPPLY AIRFLOW, CFM","printed '4,235'"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,oa_cfm_min,,cfm,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,supply_fan_hp,3,hp,SUPPLY FAN / MOTOR HP,
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,supply_fan_qty,,,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,return_fan_hp,,hp,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,exhaust_fan_hp,,hp,"EXHAUST FAN / HP: each fan's motor (""(2)@1.5"": two fans at 1.5 hp)",printed '-'
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,vfd,,,"SUPPLY FAN / TYPE and ELECTRICAL / VFD'S FURNISHED BY: an ECM fan motor, and drives the maker furnishes","printed 'ECM, DIRECT DRIVE; VFD'S FURNISHED BY MANUFACTURER' — not a single value for this attribute"
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,economizer,,,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,outdoor_air_pct,24,%,SUPPLY FAN / % OA,printed '24%'
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,cooling_type,dx,,"COOLING COIL / FLUID: a refrigerant, a DX coil",printed 'R-454B'; author's reading of the printed row
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,cooling_mbh,128.7,MBH,COOLING COIL / GROSS / NET TOTAL MBH,
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,cooling_tons,,tons,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,dx_stages,,,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_gpm,,gpm,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_ewt_f,,F,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_lwt_f,,F,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_wpd_ft,,ft,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_mbh,,MBH,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_rows,,,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_conn_in,,in,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,chw_glycol_pct,,%,,not printed
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,heating_type,heat_pump,,PRIMARY HEAT / TYPE,printed 'HEAT PUMP'
071_ME_BGS_Project_3809_Health_Science_Center.pdf#44,PACKAGED ROOF TOP UNIT SCHEDULE,RTU-G,RTU,heating_mbh,105.7,MBH,"PRIMARY HEAT / TOTAL CAPACITY, MBH @ 47°F...: the 47 F part",author's reading of the printed row
