sheet,tag,role,in_table,note
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#10,CH-1,plan,false,"REAL PLAN TAG -- sheet MP101 'CHILLER AREA PLAN' (1/4""=1'-0"", an actual scaled site/equipment plan, not a schematic). 'CH-1' is drawn in text directly beside/on the drawn chiller unit rectangle (with its coil-circle bank) in the plan view. Confirmed present in textSpans() for this page at x0=3432,y0=2704. This is exactly the kind of drawn-on-plan tag the pipeline's zero-tag census missed."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#11,CHWP-1,plan,false,"REAL PLAN TAG -- sheet MP102 'MECHANICAL PIPING PLAN', view 1 'MECHANICAL ROOM PLAN' (1/2""=1'-0""). 'CHWP-1' is drawn directly above the new pump symbol (with triple-duty valve/suction diffuser/flex connector referenced by leader) in the scaled floor plan. Confirmed in textSpans() at x0=4597,y0=1878."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#11,CHWP-2,plan,false,"REAL PLAN TAG -- same sheet/view as CHWP-1, second new pump symbol immediately adjacent. Confirmed in textSpans() at x0=4821,y0=1878."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#12,CP-6,plan,false,"REAL PLAN TAG -- sheet E001 'ELECTRICAL PLAN' detail 2 (1/8""=1'-0""). Leader text 'EXISTING HVAC CONTROL PANEL CP-6 (IN BUILDING 112 - MECH RM 314B)' points to a small panel-symbol box on the routing diagram. IMPORTANT: page 12 (E001) returned ZERO spans from textSpans() for the ENTIRE page (title block included) -- every character on this sheet, including 'CP-6', is vector/outline artwork, not real PDF text. A text-layer-based recognizer is structurally blind on this whole sheet regardless of tag logic; this was confirmed only by visual read of the rendered image."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#12,PPE,plan,false,REAL PLAN TAG -- same sheet/detail as CP-6. Leader text 'EXISTING ELECTRICAL PANEL PPE (SQ D TYPE NQOD) (IN BUILDING 112 - MECH RM 315B)' points to a small panel symbol. Same zero-extractable-text caveat as CP-6; visual-only confirmation.
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#6,CH-1,schedule,true,"MARK column, AIR COOLED CHILLER SCHEDULE, sheet MP001. Confirmed by direct visual read of the table (this table's text is NOT present in pdf.ts textSpans() output at all -- the whole schedule block and the flow-diagram block on this page returned zero spans; only the page's general-notes paragraphs are real extractable text)."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#6,CHWP-1,schedule,true,"MARK column, WATER CIRCULATING PUMP SCHEDULE, sheet MP001. Same non-extractable-table caveat as CH-1."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#6,CHWP-2,schedule,true,"MARK column, WATER CIRCULATING PUMP SCHEDULE, sheet MP001."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#6,CWP-1,schematic,false,"CHILLED WATER FLOW DIAGRAM (labeled SCALE: NONE) on sheet MP001. Pump symbol callout literally reads 'CHILLED WATER PUMP: CWP-1' -- note this literal is spelled differently from the schedule mark CHWP-1 (a drafting inconsistency for the same physical pump). Not a scaled plan view, so role=schematic, not plan."
084_SC_H59_N054_FW_Building_112_Chiller_Addition.pdf#6,CWP-2,schematic,false,"Same diagram, second pump symbol, literally labeled 'CHILLED WATER PUMP: CWP-2' vs. schedule mark CHWP-2."
