# coverage: AHU SUPPLY FAN SCHEDULE | complete
# 096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.cells.csv — CELL-tier ground truth. One row per NON-EMPTY drawn cell,
# transcribed by eye from a 2.6x render in two halves (clips 1230,470,760x195
# and 1980,470,720x195) plus the title and notes bands above the grid.
# row/col are 0-based indices into the table AS DRAWN, a spanning cell counted
# once at its top-left. Empty drawn cells are not recorded.
#
# This table was chosen because it is the hard shape, not the easy one:
#   - two levels of header, with PRESSURE OF EACH FAN, WHEEL, MOTOR and DESIGN
#     REFERENCE spanning bands over the columns beneath them, and MARK,
#     LOCATION, AIRFLOW, TYPE, CLASS, FAN RPM, MAX. BHP/KW, VARIABLE CONTROL
#     TYPE and REMARKS spanning DOWNWARD through both header rows
#   - DIRECT DRIVE (YES/NO) does NOT span both header rows though MARK,
#     LOCATION, AIRFLOW, TYPE, CLASS, FAN RPM, MAX. BHP/KW, VARIABLE CONTROL
#     TYPE and REMARKS all do — the box above it is empty. Transcribed wrongly
#     the first time and corrected against the drawn cell at (2243,534)-(2338,566):
#     an eye reads a two-line heading as a tall cell, and the ruling says otherwise
#   - SINGLE POINT is one cell spanning MCA and MOCP in every data row, so the
#     data rows carry 21 values across 22 columns
#   - every row rule is drawn per cell with the pieces disagreeing in the second
#     decimal, which is what vectorgrid._snap_grid exists for
sheet,table_title,row,col,text
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,0,0,AHU SUPPLY FAN SCHEDULE
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,1,0,1. PROVIDE UNIT MOUNTED DISCONNECT SWITCH. 2. FAN SHALL HAVE OUTLET GUARD. 3. FAN SHALL HAVE BLANK-OFF PLATE PROVIDED BY MANUFACTURER FOR FAN ISOLATION
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,0,MARK
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,1,LOCATION
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,2,AIRFLOW
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,3,PRESSURE OF EACH FAN
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,5,TYPE
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,6,CLASS
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,7,WHEEL
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,9,FAN RPM
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,10,MAX. BHP/KW
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,11,VARIABLE CONTROL TYPE
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,12,MOTOR
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,3,18,DIRECT DRIVE (YES/NO)
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,19,DESIGN REFERENCE
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,2,21,REMARKS
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,3,3,ESP (IN. W.G.)
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,3,4,TSP (IN. W.G.)
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,3,7,TYPE
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#19,AHU SUPPLY FAN SCHEDULE,3,8,DIA
