sheet,tag,role,in_table,note
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-10,plan,false,"(E) FC-10 — dashed leader from 'T' sensor glyph pointing to a duct/equipment run; unique unit. Verified via crop; symbol is a thermostat-style glyph feeding the FC, not a bare label."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-26,plan,false,DEMO (E) FC-26 — leader line down into the mechanical-room duct/equipment cluster in the shaded 'AREA OF WORK'; unique unit being demoed. Also referenced by keyed notes 1/3.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-27,plan,false,"DEMO (E) FC-27 — leader line into the same mechanical-room cluster as FC-26, distinct unit; also tagged with keyed notes 1/3."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-3,plan,false,(E) FC-3 — leader-line callout from a wall diffuser/fan-coil symbol with a duct riser; unique existing fan-coil unit being demolished.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-4,plan,false,(E) FC-4 — dashed leader from a 'T' thermostat glyph to fan-coil symbol at ceiling duct branch; unique unit.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-5,plan,false,"(E) FC-5 — dashed leader from 'T' glyph to fan-coil symbol; unique unit, mirrors FC-4 across the corridor."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-7,plan,false,(E) FC-7 — leader from 'T' sensor glyph; unique existing fan-coil unit.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,FC-8,plan,false,(E) FC-8 — leader from 'T' sensor glyph in adjacent office; unique unit.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,PNL 8B,plan,false,"(E) PNL 8B — panel symbol near stairwell, same wall run as BH2/BP2; unique panel."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,PNL BH2,plan,false,(E) PNL BH2 — electrical panel symbol (small rectangle) directly labeled at a wall; unique panel.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#12,PNL BP2,plan,false,(E) PNL BP2 — panel symbol stacked directly below PNL BH2 on same wall; unique panel.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,AC-1,plan,false,"Text is '(E) AC-1', underlined; existing AC unit with arrow leader to equipment symbol. Not in pipeline hint list."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,CD-4,plan,false,"Repeatable ceiling-diffuser type/schedule mark, appears 4x on this sheet with different CFM values (160, 175, 110, 110) and duct sizes (10x10, 8x8, 8x8, 8x8) -- same type tag, listed once per repeatable-mark rule."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,CH-1,plan,false,"New chiller, boxed tag '2 | CH-1' next to chiller unit outline, keynote 2 references RG/RL to indoor unit. Unique instance mark."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,EH-20,plan,false,Boxed unique tag 'EH-20 | 1' over hatched electric-heater symbol; thermostat 'T (EH)' nearby serves it (not itself a tag).
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,FC-10,plan,false,Underlined unique fan-coil-unit tag centered in room.
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,FC-13,plan,false,"Text is '(E) FC-13', underline under 'FC-13' portion; existing fan coil unit, arrow leader from a curved-arrow return symbol. NOT in pipeline's family hint list despite matching the FC- pattern -- looks like a pipeline miss."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,FC-3,plan,false,"Underlined unique fan-coil-unit tag centered in room, new unit (no (E) prefix)."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,FC-30,plan,false,"Text is '(E) FC-30', underline under 'FC-30'; existing fan coil unit box near (E) CU. Also not in pipeline hint list."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,FC-7,plan,false,"Underlined unique fan-coil-unit tag centered in room, near (E) AC-1."
25_WA_DouglasCounty_Courthouse_HVAC_DDC.pdf#15,HP-10A,plan,false,Boxed unique tag '1 | HP-10A' with leader/underline pointing to hatched heat-pump unit symbol.
