sheet,tag,role,in_table,note
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#22,EF-1,plan,false,"Exhaust fan equipment tag: hexagon glyph reading 'EF' over '1' with adjacent keynote box 1 ('NEW EXHAUST FAN MOUNTED ON WALL...'), located on the wall-mounted duct/louver assembly near grid column 1/row C, paired with keynote box 2 (stub full-size duct through wall) on the adjoining duct run."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#22,L-1,plan,false,"Louver equipment tag: hexagon glyph reading 'L' over '1' with adjacent keynote box 3 ('NEW INTAKE COMBINATION LOUVER INSTALLED IN WALL...INTERLOCK LOUVER ACTUATOR WITH EF-1'), located at the far-left wall near grid column 6/row C."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#22,UH-1,plan,false,"Unit heater equipment tag. Appears twice on the plan: once as the physical unit-heater glyph (hexagon reading 'UH' over '1', with adjacent keynote box 4 = 'NEW GAS-FIRED UNIT HEATER') near grid column 2/row C, and once as a text label 'UH-1' next to a wall-mounted thermostat symbol (circle with 'T') with keynote box 7 = 'NEW THERMOSTAT FOR UNIT HEATER', confirming both refer to the same unique physical unit."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#22,UH-2,plan,false,"Unit heater equipment tag, the second distinct unit heater on this sheet. Appears as the physical unit-heater hexagon glyph ('UH' over '2', keynote 4) near grid column 5/row D, and as text label 'UH-2' next to its wall thermostat symbol (keynote 7) near grid column 6/row C."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#30,EF-1,plan,false,"Hexagon 'EF' over '1' directly beside a wall-mounted fused-disconnect glyph at exterior wall / grid C on the right side of the building. Missed entirely by the pipeline hint's family list (P-10,P-2,P-4,P-6,P-8,PE-23628,UH-1,UH-2) -- confirmed visually by cropping the render at that location; textSpans shows 'EF' x0=4557,y0=2335.4 and '1' x0=4564,y0=2359.1 immediately adjacent."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#30,L-1,plan,false,"Hexagon 'L' over '1' beside an identical hatched disconnect-switch glyph on the exterior wall near grid 6/5.9 (left end of building) -- same symbol style as EF-1, evidently a motorized louver/damper actuator disconnect. Also missed by the pipeline hint. textSpans: 'L' x0=221.9,y0=2465.1, '1' x0=222.8,y0=2488.7."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#30,P,plan,false,"Quoted panel designation '""P""' beneath the surface-mounted panelboard elevation glyph (hatched rectangle) near grid 2-1.2 bottom of plan -- the panelboard itself (equipment type explicitly listed in the rules). Boxes '1'/'2' above it are section/breaker-row indicators, not separate tags."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#30,P-10,plan,false,Leader tag 'P-10' pointing to the disconnect glyph feeding UH-2. Unique instance.
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#30,P-2,plan,false,"Leader-line tag 'P-2' pointing to a disconnect/feeder symbol that drops into the wall-mounted panelboard glyph labeled ""P"" (near grid 2-1.2, bottom of plan). Circuit/feeder-to-panel tag, unique."
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#30,P-4,plan,false,Leader tag 'P-4' pointing to a wall-mounted weatherproof (WP) receptacle/disconnect glyph at top of plan near grid 5.1. Unique instance.
