sheet,tag,role,in_table,note
03_FL_HurlburtField_ChildDevCenter.pdf#22,D,plan,false,"Dryer (NIC) equipment symbol. Four box glyphs labeled ""D"" drawn in Laundry 120 beneath the washers, plus LEGEND definition (""DRYER (NIC); SEE MECHANICAL AND ELECTRICAL""). NOTE: the bare letter ""D"" is reused elsewhere on this same sheet as a small hexagon accessory-schedule callout (mounting-accessory letter ""D"" = 24x36 mirror, near Kitchen TLT) — that hexagon usage is NOT equipment and is excluded; only the laundry-appliance glyph is counted here."
03_FL_HurlburtField_ChildDevCenter.pdf#22,EDW,plan,false,"Existing Dish Washer (and hood) — single physical unit drawn as a labeled box in the Ware Wash area, plus LEGEND definition (""EXISTING DISH WASHER AND HOOD; SEE EQUIPMENT DRAWINGS""). Only one instance."
03_FL_HurlburtField_ChildDevCenter.pdf#22,FCO,plan,false,"Floor Cleanout (plumbing fixture type-mark). Circle glyph ""FCO"" drawn at ~4 locations (kitchen, ware wash, laundry), plus LEGEND definition (""FLOOR CLEANOUT; SEE MECHANICAL""). Repeatable type mark, listed once."
03_FL_HurlburtField_ChildDevCenter.pdf#22,FD,plan,false,"Floor Drain (plumbing fixture type-mark). Circle glyph drawn at ~5 locations across the plan (restroom, kitchen/prep, corridors), plus defined in the sheet's LEGEND table (""FLOOR DRAIN; SEE PLUMBING""). Repeatable type mark, listed once."
03_FL_HurlburtField_ChildDevCenter.pdf#22,FS,plan,false,"Floor Sink (plumbing fixture type-mark). Square/circle glyph ""FS"" drawn at ~8 locations (kitchen prep, ware wash, dish room), plus LEGEND definition (""FLOOR SINK; SEE PLUMBING""). Repeatable type mark, listed once."
03_FL_HurlburtField_ChildDevCenter.pdf#22,HD,plan,false,"Hub Drain (plumbing fixture type-mark). Circle glyph ""HD"" drawn once in Cook/Prep 115, plus LEGEND definition (""HUB DRAIN; SEE MECHANICAL""). Repeatable type mark."
03_FL_HurlburtField_ChildDevCenter.pdf#22,IM,plan,true,"Ice Maker — appears ONLY as a row in the sheet's LEGEND table (""RELOCATE EXISTING ICE MAKER; SEE ELECTRICAL AND PLUMBING""); no corresponding ""IM""-labeled glyph could be located drawn on the plan itself (the dashed appliance box near Lobby 102 is labeled ""NIC"", not ""IM""). Marked in_table true since this occurrence is legend-only on this sheet."
03_FL_HurlburtField_ChildDevCenter.pdf#22,TD,plan,false,"Trough Drain (plumbing fixture type-mark). Box glyph ""TD"" drawn once in Cook/Prep 115, plus LEGEND definition (""TROUGH DRAIN; SEE PLUMBING AND EQUIPMENT DRAWINGS""). Repeatable type mark."
03_FL_HurlburtField_ChildDevCenter.pdf#22,W,plan,false,"Washer (NIC) equipment symbol. Four dashed-outline glyphs labeled ""W"" drawn in Laundry 120, plus LEGEND definition (""WASHER (NIC); SEE ELECTRICAL AND PLUMBING""). Repeatable type mark for the appliance footprint, listed once."
03_FL_HurlburtField_ChildDevCenter.pdf#26,EF,plan,false,"Exhaust-fan symbol (square box w/ diagonal, per this sheet's own LEGEND: 'EXHAUST FAN; SEE MECHANICAL'). Drawn ~6 times on this RCP (near ISO/106, TLT/105, Kitchen TLT/112, Staff Locker/113 area, room 118). No individual numbering appears on THIS sheet (that's done on the mechanical sheet, e.g. page 71 has EF-1/EF-2/EF-3) — literal text drawn here is just 'EF', so listed once as a repeatable/generic type mark."
03_FL_HurlburtField_ChildDevCenter.pdf#56,"2""VTR",plan,false,"Vent-thru-roof pipe termination, drawn with a small pipe-cap glyph + leader; general note 1 on this sheet explicitly discusses 'VTR'S' as a named penetration type. Occurs ~3-4x with this exact size text."
03_FL_HurlburtField_ChildDevCenter.pdf#56,"3""VTR",plan,false,"Same VTR fitting type as above but 3"" size; occurs once on this sheet."
03_FL_HurlburtField_ChildDevCenter.pdf#56,RD,plan,false,"Roof drain symbol, repeatable type mark, paired directly under each SD symbol. Occurs 4x; adjacent circled '1' is a keynote reference (general note explains 'ROUTE ROOF DRAIN (RD) OUTLET...'), not part of the tag text."
03_FL_HurlburtField_ChildDevCenter.pdf#56,SD,plan,false,"Overflow/scupper drain symbol (double-circle roof-drain glyph), repeatable type mark. Occurs 4x on this roof plan (sheet notes 1/2 explain RD vs SD); the adjacent circled '2' next to each is a keynote reference, not part of the tag."
03_FL_HurlburtField_ChildDevCenter.pdf#71,ATU-C,plan,false,"(E)ATU hexagon labeled 'C' (existing air terminal unit), near STOR 121 / bottom of sheet."
03_FL_HurlburtField_ChildDevCenter.pdf#71,ATU-F,plan,false,"(E)ATU hexagon labeled 'F', near VEST/101 area."
03_FL_HurlburtField_ChildDevCenter.pdf#71,ATU-G,plan,false,"(E)ATU hexagon labeled 'G', near CLOSET/104A."
03_FL_HurlburtField_ChildDevCenter.pdf#71,ATU-H,plan,false,"(E)ATU hexagon labeled 'H', near CENTRAL STORAGE."
03_FL_HurlburtField_ChildDevCenter.pdf#71,ATU-J,plan,false,"(N)ATU hexagon labeled 'J', appears twice on this sheet (near office 109/110 and again near the duct run below) — same physical unit, listed once."
