# rowsym.csv for mcp/scripts/graph-eval.mjs's row-to-symbol linking metric
# (plans/03-drawing-tag-recognition-audit.md WP7 follow-up, 2026-09-18).
#
# MECHANICALLY DERIVED from this set's own bldg5406-hvac-demo.takeoff.csv, itself an
# independently-authored ground-truth key (never sweep_schedule_row's own
# output) that already lists every real schedule-row tag with its expected
# installed quantity and, where applicable, an explicit expected_status.
# A row with a real expected_quantity > 0 and no explicit refused status is
# expected to have its own drawn symbol found (resolved); a row explicitly
# marked expected_status=refused there is independently established as
# schedule-only / never drawn on any plan sheet, and is expected to correctly
# refuse here too. This expands what was previously a small (15-40 row) hand
# sample per set to full coverage of every real schedule row this corpus has
# already ground-truthed for takeoff-eval.
tag,expect_status,note
AHU-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Air handling unit (AHU)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR HANDLING UNIT SCHEDULE (sheet #6), real single unit, MECHANICAL 113A (AREA SERVICED=BUILDING, TRANE/UCCAB10C0). Visually confirmed sheet #2: one real, large packaged-unit symbol in the mechanical room, tag 'AHU-1' printed directly on it; the tag is ALSO findable a second time on the same sheet as part of the duct callout '36X16 RETURN DUCT DOWN TO AHU-1' pointing at the same physical unit — a duct-routing label, not a second install (same 'a second occurrence is a label, not a second unit' discipline federal-mech's own AHU-1/CWP-1 multi-view note establishes). sweepScheduleRow('AHU-1') returns found=1 today — a real positive, pipeline already correct."
CH-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Chiller) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: PACKAGED AIR COOLED CHILLER SCHEDULE (sheet #6), real single unit, TRANE/CGAM20, 20 tons. Visually confirmed sheet #2: real rectangular chiller symbol at the building's south exterior, tag 'CH-1' directly beside it; also referenced (not re-drawn) in the chiller controls sequence text on sheet #8. sweepScheduleRow('CH-1') returns found=1 today — a real positive."
AC-1/ACCU-1,refused,"CORRECTED from the mechanical derivation default (blank expected_status + real expected_quantity => resolved): this row's own takeoff.csv note already documents a real, disclosed refusal (a documented compound-tag row_key anchoring gap), which the mechanical default missed because it only read the structured expected_status column, not the free-text note. "Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Split system air conditioning unit (unclassified — no dedicated hvacTaxonomy split-system category today)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: SPLIT SYSTEM AIR CONDITIONING UNITS table (sheet #6), real single system, MITSUBISHI/PKA-A24FA (indoor) + PUY-A24NHA (outdoor), one schedule row keyed 'AC-1/ACCU-1'. Visually confirmed sheet #2: 'AC-1' tags the wall-mounted indoor unit near a 10-inch round duct elbow; 'ACCU-1' separately tags the outdoor condensing unit near an equipment pad, both real, both findable exactly once — one real installed system, two component tags (same convention as an AHU's indoor/outdoor split). buildPlanSetTakeoff reports this row 'refused: cannot be geometrically anchored' — the row IS discovered (SPLITSYSTEMAIRCONDITIONINGUNITS table extracts correctly with 1 row) but the compound 'AC-1/ACCU-1' row_key doesn't geometrically match either of the two real, separately-drawn single tags — a real, disclosed compound-tag anchoring gap, not a missing symbol.""
CWP-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Pump) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: Untitled PUMP SCHEDULE (sheet #7, real title 'PUMP SCHEDULE' lost to the title-hunt — same real family of loss federal-mech's own untitled pump schedule already established), SERVICE=CHILLED WATER, BELL AND GOSSETT/1.5X1.5X7C. Visually confirmed sheet #2: real inline-centrifugal pump glyph in the mechanical room, tag 'CWP-1' on its own leader line (drawn immediately adjacent to CWP-2's own symbol — a close duplex pump pair, not a shared symbol: each tag independently text-findable at its own coordinates). sweepScheduleRow('CWP-1') returns found=1 today — a real positive."
CWP-2,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Pump) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: Same untitled PUMP SCHEDULE, SERVICE=CHILLED WATER, second real distinct pump (schedule EFF.(%) cell garbled to '1750551' — a real cell-parsing defect on this specific row, see this set's own reference.csv for the same finding scored at cell level). Visually confirmed sheet #2: real pump glyph immediately beside CWP-1's own, independently tagged. sweepScheduleRow('CWP-2') returns found=1 today — a real positive."
AS-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Air separator) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: AIR SEPARATOR SCHEDULE (sheet #7), real single unit, SERVICE=CHILLED WATER, BELL AND GOSSETT/R-2N. Visually confirmed sheet #2: real small air-separator symbol in the mechanical room directly beside VAV-9 and ET-1. sweepScheduleRow('AS-1') returns found=1 today — a real positive."
ET-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Expansion tank (unclassified — no dedicated hvacTaxonomy expansion-tank category today)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: EXPANSION AND COMPRESSION TANK SCHEDULE (sheet #7, extracts kind='finish' today — a real classification gap, this table is genuinely equipment-kind by design, same family as federal-mech's own boiler/pump misclassification finding), real single unit, SERVICE=CHILLED WATER, WESSELS/NLA-35. Visually confirmed sheet #2: real small tank symbol in the mechanical room directly beside AS-1. NOTE: this tag string collides with a SEPARATE, real domestic-water ET-1 on the plumbing sheets (P-series, #14/#17/#18/#19) — a different physical unit at a different location; this row scores ONLY the mechanical/chilled-water ET-1 (sheet #2), the HVAC-in-scope one. sweepScheduleRow('ET-1') returns found=1 today (real positive) — though note it cannot distinguish which of the two same-named real tags across disciplines it anchored to; both happen to resolve to a real, single, correctly-quantified physical unit on their own respective sheet, so this ambiguity is disclosed but does not currently corrupt either count."
EF-1,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Fan (exhaust / supply / return / general)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: FAN SCHEDULE (sheet #6), real single unit, SERVICE=RESTROOMS, GREENHECK/CW-080-VG, QTY column reads 1. Visually confirmed sheet #2: real inline/centrifugal fan glyph in the mechanical room, tag directly beside it. sweepScheduleRow('EF-1') returns found=1 today — a real positive."
EF-2,refused,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own expected_status=refused row (Fan (exhaust / supply / return / general)) — this row is independently established as schedule-only / not drawn on any plan sheet. Original takeoff note: Confirmed technical ceiling: the real fan and printed tag are visible in the render, but the tag is emitted entirely as raw vector-path letterforms and has no searchable prefix or suffix. With OCR/vector-glyph recognition explicitly out of scope, production must return the schedule row and refuse an installed quantity."
EF-3,refused,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own expected_status=refused row (Fan (exhaust / supply / return / general)) — this row is independently established as schedule-only / not drawn on any plan sheet. Original takeoff note: Confirmed technical ceiling: the real fan and printed tag are visible in the render, but the tag is emitted entirely as raw vector-path letterforms and has no searchable prefix or suffix. With OCR/vector-glyph recognition explicitly out of scope, production must return the schedule row and refuse an installed quantity."
EF-4,resolved,"Derived from keys/bldg5406-hvac-demo.takeoff.csv's own already-independently-authored takeoff ground truth (expected_quantity=1, Fan (exhaust / supply / return / general)) — a real schedule row with a real expected installed quantity is expected to have its own drawn symbol found on a plan sheet. Original takeoff note: FAN SCHEDULE row, SERVICE=MECHANICAL 113A, GREENHECK/CW-070-VG, QTY=1. Visually confirmed sheet #2: real fan glyph in the mechanical room, tag directly beside it. sweepScheduleRow('EF-4') returns found=1 today — a real positive."
