sheet,tag,role,in_table,note
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,T,plan,false,"Circled 'T' thermostat symbol, matching general note 3 ('DISCONNECT, REMOVE, AND RELOCATE EXISTING THERMOSTAT'). Appears twice on the sheet (~1959.7,2729 and ~2686.6,3382.9), each as a plain circle with 'T' inside — the glyph and the tag are the same mark. Treated as a repeatable controls-equipment tag (sensor/thermostat) and listed once; flagging this one as a judgment call since it is a bare single letter rather than a multi-character code like the other tags on this sheet."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-FCU-4,plan,false,"Existing fan-coil unit, unique instance mark. Drawn as an underlined tag on a shaded equipment box in the mechanical room area; confirmed by zoomed crop (adjacent duct callouts X-34""x16"" SA / X-24""x12"" RA are NOT tags, just duct-size labels)."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-FCU-5,plan,false,"Existing fan-coil unit, unique instance mark, drawn as a second shaded equipment box a short distance from X-FCU-4 (same visual convention)."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-KH,plan,false,"Existing kitchen hood, keynote 1 ('DEMO EXISTING KITCHEN HOOD...'). Drawn as an underlined tag directly on/adjacent to a shaded equipment box glyph, twice: once near the dining-hall/kitchen area (leader-free, box at ~x0=2274.8,y0=2487.1) and once near Corridor 100 at the bottom-left of the sheet (~x0=1413,y0=3385.5). Both instances read the exact same literal text with no distinguishing numeric suffix, so per the repeatable-mark rule this is listed once even though it labels two distinct physical hoods; noting the ambiguity here since each occurrence is arguably its own unique piece of equipment that simply wasn't given an individual number."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-RG,plan,false,"Existing return grille, repeatable type/schedule mark. Appears at least 3 times (each with a '24""x24""' size line), each with a leader arrow pointing to a hatched return-grille glyph — confirmed by zoomed crop. Listed once per the repeatable-mark rule."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-SD,plan,false,"Existing supply diffuser, repeatable type/schedule mark. Appears many times (10""ø, 14""ø, plus CFM values 300/200 on some), each with a leader arrow to a crossed-square supply-diffuser glyph — confirmed by zoomed crop. Listed once."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-TU-10,plan,false,"Existing terminal unit, unique instance mark, shaded vertical equipment box next to X-TU-7 (both hang off the same 'X-36""x12"" SA' duct riser)."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#15,X-TU-7,plan,false,"Existing terminal unit, unique instance mark. Drawn as a shaded vertical equipment box at the far right of the mechanical cluster, immediately adjacent to X-TU-10."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,F/S,plan,false,"Fire/smoke damper, repeatable type mark (HVAC key note 3: 'INSTALL FIRE/SMOKE DAMPER AT LOCATION SHOWN'). Appears twice, each as 'F/S' text with a leader arrow to a rectangular in-duct damper glyph with a small circle (fusible-link indicator) — confirmed by zoomed crop. Listed once."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,T,plan,false,"Circled 'T' thermostat symbol (HVAC key note 2: 'RELOCATE AND INSTALL THERMOSTAT AT LOCATION SHOWN'). Appears twice (~1942.6,2752.4 and ~2686.9,3382.4). Same judgment call as page 15: bare single-letter tag, included as a repeatable controls-equipment mark, listed once."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,X-FCU-4,plan,false,"Same relocated existing fan-coil unit as on the demo sheet (page 15), unique instance mark, shaded equipment box; also referenced in HVAC key note 4 ('...FILTER SERVING X-FCU-4...')."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,X-FCU-5,plan,false,"Same relocated existing fan-coil unit as on page 15, unique instance mark, shaded equipment box."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,X-RG,plan,false,"Return grille, repeatable type mark. Appears at least 4 times with '24""x24""' size lines; also referenced in HVAC key note 5 ('INSTALL RETURN CANOPY ON X-RG...'). Listed once."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,X-SD,plan,false,"New/relocated supply diffuser, repeatable type mark. Appears many times (10""ø, 14""ø, 8""ø, with CFM values 300/200), each leadered to a crossed-square diffuser glyph. Referenced generically in HVAC key note 1 ('RELOCATE AND INSTALL SUPPLY AIR DIFFUSER...'). Listed once."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,X-TU-10,plan,false,"Existing terminal unit, unique instance mark, shaded vertical box next to X-TU-7."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#16,X-TU-7,plan,false,"Existing terminal unit, unique instance mark, shaded vertical box next to X-TU-10 (same location/convention as page 15)."
078_US_CP25028_MSU_Union_Sparty_Store_Renovations.pdf#19,OS-1,plan,false,"Oil/grease separator (interceptor) unit serving the existing sink (X-SK) near the triple pot sink. On the main partial floor plan it is drawn as a circular trap-style equipment symbol directly beneath the sink with an 'OS-1' leader label (textSpans x0=2973.4,y0=1033.3). The same unit is drawn again, in elevation, as a rectangular tank glyph in the adjoining 'TRIPLE POT SINK DETAIL' (NTS) at the lower right of the sheet, again labeled 'OS-1' underlined (x0=4784,y0=2841.9), tracing its 3"" SAN in/out and 2"" VENT connections. Both occurrences are the same single physical unit, so it is listed once as a unique instance mark. Confirmed visually: crops around both locations (/tmp/crop-os1a.png plan view, /tmp/crop-os1b.png NTS detail view) show 'OS-1' underlined and pointing at/labeling the actual equipment glyph, not a room or note number."
