sheet,tag,role,in_table,note
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#24,PIV,plan,false,"Post Indicator Valve (fire-protection water valve) drawn next to a small circle glyph on the site/civil portion of the plan, near the two 'EXIST CHILLER' pads and the 'EXIST FDC SIAMESE CONNECTION' note. Single occurrence on the sheet (unique instance mark). Verified visually via crop at page-point coords ~(1725,1626)."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#54,FCO-E,plan,false,"Floor cleanout, existing. Part of a shared-leader tag cluster (with P414-E, P103-E) pointing at a toilet/lavatory fixture group near gridline 4/B-C on the plan; confirmed via zoomed crop showing leader lines to the actual fixture symbols."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#54,HB-E,plan,false,"Hose bibb, existing — tag drawn directly beside a small wall hose-bibb symbol on the exterior wall near gridline F, confirmed via zoomed crop."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#54,P103-E,plan,false,"Plumbing fixture type mark (existing), same leader cluster as FCO-E/P414-E pointing to the toilet/lavatory symbols."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#54,P414-E,plan,false,"Plumbing fixture type mark (existing), same leader cluster as FCO-E/P103-E pointing to the toilet/lavatory symbols. Fixture-schedule type mark; only one occurrence on this sheet."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#54,P604-E,plan,false,Plumbing fixture type mark (existing) with its own leader pointing directly at the electric water cooler symbol ('REMOVE EXISTING ELECTRIC WATER COOLER. P604-E IN PHASE 1.').
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#56,BFP-2,plan,false,"Backflow preventer, unique instance. Leader-labeled callout (stacked with pipe-size and sheet-ref notes) pointing to the backflow-preventer valve symbol in the Staff Toilet/Supervisor Office plumbing chase. Text span confirmed twice in the raw dump ('BFP-2' at x0=3230.6,y0=1649.5 and again inside the parenthetical note 'PREVENTER(BFP-2) IN' at x0=3917.5,y0=1682.7) -- same physical unit, counted once."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#56,FCO-E,plan,false,"Existing floor cleanout, unique instance. Underlined tag with leader pointing directly at the cleanout (swirl-icon) valve symbol at the base of the plumbing chase near Supervisor Office W09."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#56,FD-E,plan,false,"Existing floor drain, unique instance. Underlined tag sits directly beneath/next to a small striped floor-drain glyph, with leader lines from the drain riser circles converging on it."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#56,HB-E,plan,false,"Existing hose bibb, unique instance. Underlined tag immediately adjacent to the hose-bibb wall symbol (small hatched rectangle in the wall) near the material-lift/receiving-dock corridor."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#60,HP-E,plan,false,"Heat pump, existing — tag placed directly at two separate heat-pump/package-unit duct-connection symbols (hexagonal duct transition fittings), each tied to a 'REMOVE EXISTING HEAT PUMP UNIT...' keynote leader. Confirmed via zoomed crop. Two occurrences; listed once as a repeatable mark."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#60,RG-E,plan,false,"Return grille, existing — repeatable type mark beside return-grille symbols (e.g. with duct sizes 8x6/210, 22x10/555, 18x12/325, 18x18/625). Confirmed via zoomed crop. Occurs roughly 9 times; listed once."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#60,SG-E,plan,false,"Supply grille, existing — repeatable type mark drawn under/beside numerous grille symbols across the plan (e.g. paired with duct sizes like 16x10/370, 14x6/210, 18x18/325, 21x12/625). Confirmed via zoomed crop showing the tag directly beneath grille symbols. Occurs roughly a dozen times on the sheet; listed once as a repeatable mark."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,1-1-TU05,plan,false,Unique terminal-unit tag with thermostat (T) symbol over receiving/issue duct run.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,14-EUH1,plan,false,"Unique existing electric unit heater tag ('EXISTING ELECTRIC UNIT HEATER 14-EUH1 TO REMAIN'), leader to a diamond wall-mount symbol."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,14-EUH2,plan,false,"Unique existing electric unit heater tag, leader to a diamond wall-mount symbol."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,14-P4,plan,false,Unique pump tag with leader to a pump symbol in the pumped-coil piping group.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,EG-1,plan,false,Exhaust grille type mark near receiving dock; repeatable.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,EG-71,plan,false,Exhaust grille type mark; repeatable.
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,EG-81,plan,false,"Exhaust grille type mark, drawn 2x; repeatable."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,RG-24,plan,false,"Return grille type mark, drawn 6x on box symbols; repeatable."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,RG-31,plan,false,"Return grille type mark, drawn 5x on box symbols; repeatable."
031_MO_VA_Project_589A4_20_158_Renovate_Warehouse_for.pdf#63,RR-514,plan,false,Grille/register-style type mark (tag/size-CFM pair format matching SD-/RG- siblings) on the large 50x26 intake plenum; treated as repeatable schedule mark though only one instance appears on this sheet.
