sheet,tag,role,in_table,note
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#10,(E)AHU-1,plan,false,"Hexagon tag with leader arrow to existing AHU fan-unit box, near 'MECHANICAL RM 18'. Unique instance mark."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#10,(E)AHU-4,plan,false,Hexagon tag with leader arrow down to AHU unit box inside 'CONFERENCE RM 24'. Unique instance mark.
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#10,(E)AHU-5,plan,false,"Hexagon tag with leader arrow down to AHU unit box inside 'CONFERENCE RM 24' (paired with AHU-4). Text extraction confirms '(E)AHU-5', not '(E)AHU-6' as it first appeared to read on the rendered image at normal zoom."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#10,BT,plan,false,"Hexagon tag with leader arrow to a small circular fitting/device symbol upstream of chiller CH-1 (likely a balance/basket-type valve or strainer). Drawn identically to the CH-1/CH-2 hexagon equipment tags, so treated as a genuine equipment tag rather than noise."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#10,CH-1,plan,false,"Hexagon tag with leader arrow to chiller unit symbol (box of circular tube-bundle glyphs), bottom-left of plan. Unique instance mark."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#10,CH-2,plan,false,"Hexagon tag with leader arrow to second chiller unit symbol, directly below CH-1. Unique instance mark."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#11,(E)CH-1,plan,false,"Existing Chiller 1 being demolished, demo plan, circled with demo keynote 1 (""REMOVE AND DEMOLISH EXISTING 200-TON CHILLER""), leader arrow into the large circle-grid chiller box. Literal text includes ""(E)"" prefix, distinct from the new ""CH-1"" tag on the renovation plan (verified via zoomed crop and textSpans str ""(E)CH-1""). Pipeline hint only listed family ""CH-1"", missing this existing-equipment variant entirely -- included per independent verification."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#11,BT,plan,false,"Buffer Tank, renovation plan (right/Mechanical Yard Floor Plan-New), hexagon symbol with renovation keynote 3 (""PROVIDE A NEW 700-GALLON BUFFER TANK""), arrow pointing down into the tank circle. Verified via zoomed crop. NOT in pipeline's reported hint families (hint missed it)."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#11,CAT-1,plan,false,"Active Carbon(e) Tank, demo plan, circled with demo keynote 5 (""REMOVE AND DEMOLISH ACTIVE CARBONE TANK""), leader to equipment symbol. Unique instance mark. Matches pipeline hint family CAT."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#11,CH-1,plan,false,"New Chiller 1, renovation plan, hexagon symbol with leader arrow into the upper circle-grid chiller unit; corresponds to renovation keynote 1 (""PROVIDE NEW 132-TON CHILLER WITH BACNET CONTROL SYSTEM""). Unique instance mark, distinct literal text from ""(E)CH-1"" on the demo side."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#11,CH-2,plan,false,"New Chiller 2, renovation plan, hexagon symbol with leader arrow into the lower circle-grid chiller unit. Verified via zoomed crop showing hexagon glyph and arrow into equipment. Unique instance mark."
023_US_Chiller_Replacement_at_U_S_Salinity_Laboratory.pdf#11,CT,plan,false,"Cooling Tower, demo plan, circled with demo keynote 6 (""REMOVE AND DEMOLISH EXITING COOLING TOWER""), arrow to the 3-circle equipment box below. Unique instance mark. NOT in pipeline's reported hint families (hint missed it)."
