# 072_CA_CA07_2627_West_Valley_College_Science_Math.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#14,NAIL PROPERTIES SCHEDULE,2300.0,843.81,2621.12,1050.56,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#16,BOLT SCHEDULE,793.94,127.06,929.25,206.44,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#16,STIFFENER SCHEDULE,947.25,1754.44,1055.25,1848.56,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#19,"PANEL: A2-SEC2 LOCATION: ELECTRICAL A162 FLOOR: FIRST FLOOR MOUNTING: SURFACE VOLTAGE/PHASE: 120/208 WYE,3PH,4W FED FROM: DPA BUS AMPS: 225 A RATING: 10 KAIC MAIN BREAKER: MLO",186.56,150.31,942.56,880.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#19,"PANEL: A3-SEC2 LOCATION: ELECTRICAL A162 FLOOR: FIRST FLOOR MOUNTING: SURFACE VOLTAGE/PHASE: 120/208 WYE,3PH,4W FED FROM: DPA BUS AMPS: 400 A RATING: 10 KAIC MAIN BREAKER: MLO",1003.19,150.31,1759.19,880.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#19,"PANEL: A4-SEC2 LOCATION: HALLWAY A130 FLOOR: FIRST FLOOR MOUNTING: SURFACE VOLTAGE/PHASE: 120/208 WYE,3PH,4W FED FROM: DPA BUS AMPS: 225 A RATING: 10 KAIC MAIN BREAKER: MLO",1821.44,150.31,2577.44,880.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#26,SUPPLY FANS,98.94,56.12,1340.94,452.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#26,AIR BALANCE SCHEDULE,1655.56,56.12,2579.56,301.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#26,ENERGY RECOVERY VENTILATOR,1655.56,364.5,2695.62,507.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#26,EQUIPMENT CONTROL VALVES,98.94,560.75,1382.69,1238.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
