sheet,tag,role,in_table,note
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,FCU-1,plan,false,"Fan coil unit box symbol in Vestibule 100. Exact match in textSpans at x0=2182.8,y0=830.9. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,FTR-1,plan,false,"Fin-tube radiator, leader label on curved wall run in Central Park. Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,FTR-1B,plan,false,"Fin-tube radiator segment, leader label on curved wall near Check-In Kiosk. Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,FTR-2,plan,false,"Fin-tube radiator, leader label on curved wall run. Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,FTR-2B,plan,false,"Fin-tube radiator segment, leader label near NICoE Dir. office. Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CP-1,plan,false,Small equipment box (condensate pump) near EQPT STOR 324/CP-1 area. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CP-2,plan,false,Equipment box near Trans-Cranial Magnetic Stim room. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CP-3,plan,false,"Equipment box in Comm 211 area, visually confirmed as a drawn rectangle symbol (see crop-mech-room.png). Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CP-4,plan,false,"Equipment box in Elec 114 area, visually confirmed as a drawn rectangle symbol. Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CP-5,plan,false,Equipment box near Storage/Kiln 338.1. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CP-6,plan,false,Equipment box near Storage/Kiln 338.1. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,EV-1,plan,false,Equipment box near CP-1/EQPT STOR 324. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,EV-2,plan,false,Equipment box near CP-2. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,EV-3,plan,false,"Rectangular equipment box in Comm 211, visually confirmed (see crop-mech-room.png, labeled with leader/adjacent box). Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,EV-4,plan,false,"Rectangular equipment box in Elec 114, visually confirmed with leader line from M216 keynote circle to the EV-4 box (see crop-mech-room.png). Matches textSpans exactly. Unique instance."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,EV-5,plan,false,Equipment box near CP-5/CP-6. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,EV-6,plan,false,Equipment box near CP-6/Storage-Kiln. Matches textSpans exactly. Unique instance.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,CH-1,plan,false,"Chiller, drawn in the small 'UTILITY YARD' inset plan (view 2, bottom of sheet) as a rectangle box, leader to label. Visually confirmed via crop-utility-yard.png. Matches textSpans exactly. Unique instance. Sheet is a plan for both view 1 (Ground Floor) and view 2 (Utility Yard), both are true plan views."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-1,plan,false,VAV box symbol near Music Therapy 312. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-2,plan,false,VAV box symbol near Corridor 342/Exam. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-3,plan,false,VAV box symbol near Pain MD 316. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-4,plan,false,VAV box symbol near BH/SW Providers 327. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-5,plan,false,VAV box symbol near Space C203/Public Waiting area. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-6,plan,false,VAV box symbol near BH/SW Provider 329. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-7,plan,false,VAV box symbol near Music Therapy 312. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-8,plan,false,VAV box symbol near Case Mgmt 311. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-9,plan,false,VAV box symbol near Neurologist 309. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-10,plan,false,VAV box symbol near PC MD/PAT TLT 313. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-11,plan,false,VAV box symbol near Corridor C300. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-12,plan,false,VAV box symbol near Corridor C300. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-13,plan,false,VAV box symbol near Chaplin 301/Space C203. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-14,plan,false,VAV box symbol near Corridor 348/347. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-15,plan,false,VAV box symbol near Staff Tlt 318. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-16,plan,false,VAV box symbol near Corridor 345/Gait Obs Lane. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-17,plan,false,VAV box symbol near Exam 345. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-18,plan,false,VAV box symbol near Corridor-1 342/Brain Lab. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-19,plan,false,VAV box symbol near Treatment IPMC 322. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-20,plan,false,VAV box symbol near Bio Neurofeedback 323. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-21,plan,false,VAV box symbol near Corr-2. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-22,plan,false,VAV box symbol near Corr-2. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-23,plan,false,VAV box symbol near Corr-1 340. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-24,plan,false,VAV box symbol near BH/SW Providers 326. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-25,plan,false,VAV box symbol near Comm 324/Trans-Cranial. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-26,plan,false,VAV box symbol near BH/SW Providers 326/Corr. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-27,plan,false,VAV box symbol near Corr 330. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-28,plan,false,"VAV box symbol; NOTE: literal string 'VAV-28' appears TWICE in textSpans at two different x/y locations (x0=1881.8,y0=3579.1 and x0=2405,y0=3579.1) near Alcove/Storage and Art and Clay Therapy 338 -- appears to be the same tag duplicated on two separate physical VAV box symbols on the sheet (possible drafting duplication/error, or a legitimate case of two units sharing a callout). Listed once as the distinct tag string per instructions, but flagging the double physical occurrence as unusual."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-29,plan,false,VAV box symbol near Pat Tlt 340/Case Mgmt 339. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-30,plan,false,VAV box symbol near Chaplin 301/Public Waiting. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-31,plan,false,VAV box symbol near Acupuncture-1 341.1-1. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-32,plan,false,VAV box symbol near Gait Obs Lane 204. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-33,plan,false,VAV box symbol near Public Waiting C101. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-34,plan,false,VAV box symbol near Dayroom 105. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-35,plan,false,VAV box symbol near Corridor/Central Park area. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-36,plan,false,"VAV box symbol near Classroom 103, visually confirmed with box glyph and leader-adjacent pipe run (see crop-fcu1.png). Matches textSpans exactly."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-37,plan,false,"VAV box symbol near Classroom 103.1, visually confirmed with box glyph (see crop-fcu1.png). Matches textSpans exactly."
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-38,plan,false,VAV box symbol near Classroom 103.1/Dir. Clinical Services. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-39,plan,false,VAV box symbol near NCOIC/Admin 109.1. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-40,plan,false,VAV box symbol near NCOIC/Admin 109.1. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-41,plan,false,VAV box symbol near NICoE Dir. 112. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-42,plan,false,VAV box symbol near Corr C102. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-43,plan,false,VAV box symbol near Female Toilet 107/Comm 211. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-44,plan,false,VAV box symbol near Speech Therapy 214/Daily Living Skills. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-45,plan,false,VAV box symbol near Male Toilet 108/House Keeping. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-46,plan,false,VAV box symbol near Male Toilet/Corridor. Confirmed vs textSpans.
019_FL_Eglin_AFB_Building_XX_Contract_Documents_01_04.pdf#6,VAV-47,plan,false,VAV box symbol near Changing/Locker (M) 218. Visually confirmed (crop-vav-sample.png). Matches textSpans exactly.
