sheet,table_title,x0,top,x1,bot,provenance
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#16,HOLLOW METAL DOOR SCHEDULE,1857.5,469.4,2307.6,561.7,"verified by eye, whole-sheet overlay @0.8x (~4pt) after the prefix-caption fix"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#16,OVERHEAD DOOR SCHEDULE,1857.5,573.5,2307.6,665.8,"verified by eye, whole-sheet overlay @0.8x (~4pt) after the prefix-caption fix"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#16,ROOM FINISH SCHEDULE,1857.5,991.3,2307.6,1189.4,"verified by eye, whole-sheet overlay @0.8x (~4pt) after the prefix-caption fix"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#16,SWING GATE SCHEDULE,1857.5,677.6,2307.6,803.6,"verified by eye, whole-sheet overlay @0.8x (~4pt) after the prefix-caption fix"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#16,DOOR SCHEDULE NOTES,3714.88,1659.62,4615.12,1879.62,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.11pt vs vectorgrid's own box"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#16,ROOM FINISH SCHEDULE NOTES,3714.75,2414.88,4615.0,2610.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#23,FAN SCHEDULE * EQUAL TO GREENHECK,3458.62,278.25,4540.25,604.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#23,LOUVER SCHEDULE * EQUAL TO GREENHECK,2986.75,640.0,4540.25,883.75,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#23,GAS UNIT HEATER SCHEDULE * EQUAL TO MODINE,3159.38,919.75,4540.25,1215.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#32,LIGHTING FIXTURE SCHEDULE,3142.25,216.12,4572.0,432.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
008_MO_T2331_01_Repair_to_Interior_Exterior_Unheated.pdf#32,PANELBOARD SCHEDULE,3348.88,819.5,4571.88,1728.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box"
