sheet,tag,role,in_table,note
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,AC-64-1,plan,false,"Hexagon at bottom of plan on a small equipment box near the center court, own leader line."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,EF-64-1,plan,false,"Hexagon on the '40x22' duct run near center of plan, own leader/box glyph."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,RAH-64-1,plan,false,"Hexagon on right/center roof duct stack, above SF-64-1."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,RAH-64-2,plan,false,"Hexagon on left roof duct stack, same stack as SF-64-2/STP-3."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,SF-64-1,plan,false,Hexagon on right/center roof duct stack.
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,SF-64-2,plan,false,"Hexagon on left roof duct stack; also redrawn on the section detail of the same stack (same physical unit, counted once)."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,STP-1,plan,false,"Hexagon-less circle callout on roof duct riser (top-right stack), leader from '82x18' duct; unique instance mark for supply riser fan/damper unit."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,STP-3,plan,false,"Circle callout on left duct stack ('70x18' base) in main roof plan; the same tag is repeated verbatim in the sheet's own small detail view (callout 2, 'STP-2 RISER TRANSITION AT ROOF') which shows this identical STP-3/RAH-64-2/SF-64-2 stack in section - not counted twice."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#38,SX-1,plan,false,Circle callout on small duct box between EF-64-1 stack and RAH-64-1 stack (sensor/switch device).
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,B-2-1,plan,false,"Boiler hexagon, one of a bank of 4 identical boiler glyphs; unique instance (matches 'Quantity of Centrifugal... Boilers' style numbering)."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,B-2-2,plan,false,"Boiler hexagon, second of 4."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,B-2-3,plan,false,"Boiler hexagon, third of 4."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,B-2-4,plan,false,"Boiler hexagon, fourth of 4."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,EA-1,plan,false,"Exhaust-air circle callout drawn twice near 'GARAGE EX. SHAFT 1/2' (two overlapping leaders both read 'EA / 1' - identical literal tag, counted once)."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,EF-2-1,plan,false,"Exhaust fan hexagon near the flue/boiler enclosure, lower-left of plan."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,EF-2-3,plan,false,"Exhaust fan hexagon at '56ø' duct, mechanical plenum area."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,EF-2-4,plan,false,"Exhaust fan hexagon at '16x16' duct elbow, upper-left of plan."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,ET-2-1,detail,false,"Hexagon in same top TX/SX-1 riser detail, on an expansion tank in 'MECHANICAL 5' room."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,ET-2-2,detail,false,"Hexagon in same top TX/SX-1 riser detail, adjacent expansion tank."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,GE-1,plan,false,"Circle callout ('GE / 1') near garage exhaust shaft 1, fuel-oil/generator-exhaust related equipment."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,GE-2,plan,false,Circle callout ('GE / 2') near garage exhaust shaft 2.
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,GX/SX-1,plan,false,"Circle callout ('GX/SX / 1') near garage exhaust shaft 1, on the fuel-oil vent riser."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,GX/SX-2,plan,false,Circle callout ('GX/SX / 2') near garage exhaust shaft 2.
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,HX-2-1,plan,false,"Heat exchanger hexagon; drawn both in the top TX/SX-1 detail and again in the main Boiler Plant Enlarged Plan below (same physical unit, counted once)."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,HX-2-2,plan,false,"Second heat exchanger hexagon, same treatment as HX-2-1 (appears in both the small detail and the main plan)."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,PHWP-2-1,plan,false,"Primary hot-water-pump hexagon, main Boiler Plant Enlarged Plan, upper-left pump bank."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,PHWP-2-2,plan,false,"Primary hot-water-pump hexagon, adjacent to PHWP-2-1."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,PHWP-2-3,plan,false,"Primary hot-water-pump hexagon, lower pump bank near boilers."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,PHWP-2-4,plan,false,"Primary hot-water-pump hexagon, adjacent to PHWP-2-3, near 'GARAGE EX. SHAFT 1'."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,SHWP-2-1,plan,false,"Secondary hot-water-pump hexagon, right side of plan near HWS/HWR headers."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,SHWP-2-2,plan,false,"Secondary hot-water-pump hexagon, below SHWP-2-1."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,SHWP-2-3,plan,false,"Secondary hot-water-pump hexagon, below SHWP-2-2."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#42,TX/SX-1,detail,false,"Top-of-sheet small section detail 'MECHANICAL TX/SX-1 RISER CONNECTION' (1/4""=1'-0""); hexagon-less circle callout on the riser pipe."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#43,CH-2-1,plan,false,"Chiller hexagon, left-hand chiller unit (leftmost of 4 chiller footprints)."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#43,CH-2-2,plan,false,"Chiller hexagon, second chiller unit, below CH-2-1."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#43,CH-2-3,plan,false,"Chiller hexagon, third (right-hand) chiller unit."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#43,CH-2-4,plan,false,"Chiller hexagon, fourth chiller unit; drawn with screened/light linework (adjacent-scope convention) inside 'PUBLIC ELEVATOR CONTROL ROOM' bay, but is a genuine drawn text tag confirmed in textSpans."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#43,CHWP-2-1,plan,false,"Chilled-water-pump hexagon, first of 4 in a row at top of plan."
26_CA_TransbayTower_Mechanical_64Sheets.pdf#43,CHWP-2-2,plan,false,"Chilled-water-pump hexagon, second of 4."
