# 30_WA_SpokaneTransit_CoolingTower.binding.csv — control-evidence binding truth for the CONTROL_INTENT goal (goals/CONTROL_INTENT.md, TRUTH).
# Authored 2026-09-25 by reading the set's controls sheet M-401 (PDF text layer and a render), never pipeline
# output: no control-intent code had run on this held-out document. One row per (keyed instance, governing control
# packet): the control detail, schematic, sequence section or points schedule that decides the unit's BAS scope
# and options. packet_title is the title as printed (a line break joined by a space). binding: tag · list_range ·
# cross_reference · family_detail · semantic (as in the dev keys). packet "none": no control packet governs the
# instance. Population: every instance of keys/30_WA_SpokaneTransit_CoolingTower.typicals.csv. The sheet's CONTROLS - SCOPE OF WORK notes are
# general notes, not listed per unit. A key that looks wrong later is catalogued, never edited (GOAL_LOOPS
# ANTI-GAMING).
sheet,tag,family,packet_sheet,packet_title,binding,note
30_WA_SpokaneTransit_CoolingTower.pdf#2,BOILER 1,BOILER,30_WA_SpokaneTransit_CoolingTower.pdf#11,HOT WATER PLANT SYSTEM DIAGRAM,tag,"the diagram labels it BOILER #1, with the NEW BOILER callout"
30_WA_SpokaneTransit_CoolingTower.pdf#2,BOILER 1,BOILER,30_WA_SpokaneTransit_CoolingTower.pdf#11,HOT WATER PLANT (E) SEQUENCE FOR REFERENCE,family_detail,the hot water plant's sequence stages the boilers without tags
30_WA_SpokaneTransit_CoolingTower.pdf#2,CT-1,COOLING_TOWER,30_WA_SpokaneTransit_CoolingTower.pdf#11,"DOAS AND CONDENSER WATER PLANT (CT-2, HX-1, P-6) SYSTEM DIAGRAM",semantic,"the diagram, taken from the existing controls set, labels the tower CT-2 with a NEW COOLING TOWER callout; the new tower is scheduled CT-1"
30_WA_SpokaneTransit_CoolingTower.pdf#2,CT-1,COOLING_TOWER,30_WA_SpokaneTransit_CoolingTower.pdf#11,DOAS AND CONDENSER WATER PLANT (E) SEQUENCE FOR REFERENCE,family_detail,the condenser water plant's sequence stages the cooling tower without a tag
30_WA_SpokaneTransit_CoolingTower.pdf#2,P-1,PUMP,30_WA_SpokaneTransit_CoolingTower.pdf#11,HOT WATER PLANT SYSTEM DIAGRAM,tag,the diagram labels P-1 (NEW PUMP)
30_WA_SpokaneTransit_CoolingTower.pdf#2,P-1,PUMP,30_WA_SpokaneTransit_CoolingTower.pdf#11,HOT WATER PLANT (E) SEQUENCE FOR REFERENCE,family_detail,the sequence runs the hot water circulation pumps duty/standby without tags
30_WA_SpokaneTransit_CoolingTower.pdf#2,P-2,PUMP,30_WA_SpokaneTransit_CoolingTower.pdf#11,HOT WATER PLANT SYSTEM DIAGRAM,tag,the diagram labels P-2 (NEW PUMP)
30_WA_SpokaneTransit_CoolingTower.pdf#2,P-2,PUMP,30_WA_SpokaneTransit_CoolingTower.pdf#11,HOT WATER PLANT (E) SEQUENCE FOR REFERENCE,family_detail,the sequence runs the hot water circulation pumps duty/standby without tags
30_WA_SpokaneTransit_CoolingTower.pdf#2,P-6,PUMP,30_WA_SpokaneTransit_CoolingTower.pdf#11,"DOAS AND CONDENSER WATER PLANT (CT-2, HX-1, P-6) SYSTEM DIAGRAM",tag,the diagram's title and label name P-6
30_WA_SpokaneTransit_CoolingTower.pdf#2,P-6,PUMP,30_WA_SpokaneTransit_CoolingTower.pdf#11,DOAS AND CONDENSER WATER PLANT (E) SEQUENCE FOR REFERENCE,family_detail,the sequence enables the condenser water pump without a tag
