sheet,tag,role,in_table,note
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-1,plan,false,"Existing AC unit, unique instance mark (thermostat/sensor callout near NAP ROOM/TODDLER area, keynote 4 arrow)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-2,plan,false,"Existing AC unit, unique instance mark (sensor callout near room 121/TOILET#5-CHANGE area, keynote 4)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-4,plan,false,"Existing AC unit, unique instance mark (appears near CHILDREN'S KITCHEN/DIRECTOR cluster and again near CLASS/LAB 103, keynote 4)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-5,plan,false,"Existing AC unit, unique instance mark (near DIRECTOR/RECEPTION cluster and again near LOBBY/CLASS-LAB corridor)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-6,plan,false,"Existing AC unit, unique instance mark (near DIRECTOR OFFICE 134/PRE-SCHOOL#1 104, keynote 4)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-7,plan,false,"Existing AC unit, unique instance mark (near TOILET#7/CLOSET#3 and again near KITCHEN cluster, keynote 4)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,AC-8,plan,false,"Existing AC unit, unique instance mark (near TOILET#4/EF-8 cluster and KITCHEN, keynote 4)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CEG-2,plan,false,"Repeatable grille type mark (ceiling exhaust grille), appears near ELEC/CLOSET room (18X18, 10X10)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CER-2,plan,false,"Repeatable register/grille type mark (ceiling exhaust register), appears near CLOSET#2/TOILET#1 (12X12, TYP.5)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CRG-1,plan,false,"Repeatable grille type mark (ceiling return grille), appears near INFANT/CRIB rooms."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CRG-2,plan,false,"Repeatable grille type mark (ceiling return grille, series 2), appears near ELEC room (18X18) and CLOSET (14X14, 300 CFM)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CRG-3,plan,false,"Repeatable grille type mark (ceiling return grille, series 3), appears once near HALL#1/RECEPTION area (10#, TYP 3)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CSD-1,plan,false,"Repeatable duct/diffuser type mark (ceiling supply diffuser) — appears at many different sizes/CFMs (12X12/10#, 9X9/8#, 6X6/6# etc.) throughout the plan; listed once as a type per the repeatable-type rule."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,CSD-2,plan,false,"Repeatable diffuser type mark (ceiling supply diffuser, smaller series), appears multiple times (6X6, 9X9 sizes)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-1,plan,false,"Existing exhaust fan, unique instance mark, near TOILET#5/CHANGE room."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-2,plan,false,"Existing exhaust fan, unique instance mark; explicitly named in Sheet Note 5 (replace EF-2 line-voltage thermostat with DDC) and drawn with a 'T' thermostat symbol near the ELEC/Andover control-panel area."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-3,plan,false,"Existing exhaust fan, unique instance mark, near CRIB RM 122/HALL#1 102."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-4,plan,false,"Existing exhaust fan, unique instance mark, near INFANT 121/CRIB RM area."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-5,plan,false,"Existing exhaust fan, unique instance mark, near INFANT 121/CRG-1 duct run."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-6,plan,false,"Existing exhaust fan, unique instance mark, near CLOSET#2 109/TOILET#1 105-106."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-7,plan,false,"Existing exhaust fan, unique instance mark, in TOILET#7 129/130 cluster (bottom-left of plan)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,EF-8,plan,false,"Existing exhaust fan, unique instance mark, in TOILET#4 111 cluster (bottom-left of plan), adjacent to EF-7."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,GH-A,plan,false,Distinct equipment glyph (filled black box) labeled GH-A next to room 125/CRIB RM area near the ELEC/Andover control room; treated as a unique instance mark (likely a gateway/hood unit); could not be independently verified against a schedule since none exists on this sheet.
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,WEG-2,plan,false,"Repeatable grille type mark (wall exhaust grille), appears once near TOILET#4 (12X12, B+8"" AFF, TYP.2)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,WRG-2,plan,false,"Repeatable grille type mark (wall return grille), appears once near CHILDREN'S KITCHEN/office cluster (30X5, TYP.2)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#5,WSG-1,plan,false,"Repeatable grille type mark (wall supply grille), appears twice — near CHILDREN'S KITCHEN (30X5) and near LOBBY 101 (30X5, TYP.4)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#6,AC-1,plan,false,"Physical rooftop AC unit, unique instance mark, hexagon tag under the top-row condensing/AC unit glyph (leftmost of 4), keynote 3 arrow points at its OA intake."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#6,AC-2,plan,false,"Physical rooftop AC unit, unique instance mark, hexagon tag under 2nd top-row unit."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#6,AC-3,plan,false,"Physical rooftop AC unit, unique instance mark, hexagon tag under 3rd top-row unit (also has a keynote-4 OA arrow)."
086_CA_Contra_Costa_College_Early_Learning_Center.pdf#6,AC-4,plan,false,"Physical rooftop AC unit, unique instance mark, hexagon tag under 4th (rightmost) top-row unit."
