# bldg5406-hvac-demo.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/bldg5406-hvac-demo.attrs.csv, one row each.
# Sources read: M-601 (page 6) schedules and notes; M-901 to M-904 (pages 8-11) mechanical controls, sequences and points schedules; P-601 (page 18) plumbing schedules.
#
sheet,tag,family,typical_id,options,basis_note
bldg5406-hvac-demo-mechanical.pdf#6,AHU-1,AHU,ahu-multizone-vav,dedicated_min_oa=false;min_oa_dp=false;relief_damper=false;relief_fan=false;return_fan=false;return_fan_airflow=false;enthalpy_economizer=false;differential_economizer=false;dx_staged=false;freezestat_to_bas=true;duct_smoke_detectors=true;ufc_minimum_points=true,"M-902 (VARIABLE AIR VOLUME AHU): VFD on duct static pressure, serving VAV-1 to VAV-9; one set of 2-position mixed air dampers (BO) held at a fixed minimum position with outside airflow monitored, no economizer, no relief or return fan; freezestat, supply and return smoke detectors as BIs; chilled water coil. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-1,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-2,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-3,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-4,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-5,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-6,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-7,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-8,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
bldg5406-hvac-demo-mechanical.pdf#6,VAV-9,VAV,vav-reheat-electric,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=true;scr_heat=false,"M-903 detail 1 (VAV-1 THRU VAV-9): zone temperature AI with setpoint adjust AI and override BI, airflow AI, damper AO, discharge temperature AI, electric reheat stages 1-3 as BOs (staged, no SCR); no CO2, occupancy or window point. Davis-Monthan AFB (DoD): UFC 3-410-01 applies; the M-901 to M-904 points schedules are in its hardware/software format."
