sheet,tag,role,in_table,note
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#32,FCU-A,plan,false,"Fan coil unit, drawn as a hatched equipment box on the plan (6"" CHS/R piping connects into it), labeled 'FCU-A' directly beneath the symbol. Unique instance mark (single unit, letter suffix identifies it)."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#32,FM,plan,false,"Existing building chilled-water flow meter, drawn as a circle glyph on the 5"" CHS/CHR line labeled 'FM' with a leader to the text 'EX BUILDING CHILLED WATER FLOW METER'. Confirmed via close-up crop. Unique instance mark on this sheet."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-A-13,plan,false,"Unique VAV box instance tag, hexagon/hatched-box glyph with leader, basement piping plan east."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-A-16B,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-A-18,plan,false,"Unique VAV box instance tag on main piping run, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-A-22,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-A-30,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-C-20,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-E-16A,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-G-26,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-J-29,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#33,VAV-J-C00,plan,false,"Unique VAV box instance tag, hatched-box glyph."
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,AS-A,plan,false,"Air separator, hatched circle symbol adjacent to ET-A, confirmed via zoom crop"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,ET-A,plan,false,"Expansion tank, circle/hatched symbol, confirmed via zoom crop"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,HWP-A-1,plan,false,"Heating water pump unique instance, circular hatched pump symbol, confirmed via zoom crop"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,HWP-A-2,plan,false,"Heating water pump unique instance, circular hatched pump symbol, confirmed via zoom crop"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,HX-A-1,plan,false,"Heat exchanger unique instance, hatched vertical cylinder symbol, confirmed via zoom crop"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,HX-A-2,plan,false,"Heat exchanger unique instance, adjacent hatched cylinder symbol, confirmed via zoom crop"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-32,plan,false,"Unique VAV box instance, hatched box symbol, bottom-left area"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-34,plan,false,Unique VAV box instance near room 34
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-37,plan,false,"Unique VAV box instance, top row over room 37"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-38,plan,false,"Unique VAV box instance, bottom row over room 38"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-39,plan,false,"Unique VAV box instance, top row over room 39"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-40,plan,false,"Unique VAV box instance, bottom row over room 40"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-46,plan,false,"Unique VAV box instance, bottom row over room 46"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-A-47,plan,false,"Unique VAV box instance, top row over room 47"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-B-45,plan,false,"Unique VAV box instance, top row over room 45"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-E-33,plan,false,"Unique VAV box instance, top row over room 33"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-E-36,plan,false,"Unique VAV box instance, bottom row over room 36"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-E-44,plan,false,"Unique VAV box instance, bottom row over room 44"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-E-48,plan,false,"Unique VAV box instance, bottom row over room 48"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#34,VAV-E-49,plan,false,"Unique VAV box instance, top row over room 49, confirmed via zoom crop next to hatched symbol"
